,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,AUDRIC LAMBOLEZ,EC SARTROUVILLE,S1M (1),M,0 days 01:53:05.000000000,0 days 00:19:03.000000000,0 days 00:59:28.000000000,0 days 00:34:35.000000000
1,2,SÉBASTIEN COURT,EC SARTROUVILLE,S1M (2),M,0 days 01:53:33.000000000,0 days 00:18:29.000000000,,
2,3,SÉBASTIEN ESPITALIER,TEAM MERMILLOD TRIATHLON,S4M (1),M,0 days 01:54:53.000000000,0 days 00:20:01.000000000,,
3,4,PHILIPPE DUPONT,TEAM MERMILLOD TRIATHLON,V1M (1),M,0 days 01:55:54.000000000,0 days 00:19:19.000000000,,
4,5,FLORIAN SCHÄFER,TEAM SCHAFER COACHING,S3M (1),M,0 days 01:57:15.000000000,0 days 00:19:51.000000000,,
5,6,SÉBASTIEN PAVAILLER,CHAMBERY TRIATHLON,S2M (1),M,0 days 01:58:42.000000000,0 days 00:18:48.000000000,,
6,7,BERTRAND BOUVIER,A L ECHIROLLES TRIATHLON,S2M (2),M,0 days 01:59:32.000000000,0 days 00:19:52.000000000,,
7,8,PIERRE-YVES ARCHAMBAULT,AIX SAVOIE TRIATHLON TEAM ARGON18,S4M (2),M,0 days 01:59:46.000000000,0 days 00:22:13.000000000,,
8,9,PIERRE-JEAN MOUNIER,AL ECHIROLLES TRIATHLON,S1M (3),M,0 days 02:00:44.000000000,0 days 00:18:27.000000000,,
9,10,WILLIAM LE METAYER,TO BE SPORT,S4M (3),M,0 days 02:02:11.000000000,0 days 00:23:33.000000000,0 days 01:03:43.000000000,0 days 00:34:55.000000000
10,11,MATHIEU FOUGERES,FONTANIL TRIATHLON,V1M (2),M,0 days 02:02:13.000000000,,,0 days 00:35:16.000000000
11,12,DAVID CALEJERO,ASVEL TRIATHLON,S4M (4),M,0 days 02:02:26.000000000,0 days 00:22:04.000000000,0 days 01:04:35.000000000,0 days 00:35:49.000000000
12,13,PIERRE MUNIER,TEAM MERMILLOD TRIATHLON,S3M (2),M,0 days 02:02:37.000000000,0 days 00:21:47.000000000,0 days 01:05:31.000000000,0 days 00:35:20.000000000
13,14,LAURENT WHITE,TEAM MERMILLOD TRIATHLON,S3M (3),M,0 days 02:02:45.000000000,0 days 00:23:47.000000000,0 days 01:04:00.000000000,0 days 00:34:58.000000000
14,15,NICOLAS VOGEL,GUC TRIATHLON,S3M (4),M,0 days 02:02:48.000000000,0 days 00:22:23.000000000,0 days 01:05:26.000000000,0 days 00:34:59.000000000
15,16,STÉPHANE DUC,TEAM MERMILLOD TRIATHLON,V1M (3),M,0 days 02:03:17.000000000,0 days 00:22:29.000000000,0 days 01:05:33.000000000,0 days 00:35:17.000000000
16,17,XAVIER BRISSEAUD,VALENCE TRIATHLON,V2M (1),M,0 days 02:03:25.000000000,0 days 00:25:45.000000000,0 days 01:00:57.000000000,0 days 00:36:43.000000000
17,18,SYLVAIN FREVENT,VALENCE TRIATHLON,S1M (4),M,0 days 02:03:35.000000000,0 days 00:21:17.000000000,,
18,19,JULIEN VIGNOUD,CHAMBERY TRIATHLON,S1M (5),M,0 days 02:03:43.000000000,0 days 00:21:25.000000000,0 days 01:05:40.000000000,0 days 00:36:40.000000000
19,20,ERIC PHILIBERT,AIX SAVOIE TRIATHLON,S4M (5),M,0 days 02:04:09.000000000,0 days 00:21:22.000000000,0 days 01:06:29.000000000,0 days 00:36:19.000000000
20,21,MATHIEU FRANEY,DIJON SINGLETRACK,S4M (6),M,0 days 02:04:23.000000000,0 days 00:23:48.000000000,0 days 01:05:27.000000000,0 days 00:35:09.000000000
21,22,RAPHAEL BINGERT,A L ECHIROLLES TRIATHLON,V1M (4),M,0 days 02:04:41.000000000,0 days 00:23:22.000000000,0 days 01:05:06.000000000,0 days 00:36:15.000000000
22,23,GILDAS PLISSON,A L ECHIROLLES TRIATHLON,S3M (5),M,0 days 02:05:03.000000000,0 days 00:21:20.000000000,0 days 01:06:04.000000000,0 days 00:37:40.000000000
23,24,MORGAN HILI,ORCIÈRE1850,S2M (3),M,0 days 02:05:05.000000000,0 days 00:23:46.000000000,0 days 01:04:35.000000000,0 days 00:36:44.000000000
24,25,ANTHONY CADARIO,TEAM BPC,S1M (6),M,0 days 02:05:28.000000000,0 days 00:23:06.000000000,0 days 01:07:23.000000000,0 days 00:35:00.000000000
25,26,FLORIAN ABADIE,CHAMBERY TRIATHLON,S1M (7),M,0 days 02:06:14.000000000,0 days 00:21:35.000000000,0 days 01:09:00.000000000,0 days 00:35:40.000000000
26,27,ANTHONY VERNAGALLO,GUC TRIATHLON,S1M (8),M,0 days 02:06:27.000000000,0 days 00:25:27.000000000,0 days 01:03:05.000000000,0 days 00:37:56.000000000
27,28,NICOLAS MARTIN,TRISALEVE ANNEMASSE,S4M (7),M,0 days 02:07:00.000000000,0 days 00:22:33.000000000,0 days 01:07:28.000000000,0 days 00:37:00.000000000
28,29,QUENTIN PERROT,TRIATHLON AMBERIEU EN BUGEY,S2M (4),M,0 days 02:07:15.000000000,0 days 00:23:28.000000000,0 days 01:07:23.000000000,0 days 00:36:24.000000000
29,30,MARGOT GARABEDIAN,AUTUN TRIATHLON,JUF (1),F,0 days 02:07:24.000000000,0 days 00:18:33.000000000,0 days 01:13:14.000000000,0 days 00:35:38.000000000
30,31,CHRISTOPHE BERGERON,A L ECHIROLLES TRIATHLON,V2M (2),M,0 days 02:07:30.000000000,0 days 00:21:53.000000000,0 days 01:05:44.000000000,0 days 00:39:54.000000000
31,32,FREDERIC AGNERAY,TOBESPORT,V1M (5),M,0 days 02:07:50.000000000,0 days 00:21:46.000000000,0 days 01:06:04.000000000,0 days 00:40:01.000000000
32,33,JULIEN VAUDOUR,TRI VILLEFRANCHE,S2M (5),M,0 days 02:07:58.000000000,0 days 00:21:44.000000000,,
33,34,ARTHUR ARNAUD,GUC TRIATHLON,S1M (9),M,0 days 02:08:01.000000000,0 days 00:20:38.000000000,,
