,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,WITH DAMIEN,TEAM MERMILLOD TRIATHLON,1 S2M,M,0 days 04:00:25.000000000,0 days 00:23:02.000000000,0 days 02:20:36.000000000,0 days 01:16:49.000000000
1,2,DECAS DAMIEN,VALENCE TRIATHLON,1 S1M,M,0 days 04:04:55.000000000,0 days 00:23:15.000000000,0 days 02:17:30.000000000,0 days 01:24:11.000000000
2,3,CHRISTIN NICOLAS,AL ECHIROLLES TRIATHLON,1 S4M,M,0 days 04:06:26.000000000,0 days 00:27:48.000000000,0 days 02:21:40.000000000,0 days 01:17:00.000000000
3,4,PHILIPPE XAVIER,AL ECHIROLLES TRIATHLON,2 S4M,M,0 days 04:10:06.000000000,0 days 00:28:08.000000000,0 days 02:21:21.000000000,0 days 01:20:38.000000000
4,5,REBEYROTTE THEO,ASVEL TRIATHLON,2 S2M,M,0 days 04:12:01.000000000,0 days 00:22:58.000000000,0 days 02:30:32.000000000,0 days 01:18:32.000000000
5,6,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,1 V1M,M,0 days 04:12:55.000000000,0 days 00:24:34.000000000,0 days 02:28:12.000000000,0 days 01:20:11.000000000
6,7,BRYCZMAN PHILIPPE,VALENCE TRIATHLON,2 V1M,M,0 days 04:15:14.000000000,0 days 00:26:42.000000000,0 days 02:27:52.000000000,0 days 01:20:42.000000000
7,8,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,3 S4M,M,0 days 04:17:09.000000000,0 days 00:25:34.000000000,0 days 02:31:31.000000000,0 days 01:20:05.000000000
8,9,BELLET LAURENT,AIX SAVOIE TRIATHLON,3 V1M,M,0 days 04:17:46.000000000,0 days 00:34:43.000000000,0 days 02:27:37.000000000,0 days 01:15:28.000000000
9,10,PHILIBERT ERIC,AIX SAVOIE TRIATHLON,4 S4M,M,0 days 04:19:40.000000000,0 days 00:28:12.000000000,0 days 02:29:35.000000000,0 days 01:21:55.000000000
10,11,NICOLE PIERRE ALAIN,DIJON TRIATHLON,2 S1M,M,0 days 04:21:21.000000000,0 days 00:30:42.000000000,0 days 02:24:06.000000000,0 days 01:26:34.000000000
11,12,MICHON JULIEN,NAUTIC CLUB BRIANCONNAIS,5 S4M,M,0 days 04:22:11.000000000,0 days 00:28:24.000000000,0 days 02:25:17.000000000,0 days 01:28:31.000000000
12,13,PICHON LIONEL,CHAMBERY TRIATHLON,1 S3M,M,0 days 04:22:47.000000000,0 days 00:28:22.000000000,0 days 02:27:50.000000000,0 days 01:26:36.000000000
13,14,GONZALEZ SEBASTIEN,TRIVIERA,4 V1M,M,0 days 04:23:01.000000000,0 days 00:30:09.000000000,0 days 02:30:20.000000000,0 days 01:22:34.000000000
14,15,CHATRON THIERRY,TEAM MERMILLOD TRIATHLON,5 V1M,M,0 days 04:23:49.000000000,0 days 00:31:00.000000000,0 days 02:29:40.000000000,0 days 01:23:11.000000000
15,16,TOMASZEWSKI ERIC,KRONOS TRIATHLON,1 V2M,M,0 days 04:24:42.000000000,0 days 00:31:00.000000000,0 days 02:31:17.000000000,0 days 01:22:26.000000000
16,17,LOUET CHRISTOPHE,CHENOVE TRIATHLON,6 V1M,M,0 days 04:25:07.000000000,0 days 00:36:02.000000000,0 days 02:26:29.000000000,0 days 01:22:38.000000000
17,18,LEFRANC OLIVIER,ASVEL TRIATHLON,2 V2M,M,0 days 04:25:25.000000000,0 days 00:26:34.000000000,0 days 02:37:36.000000000,0 days 01:21:16.000000000
18,19,MARTEL JEROME,GUILHERAND GRANGES TRIATHLON,6 S4M,M,0 days 04:25:46.000000000,0 days 00:27:26.000000000,0 days 02:35:51.000000000,0 days 01:22:31.000000000
19,20,MOITA GAEL,TRIATHLON CLUB GENEVE,7 S4M,M,0 days 04:25:53.000000000,0 days 00:27:14.000000000,0 days 02:35:59.000000000,0 days 01:22:41.000000000
20,21,MACADRE STEPHANE,TRINOSAURE,7 V1M,M,0 days 04:26:45.000000000,0 days 00:28:18.000000000,0 days 02:32:05.000000000,0 days 01:26:23.000000000
21,22,GOUVIAUX LAURENT,LES MILLES PATTES TRIATHLON,8 V1M,M,0 days 04:27:07.000000000,0 days 00:26:53.000000000,0 days 02:37:13.000000000,0 days 01:23:03.000000000
22,23,GRISON OLIVIER,CRV LYON TRIATHLON,3 S2M,M,0 days 04:27:27.000000000,0 days 00:31:59.000000000,0 days 02:35:09.000000000,0 days 01:20:21.000000000
23,24,ECHARDOUR LOIC,VAULX EN VELIN TRIATHLON,2 S3M,M,0 days 04:27:36.000000000,0 days 00:36:33.000000000,0 days 02:27:12.000000000,0 days 01:23:52.000000000
