,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,BECKER NICOLAS,MONTLUCON TRI,MS3 - M,,0 days 00:59:33.000000000,0 days 00:10:58.000000000,0 days 00:31:07.000000000,0 days 00:17:28.000000000
1,2,STRAGAPEDE VINCENT,TRIATHL AIX,MS2 - M,,0 days 01:00:54.000000000,0 days 00:12:41.000000000,0 days 00:30:36.000000000,0 days 00:17:37.000000000
2,3,BERRY JOSH,ASMSE,MS1 - M,,0 days 01:01:04.000000000,0 days 00:11:03.000000000,0 days 00:32:12.000000000,0 days 00:17:49.000000000
3,4,VAN HALEN CHIPPY,TMT,MV1 - M,,0 days 01:01:28.000000000,0 days 00:11:26.000000000,0 days 00:31:34.000000000,0 days 00:18:28.000000000
4,5,EPSPITALIER SÉBASTIEN,TMT,MS3 - M,,0 days 01:01:46.000000000,0 days 00:12:28.000000000,0 days 00:31:18.000000000,0 days 00:18:00.000000000
5,6,ROUX CHRISTIAN,OXYGÈNE 43,MV3 - M,,0 days 01:01:55.000000000,0 days 00:18:11.000000000,0 days 00:20:42.000000000,0 days 00:23:02.000000000
6,7,DROUIN ARNAUD,CRV LYON,MS2 - M,,0 days 01:02:46.000000000,0 days 00:11:56.000000000,0 days 00:33:25.000000000,0 days 00:17:25.000000000
7,8,WITH DAMIEN,TMT,MS2 - M,,0 days 01:03:50.000000000,0 days 00:12:17.000000000,0 days 00:31:57.000000000,0 days 00:19:36.000000000
8,9,BENAT XAVIER,NEVERS TRI,MS4 - M,,0 days 01:03:52.000000000,0 days 00:12:29.000000000,0 days 00:31:56.000000000,0 days 00:19:27.000000000
9,10,CROZET GUILLAUME,ASMSE,MS1 - M,,0 days 01:03:57.000000000,0 days 00:12:01.000000000,0 days 00:31:57.000000000,0 days 00:19:59.000000000
10,11,DUPONT PHILIPPE,TMT,MS4 - M,,0 days 01:03:59.000000000,0 days 00:12:23.000000000,0 days 00:33:46.000000000,0 days 00:17:50.000000000
11,12,PINNA ERIC,TOS,MV1 - M,,0 days 01:04:08.000000000,0 days 00:13:06.000000000,0 days 00:32:11.000000000,0 days 00:18:51.000000000
12,13,GRANADE ROMUALD,FONTANIL TRI,MS4 - M,,0 days 01:04:28.000000000,0 days 00:13:34.000000000,0 days 00:32:10.000000000,0 days 00:18:44.000000000
13,14,SAUVANT NICOLAS,VALENCE TRI,MS4 - M,,0 days 01:04:38.000000000,0 days 00:11:49.000000000,0 days 00:33:40.000000000,0 days 00:19:09.000000000
14,15,GIRODET GUILLAUME,ASMSE,MS2 - M,,0 days 01:05:03.000000000,0 days 00:11:44.000000000,0 days 00:33:33.000000000,0 days 00:19:46.000000000
15,16,MARTEL JÉRÔME,VALENCE TRI,MS4 - M,,0 days 01:05:10.000000000,0 days 00:13:25.000000000,0 days 00:32:47.000000000,0 days 00:18:58.000000000
16,17,GAUDIN MATTHIEU,TOC,MS3 - M,,0 days 01:05:14.000000000,0 days 00:11:45.000000000,0 days 00:34:19.000000000,0 days 00:19:10.000000000
17,18,BOUDIN CHRISTOPHE,TMT,MS4 - M,,0 days 01:05:28.000000000,0 days 00:13:16.000000000,0 days 00:33:46.000000000,0 days 00:18:26.000000000
18,19,PICHON LIONEL,CHAMBÉRY TRI,MS3 - M,,0 days 01:05:42.000000000,0 days 00:13:22.000000000,0 days 00:32:44.000000000,0 days 00:19:36.000000000
19,20,GALLA STÉPHANE,CNN TRI NYON,MS3 - M,,0 days 01:06:14.000000000,0 days 00:12:50.000000000,0 days 00:32:59.000000000,0 days 00:20:25.000000000
20,21,JALON MAXIME,ASMSE,MS2 - M,,0 days 01:06:16.000000000,0 days 00:13:38.000000000,0 days 00:32:45.000000000,0 days 00:19:53.000000000
21,22,DESIERES YOHAN,AL ECHIROLLE TRI,MS4 - M,,0 days 01:06:30.000000000,0 days 00:13:38.000000000,0 days 00:32:52.000000000,0 days 00:20:00.000000000
22,23,PERSONNE GRÉGORY,TC2R,MS4 - M,,0 days 01:06:42.000000000,0 days 00:14:10.000000000,0 days 00:34:36.000000000,0 days 00:17:56.000000000
