,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,JEANNIN GUILLAUME,FAST GUEBWILLER,S3M (1),M,0 days 03:44:37.000000000,0 days 19:53:00.000000000,0 days 02:17:26.000000000,0 days 01:07:18.000000000
1,2,RUNDSTADLER KÉVIN,A L ECHIROLLES TRIATHLON,S1M (1),M,0 days 03:46:47.000000000,0 days 18:22:00.000000000,0 days 02:21:20.000000000,0 days 01:07:06.000000000
2,3,REBEYROTTE THEO,ASVEL TRIATHLON,S2M (1),M,0 days 03:50:32.000000000,0 days 19:20:00.000000000,0 days 02:16:49.000000000,0 days 01:14:24.000000000
3,4,GARNIER GUILLAUME,TEAM MERMILLOD TRIATHLON,S3M (2),M,0 days 03:50:47.000000000,0 days 00:24:32.000000000,0 days 02:13:16.000000000,0 days 01:13:00.000000000
4,5,WITH DAMIEN,TEAM MERMILLOD TRIATHLON,S2M (2),M,0 days 03:53:29.000000000,0 days 19:20:00.000000000,0 days 02:21:09.000000000,0 days 01:13:00.000000000
5,6,ORVAIN TONY,TC JOUE LES TOURS,S2M (3),M,0 days 03:53:47.000000000,0 days 00:21:54.000000000,0 days 02:27:40.000000000,0 days 01:04:14.000000000
6,7,DELAPLANCHE DAMIEN,DIJON SINGLETRACK,S4M (1),M,0 days 03:54:25.000000000,0 days 00:20:00.000000000,0 days 02:22:12.000000000,0 days 01:12:14.000000000
7,8,MIZZON THIERRY,ASMSE TRI 42,S3M (3),M,0 days 03:57:35.000000000,0 days 19:52:00.000000000,0 days 02:24:51.000000000,0 days 01:12:53.000000000
8,9,GERBAUX NICOLAS,METZ TRIATHLON,S3M (4),M,0 days 03:59:09.000000000,0 days 00:22:36.000000000,,
9,10,PION JULIEN,AIX SAVOIE TRIATHLON,S2M (4),M,0 days 04:00:44.000000000,0 days 00:24:41.000000000,0 days 02:17:17.000000000,0 days 01:18:47.000000000
10,11,SCHAFFNER FRÉDERIC,FAST GUEBWILLER,S3M (5),M,0 days 04:01:42.000000000,0 days 19:51:00.000000000,0 days 02:25:33.000000000,0 days 01:16:18.000000000
11,12,GRANGER MATHIEU,AIX SAVOIE TRIATHLON,S2M (5),M,0 days 04:02:18.000000000,0 days 00:24:34.000000000,,
12,13,LALEVEE BENOIT,MILLE PATTES TRIATHLON GRENOBLE,V2M (1),M,0 days 04:02:37.000000000,0 days 00:21:24.000000000,0 days 02:21:40.000000000,0 days 01:19:34.000000000
13,14,DAUVERGNE FRANÇOIS,TEAM UP2,V1M (1),M,0 days 04:02:51.000000000,0 days 00:22:33.000000000,0 days 02:29:43.000000000,0 days 01:10:36.000000000
14,15,VIDBERG MANUEL,CN PONTARLIER TRIATHLON,S3M (6),M,0 days 04:03:28.000000000,0 days 00:22:41.000000000,0 days 02:23:13.000000000,0 days 01:17:34.000000000
15,16,GOVAERTS PETER,TULLE TRIATHLON,V2M (2),M,0 days 04:05:29.000000000,0 days 00:25:51.000000000,0 days 02:21:57.000000000,0 days 01:17:41.000000000
16,17,NOYER THIBAULT,VALLONS DE LA TOUR TRIATHLON,V1M (2),M,0 days 04:05:51.000000000,0 days 00:24:28.000000000,0 days 02:25:48.000000000,0 days 01:15:36.000000000
17,18,MARREL NICOLAS,VALLONS DE LA TOUR TRIATHLON,S3M (7),M,0 days 04:05:51.000000000,,,
18,19,BOURDIN JÉROME,CN PONTARLIER TRIATHLON,S4M (2),M,0 days 04:05:55.000000000,0 days 00:24:58.000000000,0 days 02:28:22.000000000,0 days 01:12:35.000000000
19,20,CHABOUD RÉGIS,CHAMBERY TRIATHLON,V1M (3),M,0 days 04:06:00.000000000,0 days 00:24:47.000000000,0 days 02:24:21.000000000,0 days 01:16:53.000000000
20,21,GAUTIER ERIC,FONTANIL TRIATHLON,V2M (3),M,0 days 04:06:05.000000000,0 days 00:23:00.000000000,0 days 02:28:55.000000000,0 days 01:14:11.000000000
21,22,LEVILLAIN CYRIL,GUC TRIATHLON,V2M (4),M,0 days 04:06:10.000000000,0 days 00:23:03.000000000,0 days 02:31:13.000000000,0 days 01:11:56.000000000
22,23,HOLIN FABIEN,MILLES PATTES,V1M (4),M,0 days 04:09:11.000000000,0 days 00:28:05.000000000,0 days 02:19:48.000000000,0 days 01:21:19.000000000
23,24,DOLCI ADRIEN,GUC TRIATHLON,S3M (8),M,0 days 04:09:27.000000000,0 days 00:26:12.000000000,0 days 02:24:32.000000000,0 days 01:18:43.000000000
24,25,CHANGEAT BRUNO,CN SAINT CHAMOND TRIATHLON,S4M (3),M,0 days 04:09:55.000000000,0 days 00:26:21.000000000,0 days 02:24:20.000000000,0 days 01:19:15.000000000
25,26,MICHON CHRISTOPHE,MACH 3 TRIATHLON,V1M (5),M,0 days 04:10:09.000000000,0 days 00:26:01.000000000,0 days 02:25:19.000000000,0 days 01:18:50.000000000
26,27,LORPHELIN YANNICK,RILLIEUX TRIATHLON,V1M (6),M,0 days 04:10:16.000000000,0 days 00:30:40.000000000,0 days 02:21:57.000000000,0 days 01:17:40.000000000
27,28,LEFRANC OLIVIER,ASVEL TRIATHLON,V2M (5),M,0 days 04:10:57.000000000,0 days 00:20:39.000000000,0 days 02:33:19.000000000,0 days 01:17:01.000000000
28,29,GAUDARD SEBASTIEN,HAUT JURA VO3 MAX TRIATHLON,V1M (7),M,0 days 04:11:35.000000000,0 days 19:13:00.000000000,0 days 02:35:20.000000000,0 days 01:17:03.000000000
29,30,LAGNIET BRUNO,OULLINS TRIATHLON,S4M (4),M,0 days 04:11:56.000000000,0 days 00:24:16.000000000,0 days 02:29:03.000000000,0 days 01:18:38.000000000
30,31,RICHER BRUNO,TRIATHLON ROMANAIS PEAGEOIS,V2M (6),M,0 days 04:13:42.000000000,0 days 00:26:08.000000000,0 days 02:31:43.000000000,0 days 01:15:51.000000000
31,32,COUDERT RONAN,CRV LYON TRIATHLON,S2M (6),M,0 days 04:14:40.000000000,0 days 00:24:11.000000000,0 days 02:29:38.000000000,0 days 01:20:51.000000000
32,33,TOMASSINI MATHIEU,CHAMBERY TRIATHLON,S3M (9),M,0 days 04:14:42.000000000,0 days 00:22:39.000000000,0 days 02:29:18.000000000,0 days 01:22:46.000000000
33,34,KRIZAN ALEXANDRE,PUBLIER TRIATHLON,S2M (7),M,0 days 04:15:07.000000000,0 days 00:22:52.000000000,0 days 02:36:46.000000000,0 days 01:15:30.000000000
34,35,MANTULET GABIN,GUC TRIATHLON,S1M (2),M,0 days 04:15:36.000000000,0 days 00:21:40.000000000,0 days 02:32:05.000000000,0 days 01:21:51.000000000
