,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,MALLEBAY NICOLAS,LIEVIN TC,M (1) - S2M (1),M,0 days 02:06:30.000000000,0 days 00:21:03.000000000,0 days 01:10:02.000000000,0 days 00:35:26.000000000
1,2,REBEYROTTE THÉO,ASVEL TRIATHLON,M (2) - S2M (2),M,0 days 02:08:20.000000000,0 days 00:19:01.000000000,0 days 01:11:16.000000000,0 days 00:38:05.000000000
2,3,SAYER THOMAS,ECA CHAUMONT TRIATHLON,M (3) - S1M (1),M,0 days 02:08:47.000000000,0 days 00:18:19.000000000,0 days 01:12:00.000000000,0 days 00:38:29.000000000
3,4,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,M (4) - S4M (1),M,0 days 02:09:44.000000000,0 days 00:21:05.000000000,0 days 01:10:52.000000000,0 days 00:37:48.000000000
4,5,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,M (5) - V1M (1),M,0 days 02:10:23.000000000,0 days 00:20:16.000000000,0 days 01:12:32.000000000,0 days 00:37:36.000000000
5,6,PILATTE CYRIL,ESMGO TRIATHLON,M (6) - V1M (2),M,0 days 02:12:12.000000000,0 days 00:19:34.000000000,0 days 01:13:15.000000000,0 days 00:39:23.000000000
6,7,PASTEUR ROBIN,SAINT RAPHAEL,M (7) - S1M (2),M,0 days 02:12:40.000000000,0 days 00:18:16.000000000,0 days 01:12:06.000000000,0 days 00:42:18.000000000
7,8,LAVAUT RAOUL,LIEVIN TC,M (8) - S3M (1),M,0 days 02:13:14.000000000,0 days 00:20:31.000000000,0 days 01:13:52.000000000,0 days 00:38:52.000000000
8,9,FANTOLI OLIVIER,TEAM MERMILLOD TRIATHLON,M (9) - V1M (3),M,0 days 02:13:29.000000000,0 days 00:20:09.000000000,0 days 01:12:43.000000000,0 days 00:40:39.000000000
9,10,DELDOSSI YOANN,TEAM MERMILLOD TRIATHLON,M (10) - S4M (2),M,0 days 02:13:35.000000000,0 days 00:22:40.000000000,0 days 01:14:46.000000000,0 days 00:36:11.000000000
10,11,PAVAILLER SÉBASTIEN,CHAMBERY TRIATHLON,M (11) - S1M (3),M,0 days 02:14:03.000000000,0 days 00:20:10.000000000,0 days 01:14:47.000000000,0 days 00:39:07.000000000
11,12,SENOTIER KEVIN,TC LIEVIN,M (12) - S3M (2),M,0 days 02:14:09.000000000,0 days 00:20:13.000000000,0 days 01:14:49.000000000,0 days 00:39:07.000000000
12,13,BERTHÉ BENOIT,LES HYDROS,M (13) - S3M (3),M,0 days 02:15:12.000000000,0 days 00:23:03.000000000,0 days 01:13:58.000000000,0 days 00:38:12.000000000
13,14,ANTOINE PHILIPPE,TEAM MERMILLOD TRIATHLON,M (14) - S4M (3),M,0 days 02:16:56.000000000,0 days 00:21:44.000000000,0 days 01:15:59.000000000,0 days 00:39:14.000000000
14,15,BIRAT JEAN-MARC,ASVEL TRIATHLON,M (15) - S4M (4),M,0 days 02:17:23.000000000,0 days 00:24:25.000000000,0 days 01:13:47.000000000,0 days 00:39:11.000000000
