,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,REBEYROTTE THEO,ASVEL,S2M (1),M,0 days 01:11:45.000000000,0 days 00:10:50.000000000,0 days 00:43:22.000000000,0 days 00:17:34.000000000
1,2,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,S4M (1),M,0 days 01:12:12.000000000,0 days 00:11:45.000000000,0 days 00:42:44.000000000,0 days 00:17:44.000000000
2,3,PERCELAY GRÉGOIRE,TRIALP MOIRANS,S4M (2),M,0 days 01:12:23.000000000,0 days 00:12:28.000000000,0 days 00:41:47.000000000,0 days 00:18:09.000000000
3,4,HOLLIGER BENJAMIN,FONTANIL TRIATHLON,S1M (1),M,0 days 01:14:08.000000000,0 days 00:13:16.000000000,0 days 00:43:21.000000000,0 days 00:17:33.000000000
4,5,GUGLIEMI SIMON,AIX SAVOIE TRIATHLON,CAM (1),M,0 days 01:15:22.000000000,0 days 00:14:12.000000000,0 days 00:41:50.000000000,0 days 00:19:21.000000000
5,6,BOUDIN CHRISTOPHE,TEAM MERMILLOD TRIATHLON,V1M (1),M,0 days 01:15:45.000000000,0 days 00:11:31.000000000,0 days 00:45:26.000000000,0 days 00:18:49.000000000
6,7,MARTEL JEROME,GUILHERAND GRANGES TRIATHLON,S4M (3),M,0 days 01:16:20.000000000,0 days 00:12:34.000000000,0 days 00:45:01.000000000,0 days 00:18:46.000000000
7,8,BARET MATTHIEU,VÉRON TRIATHLON,S2M (2),M,0 days 01:16:30.000000000,0 days 00:13:14.000000000,0 days 00:45:15.000000000,0 days 00:18:02.000000000
8,9,GUERRET THIERRY,TRISALEVE,V3M (1),M,0 days 01:16:32.000000000,0 days 00:11:32.000000000,0 days 00:45:18.000000000,0 days 00:19:43.000000000
9,10,CHARROL BERNARD,VALENCE TRIATHLON,V1M (2),M,0 days 01:16:44.000000000,0 days 00:13:33.000000000,0 days 00:44:55.000000000,0 days 00:18:18.000000000
10,11,D HAENE FRANCOIS,NON LICENCIE,S2M (3),M,0 days 01:16:53.000000000,0 days 00:14:50.000000000,0 days 00:44:00.000000000,0 days 00:18:03.000000000
11,12,HUSTACHE THOMAS,MACH3TRI,S2M (4),M,0 days 01:17:05.000000000,0 days 00:11:29.000000000,0 days 00:46:10.000000000,0 days 00:19:27.000000000
12,13,LAROCHE CAMILLE,ALLIGATORS SEYNOD TRIATHLON,S3M (1),M,0 days 01:17:24.000000000,0 days 00:14:15.000000000,0 days 00:45:06.000000000,0 days 00:18:04.000000000
13,14,VALENTINO LUDOVIC,VALLONS DE LA TOUR TRIATHLON,S2M (5),M,0 days 01:17:28.000000000,0 days 00:11:34.000000000,0 days 00:46:02.000000000,0 days 00:19:53.000000000
