,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,ROTA SYLVAIN,TRIATHL  AIX,S2 1,M,0 days 01:54:55.000000000,0 days 00:18:38.000000000,0 days 01:03:42.000000000,0 days 00:32:36.000000000
1,2,FAURE HERVÉ,TRI 07 PRIVAS,S4 1,M,0 days 01:57:36.000000000,0 days 00:18:46.000000000,0 days 01:05:48.000000000,0 days 00:33:02.000000000
2,3,STRAGAPEDE VINCENT,GT VESOUL,S3 1,M,0 days 01:58:58.000000000,0 days 00:18:36.000000000,0 days 01:06:57.000000000,0 days 00:33:26.000000000
3,4,OUILLERES GWENAEL,TEAM MERMILLOD TRI,S2 2,M,0 days 01:59:55.000000000,0 days 00:18:53.000000000,0 days 01:08:20.000000000,0 days 00:32:42.000000000
4,5,MALLEBAY NICOLAS,TC LIÉVIN,S2 3,M,0 days 02:01:22.000000000,0 days 00:20:02.000000000,0 days 01:08:30.000000000,0 days 00:32:51.000000000
5,6,ESPITALIER SÉBASTIEN,TEAM MERMILLOD TRI,S3 2,M,0 days 02:01:40.000000000,0 days 00:20:06.000000000,0 days 01:08:38.000000000,0 days 00:32:57.000000000
6,7,AUREILLE FLORIAN,TEAM MERMILLOD TRI,S3 3,M,0 days 02:02:26.000000000,0 days 00:21:50.000000000,0 days 01:06:42.000000000,0 days 00:33:55.000000000
7,8,DUPONT PHILIPPE,TEAM MERMILLOD TRI,V1 1,M,0 days 02:03:34.000000000,0 days 00:18:47.000000000,0 days 01:09:58.000000000,0 days 00:34:49.000000000
8,9,CARASSUS ERIC,TEAM MERMILLOD TRI,V1 2,M,0 days 02:05:20.000000000,0 days 00:23:31.000000000,0 days 01:09:00.000000000,0 days 00:32:50.000000000
9,10,DELETRAZ JULIEN,CHAMBÉRY TRIATHLON,S4 2,M,0 days 02:05:32.000000000,0 days 00:19:13.000000000,0 days 01:09:17.000000000,0 days 00:37:03.000000000
10,11,PILAT ALEXANDRE,NON LICENCIE,S1 1,M,0 days 02:05:50.000000000,0 days 00:19:38.000000000,0 days 01:10:11.000000000,0 days 00:36:03.000000000
11,12,ANTOINE PHILIPPE,BOURG EN BRESSE TRI,S4 3,M,0 days 02:06:13.000000000,0 days 00:20:58.000000000,0 days 01:11:18.000000000,0 days 00:33:58.000000000
12,13,GARNIER GUILLAUME,TEAM MERMILLOD TRI,S3 4,M,0 days 02:07:15.000000000,0 days 00:23:17.000000000,0 days 01:09:09.000000000,0 days 00:34:49.000000000
13,14,BOUDIN CHRISTOPHE,TEAM MERMILLOD TRI,V1 3,M,0 days 02:07:22.000000000,0 days 00:19:28.000000000,0 days 01:12:25.000000000,0 days 00:35:30.000000000
14,15,DIDIER DAMIEN,TRI ROMANAIS PÉAGEOIS,V1 4,M,0 days 02:07:53.000000000,0 days 00:23:14.000000000,0 days 01:11:11.000000000,0 days 00:33:29.000000000
15,16,PELLETIER DELPHINE,BEAUVAIS TRI,S4 1,F,0 days 02:08:07.000000000,0 days 00:19:53.000000000,0 days 01:12:28.000000000,0 days 00:35:47.000000000
