,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,OUILLERES GWENAËL,TEAM MERMILLOD TRI,S2M (1),M,0 days 02:08:39.000000000,0 days 00:17:45.000000000,0 days 01:18:07.000000000,0 days 00:32:47.000000000
1,2,MOULAI TONY,POISSY TRI,S4M (1),M,0 days 02:11:42.000000000,0 days 00:16:23.000000000,0 days 01:21:58.000000000,0 days 00:33:22.000000000
2,3,NENER KENJI,PRTSC,S1M (1),M,0 days 02:12:55.000000000,0 days 00:16:19.000000000,0 days 01:23:36.000000000,0 days 00:33:01.000000000
3,4,STRAGAPEDE VINCENT,TEAM MERMILLOD TRI,S3M (1),M,0 days 02:18:16.000000000,0 days 00:18:17.000000000,0 days 01:24:45.000000000,0 days 00:35:15.000000000
4,5,ESPITALLIER SÉBASTIEN,TEAM MERMILLOD TRI,S4M (2),M,0 days 02:18:26.000000000,0 days 00:18:27.000000000,0 days 01:24:40.000000000,0 days 00:35:20.000000000
5,6,SPEECHLY SAM,AUSTRALIE,S1M (2),M,0 days 02:18:47.000000000,0 days 00:17:08.000000000,0 days 01:29:07.000000000,0 days 00:32:33.000000000
6,7,DUPONT PHILIPPE,TEAM MERMILLOD TRI,V1M (1),M,0 days 02:20:49.000000000,0 days 00:18:30.000000000,0 days 01:27:05.000000000,0 days 00:35:16.000000000
7,8,PAVAILLER SÉBASTIEN,CHAMBÉRY TRI,S1M (3),M,0 days 02:21:34.000000000,0 days 00:17:40.000000000,0 days 01:27:58.000000000,0 days 00:35:57.000000000
8,9,BERNAUD JEAN LOUIS,ASM ST ETIENNE TRI 42,S3M (2),M,0 days 02:22:16.000000000,0 days 00:18:16.000000000,0 days 01:25:40.000000000,0 days 00:38:20.000000000
9,10,ANTOINE PHILIPPE,TEAM MERMILLOD TRI,S4M (3),M,0 days 02:22:53.000000000,0 days 00:20:31.000000000,0 days 01:26:33.000000000,0 days 00:35:50.000000000
10,11,HOLLIGER BENJAMIN,FONTANIL TRI,S1M (4),M,0 days 02:23:35.000000000,,,0 days 00:35:04.000000000
11,12,FANTOLI OLIVIER,TEAM MERMILLOD TRI,V1M (2),M,0 days 02:23:52.000000000,0 days 00:18:26.000000000,0 days 01:28:40.000000000,0 days 00:36:48.000000000
12,13,CHRISTIN NICOLAS,AL ECHIROLLES TRI,S4M (4),M,0 days 02:23:59.000000000,0 days 00:20:34.000000000,0 days 01:27:07.000000000,0 days 00:36:20.000000000
13,14,LE ROY CORENTIN,VAULX EN VELIN TRI,S1M (5),M,0 days 02:24:10.000000000,0 days 00:20:14.000000000,0 days 01:28:18.000000000,0 days 00:35:39.000000000
14,15,BOUDIN CHRISTOPHE,TEAM MERMILLOD TRI,V1M (3),M,0 days 02:24:17.000000000,0 days 00:18:33.000000000,0 days 01:28:37.000000000,0 days 00:37:08.000000000
15,16,CUNCHON OLIVIER,MONISTROL NATATION,V1M (4),M,0 days 02:25:12.000000000,0 days 00:21:39.000000000,0 days 01:27:44.000000000,0 days 00:35:50.000000000
16,17,GUERRET HUGO,TRISALÈVE ANNEMASSE,S1M (6),M,0 days 02:25:21.000000000,0 days 00:17:27.000000000,0 days 01:29:58.000000000,0 days 00:37:58.000000000
17,18,AUPAIX LAURENT,VALENCE TRI,S2M (2),M,0 days 02:25:44.000000000,0 days 00:19:27.000000000,0 days 01:25:58.000000000,0 days 00:40:21.000000000
