,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,DECAS DAMIEN,VALENCE TRIATHLON,1 S1M,M,0 days 02:10:41.000000000,0 days 00:18:18.000000000,0 days 01:16:36.000000000,0 days 00:35:48.000000000
1,2,LANDREAU ANTONY,VITROLLES TRIATHLON,1 S4M,M,0 days 02:13:38.000000000,0 days 00:20:57.000000000,0 days 01:16:56.000000000,0 days 00:35:45.000000000
2,3,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,1 V1M,M,0 days 02:15:01.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:35:25.000000000
3,4,ESPITALIER SÉBASTIEN,TEAM MERMILLOD TRIATHLON,1 S3M,M,0 days 02:15:10.000000000,0 days 00:20:40.000000000,0 days 01:20:00.000000000,0 days 00:34:31.000000000
4,5,CRIADO ROMAIN,CRV LYON TRIATHLON,1 S2M,M,0 days 02:16:22.000000000,0 days 00:19:41.000000000,0 days 01:21:33.000000000,0 days 00:35:09.000000000
5,6,CARASSUS ERIC,TEAM MERMILLOD TRIATHLON,2 V1M,M,0 days 02:16:50.000000000,0 days 00:25:15.000000000,0 days 01:17:38.000000000,0 days 00:33:58.000000000
6,7,ANTOINE PHILIPPE,BOURG EN BRESSE TRIATHLON,2 S4M,M,0 days 02:17:21.000000000,0 days 00:20:43.000000000,0 days 01:21:14.000000000,0 days 00:35:25.000000000
7,8,RUSCONI MICKAEL,ALLIGATORS SEYNOD TRIATHLON,2 S1M,M,0 days 02:17:28.000000000,0 days 00:20:41.000000000,0 days 01:20:34.000000000,0 days 00:36:14.000000000
8,9,FANTOLI OLIVIER,TEAM MERMILLOD TRIATHLON,3 V1M,M,0 days 02:17:49.000000000,0 days 00:18:53.000000000,0 days 01:21:35.000000000,0 days 00:37:22.000000000
9,10,CHEYREZY ROBIN,TRICASTIN TRIATHLON CLUB,1 JUM,M,0 days 02:18:10.000000000,0 days 00:18:20.000000000,0 days 01:19:46.000000000,0 days 00:40:05.000000000
10,11,ORVELIN JULIEN,TEAM JOINRACE,3 S1M,M,0 days 02:18:21.000000000,0 days 00:21:16.000000000,0 days 01:20:00.000000000,0 days 00:37:06.000000000
