,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,COURT SEBASTIEN,EC SARTROUVILLE,1° MSe,M,0 days 02:09:52.000000000,0 days 00:23:05.000000000,0 days 01:10:43.000000000,0 days 00:36:02.000000000
1,2,ESPITALIER SEBASTIEN,TMT,2° MSe,M,0 days 02:10:49.000000000,0 days 00:26:12.000000000,0 days 01:07:52.000000000,0 days 00:36:44.000000000
2,3,COPETTI BASTIEN,CRV LYON,3° MSe,M,0 days 02:15:04.000000000,0 days 00:23:40.000000000,0 days 01:11:07.000000000,0 days 00:40:16.000000000
3,4,LE ROY CORENTIN,VAULX EN VELIN TRIATHLON,4° MSe,M,0 days 02:16:02.000000000,0 days 00:27:29.000000000,0 days 01:10:17.000000000,0 days 00:38:14.000000000
4,5,JOUFFRET SÉBASTIEN,TRIATHLON MONTÉLIMAR,5° MSe,M,0 days 02:16:43.000000000,0 days 00:25:54.000000000,0 days 01:09:59.000000000,0 days 00:40:49.000000000
5,6,ANTOINE PHILIPPE,TMT,6° MSe,M,0 days 02:16:53.000000000,0 days 00:26:49.000000000,0 days 01:11:58.000000000,0 days 00:38:04.000000000
6,7,FREVENT SYLVAIN,VALENCE TRIATHLON,7° MSe,M,0 days 02:17:47.000000000,0 days 00:26:55.000000000,0 days 01:09:59.000000000,0 days 00:40:51.000000000
7,8,FOUGERE MATHIEU,FONTANIL TRIATHLON,1° MVe,M,0 days 02:19:11.000000000,0 days 00:26:23.000000000,0 days 01:13:15.000000000,0 days 00:39:32.000000000
8,9,TSIRTSIKOLOU VALENTIN,ASVEL TRIATHLON,8° MSe,M,0 days 02:19:31.000000000,0 days 00:27:43.000000000,0 days 01:11:15.000000000,0 days 00:40:32.000000000
9,10,RODRIGUEZ JOHAN,VAULX EN VELIN TRIATHLON,9° MSe,M,0 days 02:19:31.000000000,0 days 00:25:04.000000000,0 days 01:11:59.000000000,0 days 00:42:27.000000000
10,11,MIZZON THIERRY,ASMSE TRIATHLON,10° MSe,M,0 days 02:19:47.000000000,0 days 00:26:31.000000000,0 days 01:14:16.000000000,0 days 00:38:59.000000000
11,12,FALQUE YANNICK,NON LICENCIE,11° MSe,M,0 days 02:19:49.000000000,0 days 00:28:28.000000000,0 days 01:10:13.000000000,0 days 00:41:08.000000000
12,13,CHARIATA ERIC,TRYSSINGEAUX,2° MVe,M,0 days 02:21:45.000000000,0 days 00:29:06.000000000,0 days 01:13:21.000000000,0 days 00:39:17.000000000
13,14,GUITTOT NICOLAS,TRITH LONS,12° MSe,M,0 days 02:22:21.000000000,0 days 00:27:40.000000000,0 days 01:15:30.000000000,0 days 00:39:10.000000000
14,15,EMERY SEBASTIEN,FONTANIL TRIATHLON,3° MVe,M,0 days 02:22:40.000000000,0 days 00:28:41.000000000,0 days 01:15:13.000000000,0 days 00:38:45.000000000
15,16,PERSONNE GRÉGORY,ANNONAY TRIATHLON,4° MVe,M,0 days 02:22:44.000000000,0 days 00:30:13.000000000,0 days 01:16:05.000000000,0 days 00:36:24.000000000
16,17,RENOU NICOLAS,TRIATHLON AMBERIEU EN BUGEY,13° MSe,M,0 days 02:23:00.000000000,0 days 00:26:39.000000000,0 days 01:15:48.000000000,0 days 00:40:31.000000000
17,18,BUZZARELLO YANNICK,ECHIROLLES TRIATHLON,14° MSe,M,0 days 02:23:09.000000000,0 days 00:27:34.000000000,0 days 01:18:03.000000000,0 days 00:37:31.000000000
18,19,VENET MATTHIEU,BBT,15° MSe,M,0 days 02:23:52.000000000,0 days 00:27:09.000000000,0 days 01:16:21.000000000,0 days 00:40:21.000000000
19,20,DIDIER DAMIEN,TRIATHLON ROMANAIS PEAGEOIS,5° MVe,M,0 days 02:24:05.000000000,0 days 00:29:44.000000000,0 days 01:14:57.000000000,0 days 00:39:22.000000000
20,21,RICHARD YANN,BBT,16° MSe,M,0 days 02:24:31.000000000,0 days 00:28:09.000000000,0 days 01:14:12.000000000,0 days 00:42:08.000000000
21,22,JEAN MARC ROBERT,ASVEL TRIATHLON,17° MSe,M,0 days 02:25:10.000000000,0 days 00:26:45.000000000,0 days 01:19:40.000000000,0 days 00:38:44.000000000
22,23,RAVACHOL ERIC,ASMSE TRIATHLON,6° MVe,M,0 days 02:25:28.000000000,0 days 00:28:30.000000000,0 days 01:13:51.000000000,0 days 00:43:06.000000000
23,24,CARDON MICHAEL,ROUGEOT BEAUNE TRIATHLON,18° MSe,M,0 days 02:25:31.000000000,0 days 00:31:07.000000000,0 days 01:14:02.000000000,0 days 00:40:21.000000000
24,25,MEZGUELDI MOHAMED,ANNONAY TRIATHLON,7° MVe,M,0 days 02:25:38.000000000,0 days 00:29:15.000000000,0 days 01:15:45.000000000,0 days 00:40:36.000000000
25,26,SZYMEZAK PIERRE,ANNONAY TRIATHLON,19° MSe,M,0 days 02:26:22.000000000,0 days 00:29:07.000000000,0 days 01:15:49.000000000,0 days 00:41:24.000000000
26,27,FOURNIER DOMINIQUE,BBT,8° MVe,M,0 days 02:26:31.000000000,0 days 00:29:13.000000000,0 days 01:16:30.000000000,0 days 00:40:47.000000000
27,28,NICOD VINCENT,OULLINS TRIATHLON,9° MVe,M,0 days 02:26:36.000000000,0 days 00:30:24.000000000,0 days 01:15:20.000000000,0 days 00:40:51.000000000
28,29,DUPUPED PATRICE,RILLIEUX TRIATHLON,10° MVe,M,0 days 02:27:46.000000000,0 days 00:30:51.000000000,0 days 01:15:12.000000000,0 days 00:41:41.000000000
29,30,CHARRAIN-BRISSEAUD GEOFFREY,GULHERAND GRANGES TRIATHLON,20° MSe,M,0 days 02:29:01.000000000,0 days 00:31:42.000000000,0 days 01:16:19.000000000,0 days 00:40:59.000000000
30,31,GENSEL MICKAEL,VALENCE TRIATHLON,21° MSe,M,0 days 02:29:11.000000000,0 days 00:30:07.000000000,0 days 01:17:14.000000000,0 days 00:41:49.000000000
31,32,POINSARD BORIS,TRI VILLEFRANCHE,22° MSe,M,0 days 02:29:54.000000000,0 days 00:31:29.000000000,0 days 01:17:46.000000000,0 days 00:40:38.000000000
32,33,FERNANDEZ LOIC,ASMSE TRIATHLON,23° MSe,M,0 days 02:30:01.000000000,0 days 00:26:47.000000000,0 days 01:21:16.000000000,0 days 00:41:56.000000000
33,34,DAGNIAUX GILLES,ALLIGATORS SEYNOD TRIATHLON,11° MVe,M,0 days 02:30:04.000000000,0 days 00:31:48.000000000,0 days 01:16:53.000000000,0 days 00:41:22.000000000
34,35,MOSSLER JOHANN,TRIATHLON ROMANAIS PEAGEOIS,24° MSe,M,0 days 02:30:28.000000000,0 days 00:28:18.000000000,0 days 01:14:33.000000000,0 days 00:47:36.000000000
35,36,AYME STEPHANIE,TRICASTIN TRIATHLON CLUB,1° FVe,F,0 days 02:31:07.000000000,0 days 00:26:00.000000000,0 days 01:21:00.000000000,0 days 00:44:06.000000000
36,37,GAULIARDON LIONEL,ASMSE TRIATHLON,25° MSe,M,0 days 02:31:26.000000000,0 days 00:38:44.000000000,0 days 01:11:40.000000000,0 days 00:41:01.000000000
37,38,COUDERT RONAN,CRV LYON,26° MSe,M,0 days 02:31:50.000000000,0 days 00:32:21.000000000,0 days 01:18:07.000000000,0 days 00:41:20.000000000
38,39,BERGERON CHRISTOPHE,ECHIROLLES TRIATHLON,12° MVe,M,0 days 02:32:06.000000000,0 days 00:27:21.000000000,0 days 01:17:52.000000000,0 days 00:46:52.000000000
39,40,DEDIEU GAETAN,ANNONAY TRIATHLON,27° MSe,M,0 days 02:32:21.000000000,0 days 00:29:30.000000000,0 days 01:17:56.000000000,0 days 00:44:54.000000000
40,41,FRECON SÉBASTIEN,ECSPR TRIATHLON,28° MSe,M,0 days 02:32:54.000000000,0 days 00:31:23.000000000,0 days 01:16:53.000000000,0 days 00:44:36.000000000
41,42,LICHTFOUSE ERIC,DIJON SINGLETRACK,13° MVe,M,0 days 02:32:57.000000000,0 days 00:29:48.000000000,0 days 01:17:33.000000000,0 days 00:45:35.000000000
42,43,BRODER EMMANUEL,TRIALP MOIRANS,14° MVe,M,0 days 02:33:10.000000000,0 days 00:29:03.000000000,0 days 01:19:20.000000000,0 days 00:44:45.000000000
43,44,POISSON QUENTIN,ASSP TRIATHLON 69,29° MSe,M,0 days 02:33:41.000000000,0 days 00:31:11.000000000,0 days 01:14:37.000000000,0 days 00:47:52.000000000
44,45,PUAUX FRÉDÉRIC,ANNONAY TRIATHLON,15° MVe,M,0 days 02:33:49.000000000,0 days 00:29:20.000000000,0 days 01:19:08.000000000,0 days 00:45:19.000000000
45,46,VENIER JEAN-BAPTISTE,ASMSE TRIATHLON,16° MVe,M,0 days 02:34:11.000000000,0 days 00:29:27.000000000,0 days 01:22:50.000000000,0 days 00:41:53.000000000
46,47,ENCHERY FRANCOIS,OULLINS TRIATHLON,30° MSe,M,0 days 02:34:24.000000000,0 days 00:32:43.000000000,0 days 01:17:20.000000000,0 days 00:44:19.000000000
47,48,MAUGERAD ROMAIN,CRV LYON,31° MSe,M,0 days 02:34:37.000000000,0 days 00:32:27.000000000,0 days 01:18:38.000000000,0 days 00:43:31.000000000
48,49,MIENVILLE NICOLAS,FONTANIL TRIATHLON,32° MSe,M,0 days 02:34:43.000000000,0 days 00:33:11.000000000,0 days 01:20:38.000000000,0 days 00:40:52.000000000
49,50,SORET GERALD,VAULX EN VELIN TRIATHLON,17° MVe,M,0 days 02:34:50.000000000,0 days 00:35:56.000000000,0 days 01:18:36.000000000,0 days 00:40:17.000000000
50,51,MAZET FRANCK,TRI VILLEFRANCHE,18° MVe,M,0 days 02:34:55.000000000,0 days 00:29:19.000000000,0 days 01:20:53.000000000,0 days 00:44:41.000000000
51,52,RENARD OLIVIER,ECSPR TRIATHLON,19° MVe,M,0 days 02:35:11.000000000,0 days 00:31:14.000000000,0 days 01:20:51.000000000,0 days 00:43:05.000000000
