,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,VIAIN SIMON,VALENCE TRIATHLON,1 S1M,,0 days 00:59:46.000000000,0 days 00:08:57.000000000,0 days 00:33:09.000000000,0 days 00:17:42.000000000
1,2,DIEMUNSCH ETIENNE,VITROLLES TRIATHLON,1 S2M,,0 days 01:00:48.000000000,0 days 00:09:00.000000000,0 days 00:34:50.000000000,0 days 00:17:00.000000000
2,3,DECAS DAMIEN,VALENCE TRIATHLON,2 S1M,,0 days 01:00:57.000000000,0 days 00:09:00.000000000,0 days 00:33:01.000000000,0 days 00:18:58.000000000
3,4,DEBARD THÉO,[43] TRYSSINGEAUX,1 JUM,,0 days 01:03:46.000000000,0 days 00:10:29.000000000,0 days 00:34:12.000000000,0 days 00:19:07.000000000
4,5,MOURIER JOCELYN,[26] TRICATIN TRIATHLON CLUB,3 S1M,,0 days 01:04:27.000000000,0 days 00:09:01.000000000,0 days 00:35:10.000000000,0 days 00:20:18.000000000
5,6,REBEYROTTE THEO,[69] ASVEL TRIATHLON,2 S2M,,0 days 01:04:40.000000000,0 days 00:09:43.000000000,0 days 00:36:09.000000000,0 days 00:18:49.000000000
6,7,AUREILLE FLORIAN,[38] TEAM MERMILLOD TRIATHLON,1 S3M,,0 days 01:05:25.000000000,0 days 00:11:18.000000000,0 days 00:34:40.000000000,0 days 00:19:29.000000000
7,8,AMO THOMAS,[34] TRIATHLON CLUB DE LA GRANDE MOTTE,3 S2M,,0 days 01:06:02.000000000,0 days 00:09:40.000000000,0 days 00:36:55.000000000,0 days 00:19:28.000000000
8,9,PERSONNE GREGORY,[07] ANNONAY TRIATHLON,1 V1M,,0 days 01:06:33.000000000,0 days 00:12:06.000000000,0 days 00:35:41.000000000,0 days 00:18:48.000000000
9,10,SCHMIDT MARTIAL,[67] SG WANTZENAU TRIATHLON,2 S3M,,0 days 01:06:59.000000000,0 days 00:11:48.000000000,0 days 00:36:28.000000000,0 days 00:18:45.000000000
10,11,BOUDIN CHRISTOPHE,[74] TEAM MERMILLOD TRIATHLON,2 V1M,,0 days 01:07:04.000000000,0 days 00:10:32.000000000,0 days 00:36:48.000000000,0 days 00:19:45.000000000
11,12,BEOLET CEDRIC,[26] TEAM MERMILLOD TRIATHLON,1 S4M,,0 days 01:07:06.000000000,0 days 00:12:49.000000000,0 days 00:34:06.000000000,0 days 00:20:13.000000000
12,13,CHARROL BERNARD,[26] VALENCE TRIATHLON,3 V1M,,0 days 01:07:12.000000000,0 days 00:11:44.000000000,0 days 00:35:34.000000000,0 days 00:19:55.000000000
13,14,CHARITAT ÉRIC,[43] TRYSSINGEAUX,4 V1M,,0 days 01:07:21.000000000,0 days 00:11:58.000000000,0 days 00:35:39.000000000,0 days 00:19:45.000000000
14,15,HUSTACHE THOMAS,[69] MACH3 TRIATHLON,4 S2M,,0 days 01:07:31.000000000,0 days 00:09:49.000000000,0 days 00:37:19.000000000,0 days 00:20:25.000000000
15,16,BOLON NICOLAS,[84] VALENCE TRIATHLON,3 S3M,,0 days 01:07:41.000000000,0 days 00:10:03.000000000,0 days 00:37:22.000000000,0 days 00:20:17.000000000
16,17,SAUVANT NICOLAS,[26] VALENCE TRIATHLON,2 S4M,,0 days 01:07:45.000000000,0 days 00:09:45.000000000,0 days 00:37:38.000000000,0 days 00:20:24.000000000
17,18,MENNESSON MATTHIEU,[26] VALENCE TRIATHLON,5 V1M,,0 days 01:07:54.000000000,0 days 00:12:43.000000000,0 days 00:35:01.000000000,0 days 00:20:11.000000000
18,19,BRYCZMAN PHILIPPE,[26] VALENCE TRIATHLON,6 V1M,,0 days 01:08:05.000000000,0 days 00:10:52.000000000,0 days 00:36:38.000000000,0 days 00:20:37.000000000
19,20,FERRERE LUDOVIC,[34] LA GRANDE MOTTE TRIATHLON,5 S2M,,0 days 01:08:10.000000000,0 days 00:09:42.000000000,0 days 00:37:02.000000000,0 days 00:21:28.000000000
20,21,FABBRI MICHAEL,[26] ASSP TRIATHLON 69,4 S3M,,0 days 01:08:11.000000000,0 days 00:11:43.000000000,0 days 00:35:57.000000000,0 days 00:20:33.000000000
21,22,WHITE LAURENT,[74] TEAM MERMILLOD TRIATHLON,5 S3M,,0 days 01:08:17.000000000,0 days 00:11:44.000000000,0 days 00:35:55.000000000,0 days 00:20:40.000000000
22,23,DUPUY MATHIEU,[78] TRIATHLON SAINT REMY LES CHEVREUSE,3 S4M,,0 days 01:08:39.000000000,0 days 00:12:00.000000000,0 days 00:35:27.000000000,0 days 00:21:14.000000000
23,24,SARDA PAUL,TRYSSINGEAUX,1 CAM,,0 days 01:08:48.000000000,0 days 00:09:37.000000000,0 days 00:37:00.000000000,0 days 00:22:13.000000000
24,25,CLAVELLE ELIOT,[71] CHALON TRIATHLON CLUB,2 JUM,,0 days 01:08:55.000000000,0 days 00:10:36.000000000,0 days 00:37:39.000000000,0 days 00:20:42.000000000
25,26,WAGNER JOEL,[38] ACO TRIATHLON,4 S4M,,0 days 01:09:39.000000000,0 days 00:12:41.000000000,0 days 00:36:34.000000000,0 days 00:20:25.000000000
26,27,PERIN MORGAN,[26] GUIHLERAND GRANGES TRIATHLON,4 S1M,,0 days 01:09:49.000000000,0 days 00:12:57.000000000,0 days 00:34:06.000000000,0 days 00:22:48.000000000
27,28,GAUTIER ERIC,[38] FONTANIL TRIATHLON,1 V2M,,0 days 01:10:29.000000000,0 days 00:12:26.000000000,0 days 00:36:41.000000000,0 days 00:21:24.000000000
28,29,ALLIBERT MAXIME,[07] MONTÉLIMAR TRIATHLON,5 S1M,,0 days 01:10:48.000000000,0 days 00:11:51.000000000,0 days 00:36:11.000000000,0 days 00:22:48.000000000
29,30,FRECON SÉBASTIEN,[38] ECSPR,6 S3M,,0 days 01:10:53.000000000,0 days 00:11:30.000000000,0 days 00:36:29.000000000,0 days 00:22:56.000000000
30,31,DUPUPED PATRICE,RILLIEUX TRIATHLON,7 V1M,,0 days 01:11:01.000000000,0 days 00:12:38.000000000,0 days 00:37:15.000000000,0 days 00:21:10.000000000
31,32,GUILLON LIONEL,[38] FONTANIL TRIATHLON,8 V1M,,0 days 01:11:11.000000000,0 days 00:10:55.000000000,0 days 00:38:00.000000000,0 days 00:22:18.000000000
32,33,BRESSE GUILLAUME,[26] TC2R,7 S3M,,0 days 01:11:13.000000000,0 days 00:12:09.000000000,0 days 00:37:01.000000000,0 days 00:22:04.000000000
33,34,SZADECZKI DANIEL,NON LICENCIÉ,1 V3M,,0 days 01:11:19.000000000,0 days 00:11:20.000000000,0 days 00:39:01.000000000,0 days 00:20:59.000000000
34,35,DECHANCE ANTHONY,[26] VALENCE TRIATHLON,6 S2M,,0 days 01:11:24.000000000,0 days 00:11:55.000000000,0 days 00:37:42.000000000,0 days 00:21:49.000000000
35,36,ROSSI ROMAIN,[26] TRICATIN TRIATHLON CLUB,6 S1M,,0 days 01:11:34.000000000,0 days 00:10:37.000000000,0 days 00:38:56.000000000,0 days 00:22:03.000000000
36,37,ROCA ARNAU,[26] VALENCE TRIATHLON,8 S3M,,0 days 01:11:46.000000000,0 days 00:12:28.000000000,0 days 00:36:40.000000000,0 days 00:22:39.000000000
37,38,DUVAUT ALEXANDRE,[71] CHALON TRIATHLON CLUB,7 S1M,,0 days 01:11:53.000000000,0 days 00:10:52.000000000,0 days 00:38:29.000000000,0 days 00:22:33.000000000
38,39,DANEL JÉRÔME,[59] NON LICENCIÉ,9 V1M,,0 days 01:12:19.000000000,0 days 00:12:39.000000000,0 days 00:39:19.000000000,0 days 00:20:22.000000000
39,40,PELLISSIER REMI,[38] FONTANIL TRIATHLON,5 S4M,,0 days 01:12:32.000000000,0 days 00:11:33.000000000,0 days 00:37:40.000000000,0 days 00:23:21.000000000
40,41,MANTULET GABIN,[38] GUC TRIATHLON,8 S1M,,0 days 01:12:48.000000000,0 days 00:12:51.000000000,0 days 00:38:18.000000000,0 days 00:21:41.000000000
41,42,BRESSIEUX ARNAUD,[69] RILLIEUX TRIATHLON,7 S2M,,0 days 01:13:17.000000000,0 days 00:12:42.000000000,0 days 00:37:26.000000000,0 days 00:23:11.000000000
42,43,MOULUSSON SERGE,[83] TRIATHLON CLUB CHATEAUROUX 36,2 V3M,,0 days 01:13:21.000000000,0 days 00:12:27.000000000,0 days 00:38:35.000000000,0 days 00:22:20.000000000
43,44,TORGUE MATTHIEU,[38] MACH3 TRIATHLON,8 S2M,,0 days 01:13:27.000000000,0 days 00:12:02.000000000,0 days 00:39:09.000000000,0 days 00:22:17.000000000
44,45,DUPUY RÉMY,NON LICENCIÉ,3 JUM,,0 days 01:13:40.000000000,0 days 00:13:33.000000000,0 days 00:37:47.000000000,0 days 00:22:21.000000000
45,46,ROUSSET HUGUES,[26] TC2R,10 V1M,,0 days 01:13:42.000000000,0 days 00:11:43.000000000,0 days 00:38:21.000000000,0 days 00:23:40.000000000
46,47,BOISSY GUILLAUME,[07] NON LICENCIÉ,9 S2M,,0 days 01:13:53.000000000,0 days 00:12:18.000000000,0 days 00:38:45.000000000,0 days 00:22:51.000000000
47,48,PUAUX FREDERIC,[07] ANNONAY TRIATHLON,11 V1M,,0 days 01:14:00.000000000,0 days 00:12:08.000000000,0 days 00:38:08.000000000,0 days 00:23:46.000000000
48,49,BROUSTE-VINCENT FABIEN,[74] TEAM MERMILLOD TRIATHLON,9 S3M,,0 days 01:14:08.000000000,0 days 00:13:06.000000000,0 days 00:39:28.000000000,0 days 00:21:35.000000000
49,50,ROUVIER JEAN-BAPTISTE,[26] VALENCE TRIATHLON,10 S2M,,0 days 01:14:19.000000000,0 days 00:12:01.000000000,0 days 00:37:24.000000000,0 days 00:24:56.000000000
50,51,BOURSE VIVIAN,[30] MONTÉLIMAR TRIATHLON,11 S2M,,0 days 01:14:20.000000000,0 days 00:13:49.000000000,0 days 00:37:41.000000000,0 days 00:22:52.000000000
51,52,GARDINER WILLIAM,[26] TC2R,2 V2M,,0 days 01:14:24.000000000,0 days 00:12:37.000000000,0 days 00:38:30.000000000,0 days 00:23:18.000000000
52,53,BADEL VINCENT,ASMSETRI42,9 S1M,,0 days 01:14:36.000000000,0 days 00:12:47.000000000,0 days 00:38:44.000000000,0 days 00:23:06.000000000
53,54,BIANCHIN STEPHANE,[26] TC2R,6 S4M,,0 days 01:14:38.000000000,0 days 00:12:31.000000000,0 days 00:37:37.000000000,0 days 00:24:31.000000000
54,55,DA SILVA JOAQUIM,[07] CORNAS,7 S4M,,0 days 01:14:52.000000000,0 days 00:11:41.000000000,0 days 00:39:24.000000000,0 days 00:23:48.000000000
55,56,DESCLOZEAUX GRÉGOIRE,VALENCE TRIATHLON,10 S3M,,0 days 01:14:59.000000000,0 days 00:11:47.000000000,0 days 00:39:47.000000000,0 days 00:23:27.000000000
56,57,LARNAUD BENOIT,[07] ANNONAY TRIATHLON,11 S3M,,0 days 01:15:01.000000000,0 days 00:13:35.000000000,0 days 00:39:40.000000000,0 days 00:21:48.000000000
57,58,CHAON STÉPHANE,[83] HYERES TRIATHLON,12 V1M,,0 days 01:15:05.000000000,0 days 00:11:40.000000000,0 days 00:39:46.000000000,0 days 00:23:40.000000000
58,59,MIGOUT FRANCK,[12] OLYMPIQUE NICE NATATION,3 V2M,,0 days 01:15:25.000000000,0 days 00:12:48.000000000,0 days 00:37:56.000000000,0 days 00:24:42.000000000
59,60,SALAMONE HERVÉ,[69] MACH3 TRIATHLON,13 V1M,,0 days 01:15:49.000000000,0 days 00:11:51.000000000,,
60,61,JAILLET PIERRE,[38] OREADE,14 V1M,,0 days 01:16:10.000000000,0 days 00:10:27.000000000,0 days 00:40:19.000000000,0 days 00:25:25.000000000
61,62,DULAURENT JEAN,[71] TRIATHLON MACON CLUB,12 S3M,,0 days 01:16:14.000000000,0 days 00:12:17.000000000,0 days 00:39:30.000000000,0 days 00:24:28.000000000
62,63,JANUEL FREDERIC,[43] TRYSSINGEAUX,8 S4M,,0 days 01:16:30.000000000,0 days 00:14:37.000000000,,
63,64,GAUDILLAT PHILIPPE,[38] FONTANIL TRIATHLON,4 V2M,,0 days 01:16:44.000000000,0 days 00:14:21.000000000,0 days 00:40:39.000000000,0 days 00:21:46.000000000
64,65,FILIOT MATHIEU,[69] OULLINS TRIATHLON,15 V1M,,0 days 01:16:45.000000000,0 days 00:13:31.000000000,0 days 00:40:28.000000000,0 days 00:22:47.000000000
65,66,BRANCHARD OLIVIER,FONTANIL TRIATHLON,9 S4M,,0 days 01:16:49.000000000,0 days 00:13:08.000000000,0 days 00:40:53.000000000,0 days 00:22:50.000000000
66,67,BARALE XAVIER,[38] MACH3 TRIATHLON,10 S4M,,0 days 01:16:52.000000000,0 days 00:14:29.000000000,,
