,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,JURKIEWICKZ JEREMY,ASMSE,1 S1M,,0 days 03:52:52.000000000,0 days 00:00:00.000000000,0 days 02:02:22.000000000,0 days 01:13:42.000000000
1,2,OUILLERES GWENAEL,TEAM MERMILLOD TRIATHLON,1 S2M,,0 days 03:54:51.000000000,0 days 00:40:43.000000000,0 days 02:03:42.000000000,0 days 01:10:27.000000000
2,3,FERNADEZ NICOLAS,TRIATHL AIX,2 S2M,,0 days 03:56:16.000000000,0 days 00:40:24.000000000,0 days 02:04:02.000000000,0 days 01:11:51.000000000
3,4,JARRIGE YVAN,TOC CESSON SEVIGNE,2 S1M,,0 days 03:57:16.000000000,0 days 00:37:25.000000000,0 days 02:06:56.000000000,0 days 01:12:57.000000000
4,5,TYRODE FRÉDÉRIC,GROUPE TRIATHLON VESOUL HAUTE SA,1 S4M,,0 days 04:06:32.000000000,0 days 00:42:18.000000000,0 days 02:07:04.000000000,0 days 01:17:11.000000000
5,6,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,2 S4M,,0 days 04:07:52.000000000,0 days 00:40:10.000000000,0 days 02:12:33.000000000,0 days 01:15:10.000000000
6,7,BARTHELEMY ANTOINE,GROUPE TRIATHLON VESOUL HAUTE SA,3 S1M,,0 days 04:09:05.000000000,0 days 00:40:28.000000000,0 days 02:10:56.000000000,0 days 01:17:43.000000000
7,8,MICHEL LOIC,TEAM MERMILLOD TRIATHLON,3 S2M,,0 days 04:09:44.000000000,0 days 00:47:04.000000000,0 days 02:12:37.000000000,0 days 01:10:04.000000000
8,9,PANNIER ANTHONY,METZ TRIATHLON,4 S2M,,0 days 04:11:12.000000000,0 days 00:37:20.000000000,0 days 02:03:35.000000000,0 days 01:30:18.000000000
9,10,REBEYROTTE THÉO,METZ TRIATHLON,4 S1M,,0 days 04:12:14.000000000,0 days 00:37:32.000000000,0 days 02:11:51.000000000,0 days 01:22:52.000000000
10,11,MOREAUX FRANÇOIS,GROUPE TRIATHLON VESOUL HAUTE SA,1 V1M,,0 days 04:13:46.000000000,0 days 00:41:52.000000000,0 days 02:10:08.000000000,0 days 01:21:46.000000000
11,12,BALLY LAURENT,A.L. ECHIROLLES TRIATHLON,5 S2M,,0 days 04:14:37.000000000,0 days 00:42:08.000000000,0 days 02:15:19.000000000,0 days 01:17:11.000000000
12,13,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,1 S3M,,0 days 04:18:51.000000000,0 days 00:41:52.000000000,0 days 02:15:02.000000000,0 days 01:21:58.000000000
13,14,CUNCHON OLIVIER,MONISTROL NATATION,3 S4M,,0 days 04:20:13.000000000,0 days 00:44:12.000000000,0 days 02:20:45.000000000,0 days 01:15:17.000000000
14,15,FAIVRE LOIC,TRIATHLON CLUB AUXONNAIS,4 S4M,,0 days 04:20:18.000000000,0 days 00:45:33.000000000,0 days 02:15:53.000000000,0 days 01:18:53.000000000
15,16,FANTOLI OLIVIER,TEAM MERMILLOD TRIATHLON,2 V1M,,0 days 04:22:00.000000000,0 days 00:40:12.000000000,0 days 02:19:42.000000000,0 days 01:22:07.000000000
16,17,JACQUES PIERRE ANDRÉ,LES MILLE PATTES TRIATHLON,6 S2M,,0 days 04:22:24.000000000,0 days 00:47:03.000000000,0 days 02:17:46.000000000,0 days 01:17:36.000000000
17,18,PICHON LIONEL,CHAMBERY TRIATHLON,2 S3M,,0 days 04:23:17.000000000,0 days 00:47:16.000000000,0 days 02:13:24.000000000,0 days 01:22:38.000000000
18,19,BELLET LAURENT,AIX SAVOIE TRIATHLON,3 V1M,,0 days 04:23:35.000000000,0 days 00:54:09.000000000,0 days 02:12:50.000000000,0 days 01:16:36.000000000
19,20,LINGEN SYLVAIN,AIX SAVOIE TRIATHLON,3 S3M,,0 days 04:23:42.000000000,0 days 00:42:31.000000000,0 days 02:18:06.000000000,0 days 01:23:06.000000000
20,21,ORVELIN JULIEN,CHAMBERY TRIATHLON,5 S1M,,0 days 04:25:01.000000000,0 days 00:43:09.000000000,0 days 02:11:37.000000000,0 days 01:30:16.000000000
21,22,GUIGAND OLIVIER,ASMSE,5 S4M,,0 days 04:26:02.000000000,0 days 00:48:10.000000000,0 days 02:19:58.000000000,0 days 01:17:55.000000000
22,23,ARNAUD CÉDRIC,LES ALLIGATORS SEYNOD TRIATHLON,4 S3M,,0 days 04:26:34.000000000,0 days 00:48:55.000000000,0 days 02:16:09.000000000,0 days 01:21:31.000000000
23,24,SAUVANT NICOLAS,VALENCE TRIATHLON,6 S4M,,0 days 04:26:41.000000000,0 days 00:39:24.000000000,0 days 02:23:11.000000000,0 days 01:24:06.000000000
24,25,BESSIERES LAURENT,GUC TRIATHLON,7 S4M,,0 days 04:26:42.000000000,0 days 00:50:17.000000000,0 days 02:12:27.000000000,0 days 01:23:59.000000000
25,26,MARTEL JÉRÔME,VALENCE TRIATHLON,8 S4M,,0 days 04:28:29.000000000,0 days 00:45:36.000000000,0 days 02:19:54.000000000,0 days 01:23:00.000000000
26,27,PHILIBERT ERIC,AIX SAVOIE TRIATHLON,5 S3M,,0 days 04:30:30.000000000,0 days 00:49:04.000000000,0 days 02:18:31.000000000,0 days 01:22:56.000000000
27,28,BRIGANT CHRISTOPHE,TRIATHLON AMBERIEU EN BUGEY,6 S3M,,0 days 04:32:15.000000000,0 days 00:47:09.000000000,0 days 02:20:22.000000000,0 days 01:24:44.000000000
28,29,DEMARES JEAN GUILLAIME,LAGARDERE PARIS RACING,9 S4M,,0 days 04:33:11.000000000,0 days 00:49:17.000000000,0 days 02:20:25.000000000,0 days 01:23:30.000000000
29,30,DI MARIA JEAN LUC,A.L. ECHIROLLES TRIATHLON,1 V2M,,0 days 04:33:28.000000000,0 days 00:47:57.000000000,0 days 02:20:08.000000000,0 days 01:25:24.000000000
30,31,BIDOLI RÉMI,GRESIVAUDAN TRIATHLON,7 S2M,,0 days 04:33:51.000000000,0 days 00:48:06.000000000,0 days 02:25:17.000000000,0 days 01:20:29.000000000
31,32,TRUANT BRUNO,TRIATHLON SANNOIS FRANCONVILLE,10 S4M,,0 days 04:34:34.000000000,0 days 00:48:22.000000000,0 days 02:23:53.000000000,0 days 01:22:20.000000000
32,33,POIZAT ERIC,TRIATHLON MACON CLUB,2 V2M,,0 days 04:34:35.000000000,0 days 00:48:21.000000000,0 days 02:22:52.000000000,0 days 01:23:23.000000000
33,34,DELICOURT STEPHANE,TRIALP MOIRANS,11 S4M,,0 days 04:34:40.000000000,0 days 00:49:35.000000000,0 days 02:24:34.000000000,0 days 01:20:32.000000000
34,35,GIRAUD TELME YVAN,TEAM MERMILLOD TRIATHLON,4 V1M,,0 days 04:34:46.000000000,0 days 00:50:24.000000000,0 days 02:17:43.000000000,0 days 01:26:39.000000000
35,36,NIER BENOIT,HYDROCYCLOPEDS,12 S4M,,0 days 04:35:17.000000000,0 days 00:46:38.000000000,0 days 02:19:33.000000000,0 days 01:29:08.000000000
36,37,IMBERT DAVID,EMBRUN TRIATHLON CLUB,5 V1M,,0 days 04:35:19.000000000,0 days 00:50:22.000000000,0 days 02:23:58.000000000,0 days 01:21:00.000000000
37,38,JOUFFRET SÉBASTIEN,TRIATHLON AMBERIEU EN BUGEY,8 S2M,,0 days 04:36:16.000000000,0 days 00:54:11.000000000,0 days 02:14:02.000000000,0 days 01:28:03.000000000
38,39,VIOLLAND NICOLAS,A.L. ECHIROLLES TRIATHLON,7 S3M,,0 days 04:36:36.000000000,0 days 00:46:02.000000000,0 days 02:20:53.000000000,0 days 01:29:42.000000000
39,40,GUILLON LIONEL,FONTANIL TRIATHLON,13 S4M,,0 days 04:37:03.000000000,0 days 00:45:16.000000000,0 days 02:21:44.000000000,0 days 01:30:04.000000000
40,41,VONARX FABRICE,A.L. ECHIROLLES TRIATHLON,8 S3M,,0 days 04:37:50.000000000,0 days 00:54:11.000000000,0 days 02:18:14.000000000,0 days 01:25:26.000000000
41,42,MOITA GAEL,TEAM MERMILLOD TRIATHLON,9 S3M,,0 days 04:37:58.000000000,0 days 00:46:40.000000000,0 days 02:25:43.000000000,0 days 01:25:36.000000000
42,43,EMERY SÉBASTIEN,LES MILLE PATTES TRIATHLON,14 S4M,,0 days 04:38:17.000000000,0 days 00:51:06.000000000,0 days 02:23:17.000000000,0 days 01:23:55.000000000
43,44,ROUDEAU FABIEN,AIX SAVOIE TRIATHLON,10 S3M,,0 days 04:39:07.000000000,0 days 00:45:35.000000000,0 days 02:18:39.000000000,0 days 01:34:55.000000000
44,45,BARDET CHRISTOPHE,SAVOIE TEAM TRIATHLON,6 V1M,,0 days 04:39:35.000000000,0 days 00:51:12.000000000,0 days 02:21:55.000000000,0 days 01:26:29.000000000
