,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,ESPITALIER SÉBASTIEN,TMT,1-MSe,M,0 days 02:15:23.000000000,0 days 00:25:55.000000000,0 days 01:11:38.000000000,0 days 00:37:48.000000000
1,2,LE ROY CORENTIN,VAULX EN VELIN TRIATHLON,2-MSe,M,0 days 02:17:28.000000000,0 days 00:28:08.000000000,0 days 01:12:40.000000000,0 days 00:36:39.000000000
2,3,PERCELAY GRÉGOIRE,TRIALP MOIRANS,3-MSe,M,0 days 02:19:04.000000000,0 days 00:28:29.000000000,0 days 01:11:53.000000000,0 days 00:38:42.000000000
3,4,COUTAND BENJAMIN,ASVEL TRIATHLON,4-MSe,M,0 days 02:23:14.000000000,0 days 00:30:47.000000000,0 days 01:15:07.000000000,0 days 00:37:18.000000000
4,5,LALEVEE BENOIT,LES MILLE PATTES TRIATHLON,1-MVe,M,0 days 02:25:14.000000000,0 days 00:29:26.000000000,0 days 01:13:50.000000000,0 days 00:41:56.000000000
5,6,MARTEL JEROME,GUILHERAND GRANGES TRIATHLON,5-MSe,M,0 days 02:26:20.000000000,0 days 00:28:45.000000000,0 days 01:16:42.000000000,0 days 00:40:52.000000000
6,7,GONON ANTOINE,BEAUNE ROUGEOT TRIATHLON,6-MSe,M,0 days 02:27:11.000000000,0 days 00:29:13.000000000,0 days 01:17:43.000000000,0 days 00:40:13.000000000
7,8,PHILIBERT ERIC,AIX SAVOIE TRIATHLON,7-MSe,M,0 days 02:27:28.000000000,0 days 00:30:12.000000000,0 days 01:17:24.000000000,0 days 00:39:50.000000000
8,9,MARTIN NICOLAS,TRISALEVE ANNEMASSE,8-MSe,M,0 days 02:27:30.000000000,0 days 00:29:56.000000000,0 days 01:15:53.000000000,0 days 00:41:39.000000000
9,10,DELICOURT STEPHANE,TRIALP MOIRANS,9-MSe,M,0 days 02:28:20.000000000,0 days 00:29:32.000000000,0 days 01:18:26.000000000,0 days 00:40:20.000000000
10,11,COTTIN BERNARD,ASM.SAINT-ETIENNE TRIATHLON 42,2-MVe,M,0 days 02:29:49.000000000,0 days 00:35:26.000000000,0 days 01:13:34.000000000,0 days 00:40:47.000000000
11,12,NOYER THIBAULT,VALLONS DE LA TOUR TRIATHLON,3-MVe,M,0 days 02:29:58.000000000,0 days 00:32:44.000000000,0 days 01:19:01.000000000,0 days 00:38:12.000000000
12,13,NICOD VINCENT,OULLINS TRIATHLON,4-MVe,M,0 days 02:30:40.000000000,0 days 00:32:24.000000000,0 days 01:18:13.000000000,0 days 00:40:02.000000000
13,14,GUILLON STÉPHANE,ECSPR TRIATHLON,5-MVe,M,0 days 02:31:54.000000000,0 days 00:32:05.000000000,0 days 01:18:00.000000000,0 days 00:41:48.000000000
14,15,BELVILLE EMERIC,AIX SAVOIE TRIATHLON,10-MSe,M,0 days 02:32:24.000000000,0 days 00:29:37.000000000,0 days 01:18:44.000000000,0 days 00:44:02.000000000
15,16,FRECON SEBASTIEN,ECSPR TRIATHLON,11-MSe,M,0 days 02:33:04.000000000,0 days 00:31:27.000000000,0 days 01:16:12.000000000,0 days 00:45:23.000000000
16,17,CLARETON XAVIER,ASSP TRI 69,6-MVe,M,0 days 02:34:29.000000000,0 days 00:32:45.000000000,0 days 01:20:55.000000000,0 days 00:40:47.000000000
17,18,LARNAUD BENOIT,ANNONAY TRIATHLON,12-MSe,M,0 days 02:35:33.000000000,0 days 00:33:22.000000000,0 days 01:20:50.000000000,0 days 00:41:19.000000000
18,19,POUPELLOZ RÉMI,CHAMBÉRY TRIATHLON,1-MJu,M,0 days 02:35:46.000000000,0 days 00:29:15.000000000,0 days 01:23:01.000000000,0 days 00:43:28.000000000
19,20,PICHON JEAN MARC,AIX SAVOIE TRIATHLON,7-MVe,M,0 days 02:36:05.000000000,0 days 00:32:08.000000000,0 days 01:21:59.000000000,0 days 00:41:57.000000000
20,21,LAFFONT MARC,ASVEL TRIATHLON,8-MVe,M,0 days 02:36:58.000000000,0 days 00:28:28.000000000,0 days 01:22:11.000000000,0 days 00:46:17.000000000
21,22,BIANCHIN STÉPHANE,TC2R,13-MSe,M,0 days 02:37:11.000000000,0 days 00:32:10.000000000,0 days 01:18:47.000000000,0 days 00:46:12.000000000
22,23,ROSSI ROMAIN,TTC,14-MSe,M,0 days 02:37:28.000000000,0 days 00:28:29.000000000,0 days 01:22:44.000000000,0 days 00:46:14.000000000
23,24,RODRIGUEZ AMÉLIO,VAULX EN VELIN TRIATHLON,9-MVe,M,0 days 02:38:25.000000000,0 days 00:33:26.000000000,0 days 01:20:09.000000000,0 days 00:44:49.000000000
24,25,BAIZEZ CEDRIC,OULLINS TRIATHLON,,M,0 days 02:38:37.000000000,0 days 00:30:32.000000000,0 days 01:23:26.000000000,0 days 00:44:38.000000000
25,26,RENARD OLIVIER,FREE IRON TEAM,10-MVe,M,0 days 02:38:54.000000000,0 days 00:32:42.000000000,0 days 01:22:11.000000000,0 days 00:43:59.000000000
26,27,SZATANEK JOEL,RILLIEUX TRIATHLON,15-MSe,M,0 days 02:40:22.000000000,0 days 00:34:11.000000000,0 days 01:22:29.000000000,0 days 00:43:40.000000000
27,28,KAUP MATÉO,ALE ECHIROLLES,16-MSe,M,0 days 02:40:30.000000000,0 days 00:29:11.000000000,0 days 01:23:51.000000000,0 days 00:47:26.000000000
28,29,POUSSE CAMILLE,AIX SAVOIE TRIATHLON,1-FSe,F,0 days 02:40:33.000000000,0 days 00:32:48.000000000,0 days 01:23:14.000000000,0 days 00:44:30.000000000
29,30,BUMAT VINCENT,CERCLE DES NAGEURS DE GAP,17-MSe,M,0 days 02:40:50.000000000,0 days 00:38:24.000000000,0 days 01:18:14.000000000,0 days 00:44:11.000000000
30,31,MARTIN MAUD,ALE ECHIROLLES,1-FVe,F,0 days 02:41:07.000000000,0 days 00:30:06.000000000,0 days 01:25:13.000000000,0 days 00:45:46.000000000
31,32,PONCIN PASCAL,TC2R,18-MSe,M,0 days 02:41:41.000000000,0 days 00:34:43.000000000,0 days 01:24:36.000000000,0 days 00:42:20.000000000
32,33,FRNO CEDRIC,ASVEL TRIATHLON,19-MSe,M,0 days 02:41:48.000000000,0 days 00:30:13.000000000,0 days 01:26:23.000000000,0 days 00:45:10.000000000
33,34,SEGON CHRISTIAN,OULLINS TRIATHLON,11-MVe,M,0 days 02:41:55.000000000,0 days 00:33:30.000000000,0 days 01:24:48.000000000,0 days 00:43:36.000000000
34,35,FERRET OLIVIER,TRIATHLON CLUB MONT DU LYONNAIS,20-MSe,M,0 days 02:42:06.000000000,0 days 00:34:48.000000000,0 days 01:20:52.000000000,0 days 00:46:25.000000000
35,36,VAN PARYS PHILIPPE,SAINT PRIEST TRIATHLON,12-MVe,M,0 days 02:42:21.000000000,0 days 00:31:50.000000000,0 days 01:27:45.000000000,0 days 00:42:44.000000000
36,37,CLAVELIN-TRUCHON ROMAIN,RILLIEUX TRIATHLON,21-MSe,M,0 days 02:44:06.000000000,0 days 00:34:40.000000000,0 days 01:24:41.000000000,0 days 00:44:43.000000000
37,38,RUSCONI PASCAL,LES ALLIGATORS SEYNOD TRIATHLON,13-MVe,M,0 days 02:44:12.000000000,0 days 00:37:24.000000000,0 days 01:22:47.000000000,0 days 00:44:00.000000000
38,39,SEGURA CHRISTOPHE,RILLIEUX TRIATHLON,14-MVe,M,0 days 02:44:19.000000000,0 days 00:32:22.000000000,0 days 01:26:41.000000000,0 days 00:45:15.000000000
39,40,BELAID BRUNO,VALLONS DE LA TOUR TRIATHLON,22-MSe,M,0 days 02:44:23.000000000,0 days 00:34:58.000000000,0 days 01:25:30.000000000,0 days 00:43:53.000000000
40,41,NICOLAS LAURENT,TRIATHLON ROMANAIS PEAGEOIS,15-MVe,M,0 days 02:45:52.000000000,0 days 00:33:40.000000000,0 days 01:25:50.000000000,0 days 00:46:21.000000000
41,42,NOASCONE KEVIN,RILLIEUX TRIATHLON,23-MSe,M,0 days 02:46:18.000000000,0 days 00:35:22.000000000,0 days 01:23:46.000000000,0 days 00:47:08.000000000
42,43,POINSARD BORIS,TRI VILLEFRANCHE,24-MSe,M,0 days 02:46:58.000000000,0 days 00:34:36.000000000,0 days 01:29:01.000000000,0 days 00:43:19.000000000
43,44,GRAS YOURI,TRIATHLON CLUB MONT DU LYONNAIS,16-MVe,M,0 days 02:47:20.000000000,0 days 00:37:19.000000000,0 days 01:22:43.000000000,0 days 00:47:16.000000000
44,45,CHOLVY JULIEN,ROANNE TRIATHLON,25-MSe,M,0 days 02:47:22.000000000,0 days 00:30:03.000000000,0 days 01:27:08.000000000,0 days 00:50:10.000000000
45,46,LACAILLE AURÉLIE,ALBERVILLE TT,2-FSe,F,0 days 02:47:26.000000000,0 days 00:34:50.000000000,0 days 01:24:42.000000000,0 days 00:47:52.000000000
46,47,ROCHE DIDIER,VAULX EN VELIN TRIATHLON,17-MVe,M,0 days 02:47:27.000000000,0 days 00:36:10.000000000,0 days 01:22:39.000000000,0 days 00:48:36.000000000
47,48,BERNARD LIONEL,SAINT PRIEST TRIATHLON,18-MVe,M,0 days 02:48:04.000000000,0 days 00:36:10.000000000,0 days 01:25:56.000000000,0 days 00:45:57.000000000
48,49,CORSI PIERRE,COSD TRIATHLON,19-MVe,M,0 days 02:48:07.000000000,0 days 00:33:51.000000000,0 days 01:25:47.000000000,0 days 00:48:27.000000000
49,50,PIERRET CHRISTOPHE,TRIATHLON MACON CLUB,20-MVe,M,0 days 02:48:42.000000000,0 days 00:32:41.000000000,0 days 01:28:40.000000000,0 days 00:47:20.000000000
50,51,MAZZADI FRANCK,TRISALEVE ANNEMASSE,21-MVe,M,0 days 02:49:15.000000000,0 days 00:33:23.000000000,0 days 01:26:32.000000000,0 days 00:49:19.000000000
51,52,LAFFONT GIULIA,ASVEL TRIATHLON,1-FJu,F,0 days 02:50:04.000000000,0 days 00:31:40.000000000,0 days 01:30:56.000000000,0 days 00:47:26.000000000
52,53,BORDET GÉRARD,TRIATHLON CLUB MONT DU LYONNAIS,22-MVe,M,0 days 02:50:23.000000000,0 days 00:37:26.000000000,0 days 01:25:18.000000000,0 days 00:47:38.000000000
53,54,EGLAINE SEBASTIEN,VALENCE TRIATHLON,23-MVe,M,0 days 02:51:17.000000000,0 days 00:35:36.000000000,0 days 01:27:38.000000000,0 days 00:48:02.000000000
54,55,PELLIER EMMANUEL,NON LICENCIE,24-MVe,M,0 days 02:51:18.000000000,0 days 00:38:40.000000000,0 days 01:27:19.000000000,0 days 00:45:17.000000000
55,56,GERHARD PIRNGRUBER,NON LICENCIE,25-MVe,M,0 days 02:51:31.000000000,0 days 00:37:18.000000000,0 days 01:30:46.000000000,0 days 00:43:26.000000000
56,57,CARLIN THIERRY,VAULX EN VELIN TRIATHLON,2-MJu,M,0 days 02:51:42.000000000,0 days 00:32:52.000000000,0 days 01:31:12.000000000,0 days 00:47:37.000000000
57,58,BERNIGAUD C,ASVEL TRIATHLON,26-MVe,M,0 days 02:52:40.000000000,0 days 00:33:11.000000000,0 days 01:28:42.000000000,0 days 00:50:45.000000000
58,59,MARCELLINI FABRICE,NON LICENCIE,26-MSe,M,0 days 02:53:15.000000000,0 days 00:45:21.000000000,0 days 01:22:58.000000000,0 days 00:44:54.000000000
59,60,LARGEAUD JEAN FRANCOIS,NON LICENCIE,27-MSe,M,0 days 02:53:37.000000000,0 days 00:36:16.000000000,0 days 01:28:39.000000000,0 days 00:48:41.000000000
60,61,GOMEZ ALEXIS,VALLONS DE LA TOUR TRIATHLON,28-MSe,M,0 days 02:53:47.000000000,0 days 00:35:24.000000000,0 days 01:32:27.000000000,0 days 00:45:55.000000000
61,62,DAMALIX GILLES,CHAMBÉRY TRIATHLON,27-MVe,M,0 days 02:55:05.000000000,0 days 00:39:04.000000000,0 days 01:29:41.000000000,0 days 00:46:19.000000000
62,63,ANTOINE RAPHAEL,TRIALP MOIRANS,28-MVe,M,0 days 02:55:49.000000000,0 days 00:38:26.000000000,0 days 01:32:59.000000000,0 days 00:44:23.000000000
63,64,BAIX MATHIEU,NON LICENCIE,29-MSe,M,0 days 02:55:50.000000000,0 days 00:37:01.000000000,0 days 01:32:46.000000000,0 days 00:46:02.000000000
64,65,CHASSAGNE ERIC,ASVEL TRIATHLON,29-MVe,M,0 days 02:56:20.000000000,0 days 00:32:40.000000000,0 days 01:43:33.000000000,0 days 00:40:05.000000000
65,66,BRUNET ERIC,TRIATHLON ROMANAIS PEAGEOIS,30-MVe,M,0 days 02:56:30.000000000,0 days 00:33:04.000000000,0 days 01:32:38.000000000,0 days 00:50:47.000000000
66,67,PERNOT FABRICE,COSD TRIATHLON,31-MVe,M,0 days 02:56:31.000000000,0 days 00:34:32.000000000,0 days 01:31:14.000000000,0 days 00:50:44.000000000
67,68,VILLARD RAPHAËL,NON LICENCIE,30-MSe,M,0 days 02:56:42.000000000,0 days 00:42:22.000000000,0 days 01:26:06.000000000,0 days 00:48:14.000000000
68,69,GROSSETETE JEAN MARC,VAULX EN VELIN TRIATHLON,32-MVe,M,0 days 02:57:19.000000000,0 days 00:38:49.000000000,0 days 01:30:22.000000000,0 days 00:48:07.000000000
69,70,LARROUTUROU CEDRIC,TSD TRIATHLON,31-MSe,M,0 days 02:58:02.000000000,0 days 00:34:16.000000000,0 days 01:36:08.000000000,0 days 00:47:37.000000000
70,71,REY MICKAËL,ECSPR TRIATHLON,32-MSe,M,0 days 02:58:23.000000000,0 days 00:40:32.000000000,0 days 01:30:19.000000000,0 days 00:47:31.000000000
71,72,BURON PASCAL,NON LICENCIE,33-MSe,M,0 days 02:58:42.000000000,0 days 00:40:39.000000000,0 days 01:30:42.000000000,0 days 00:47:20.000000000
72,73,DALOD LAURÈNE,RILLIEUX TRIATHLON,3-FSe,F,0 days 02:59:13.000000000,0 days 00:34:33.000000000,0 days 01:32:39.000000000,0 days 00:52:00.000000000
73,74,BOUSIGES JEAN FRANÇOIS,ASM.SAINT-ETIENNE TRIATHLON 42,33-MVe,M,0 days 02:59:19.000000000,0 days 00:37:42.000000000,0 days 01:38:34.000000000,0 days 00:43:02.000000000
74,75,DENIS NICOLAS,RILLIEUX TRIATHLON,34-MSe,M,0 days 03:02:32.000000000,0 days 00:37:33.000000000,0 days 01:38:28.000000000,0 days 00:46:29.000000000
75,76,CRET LORIS,NON LICENCIE,3-MJu,M,0 days 03:03:51.000000000,0 days 00:36:54.000000000,,
76,77,JACQUET FLORIAN,RILLIEUX TRIATHLON,35-MSe,M,0 days 03:04:26.000000000,0 days 00:34:45.000000000,0 days 01:37:09.000000000,0 days 00:52:31.000000000
77,78,AUBIN CHRISTIAN,TRISALEVE ANNEMASSE,34-MVe,M,0 days 03:06:10.000000000,0 days 00:40:24.000000000,0 days 01:37:01.000000000,0 days 00:48:44.000000000
78,79,HEGO JEAN LUC,ASVEL TRIATHLON,35-MVe,M,0 days 03:06:16.000000000,0 days 00:35:05.000000000,0 days 01:36:52.000000000,0 days 00:54:18.000000000
79,80,SEBASTIEN REY,TOBESPORT,36-MSe,M,0 days 03:06:31.000000000,0 days 00:36:11.000000000,0 days 01:36:58.000000000,0 days 00:53:21.000000000
80,81,DEVANCIARD NICOLAS,LES MILLE PATTES TRIATHLON,37-MSe,M,0 days 03:07:06.000000000,0 days 00:34:36.000000000,0 days 01:36:52.000000000,0 days 00:55:36.000000000
81,82,BOULENS PIERRE,NON LICENCIE,38-MSe,M,0 days 03:07:25.000000000,0 days 00:50:01.000000000,0 days 01:31:46.000000000,0 days 00:45:37.000000000
82,83,PELLETERET SYLVAIN,ASVEL TRIATHLON,39-MSe,M,0 days 03:07:43.000000000,0 days 00:35:38.000000000,0 days 01:42:36.000000000,0 days 00:49:28.000000000
83,84,LANCE JEAN CHRISTOPHE,ALES TRIATHLON,36-MVe,M,0 days 03:07:52.000000000,0 days 00:41:19.000000000,0 days 01:33:54.000000000,0 days 00:52:37.000000000
84,85,GRANGETTE JEAN PHILIPPE,NON LICENCIE,40-MSe,M,0 days 03:08:40.000000000,0 days 00:42:21.000000000,0 days 01:39:43.000000000,0 days 00:46:35.000000000
85,86,CARCEL MARC,TRIALP MOIRANS,37-MVe,M,0 days 03:09:18.000000000,0 days 00:46:21.000000000,0 days 01:29:53.000000000,0 days 00:53:03.000000000
86,87,LOQUES PIERRE,NON LICENCIE,41-MSe,M,0 days 03:10:43.000000000,0 days 00:36:32.000000000,0 days 01:38:53.000000000,0 days 00:55:17.000000000
87,88,JUILLET AURORE,LES ALLIGATORS SEYNOD TRIATHLON,4-FSe,F,0 days 03:12:07.000000000,0 days 00:37:31.000000000,0 days 01:40:12.000000000,0 days 00:54:22.000000000
88,89,MEUNIER REMY,NON LICENCIE,38-MVe,M,0 days 03:13:21.000000000,0 days 00:43:46.000000000,0 days 01:36:31.000000000,0 days 00:53:03.000000000
89,90,POYARD GILLES,TRIATHLON CLUB MONT DU LYONNAIS,39-MVe,M,0 days 03:13:54.000000000,0 days 00:39:26.000000000,0 days 01:39:03.000000000,0 days 00:55:24.000000000
90,91,OUMEDDOOUR FELLA,VAULX EN VELIN TRIATHLON,2-FVe,F,0 days 03:14:41.000000000,0 days 00:39:51.000000000,0 days 01:45:53.000000000,0 days 00:48:56.000000000
91,92,VIGOUROUX PASCAL,NON LICENCIE,40-MVe,M,0 days 03:14:49.000000000,0 days 00:49:54.000000000,0 days 01:32:40.000000000,0 days 00:52:13.000000000
92,93,VERDIER JACQUES,VALENCE TRIATHLON,41-MVe,M,0 days 03:15:26.000000000,0 days 00:41:34.000000000,0 days 01:42:59.000000000,0 days 00:50:51.000000000
93,94,COSTES ALEX,TRIALP MOIRANS,42-MVe,M,0 days 03:16:30.000000000,0 days 00:33:35.000000000,0 days 01:54:27.000000000,0 days 00:48:27.000000000
94,95,FABRON JEROME,NON LICENCIE,43-MVe,M,0 days 03:17:27.000000000,0 days 00:45:27.000000000,0 days 01:37:09.000000000,0 days 00:54:50.000000000
95,96,CLOPEAU THIERRY,NON LICENCIE,44-MVe,M,0 days 03:19:35.000000000,0 days 00:38:51.000000000,0 days 01:45:35.000000000,0 days 00:55:09.000000000
96,97,BRUNON YVES,ASVEL TRIATHLON,45-MVe,M,0 days 03:20:26.000000000,0 days 00:45:00.000000000,0 days 01:36:50.000000000,0 days 00:58:34.000000000
97,98,ROUX BENJAMIN,NON LICENCIE,42-MSe,M,0 days 03:20:38.000000000,0 days 00:45:59.000000000,0 days 01:44:49.000000000,0 days 00:49:48.000000000
98,99,MAGHERINI PHILIPPE,NON LICENCIE,46-MVe,M,0 days 03:23:14.000000000,0 days 00:41:11.000000000,0 days 01:44:48.000000000,0 days 00:57:14.000000000
99,100,SARGE GILLES,NON LICENCIE,47-MVe,M,0 days 03:23:50.000000000,0 days 00:44:32.000000000,0 days 01:46:29.000000000,0 days 00:52:48.000000000
100,101,BERTAUX CHRISTOPHE,NON LICENCIE,48-MVe,M,0 days 03:24:49.000000000,0 days 00:36:47.000000000,0 days 01:48:15.000000000,0 days 00:59:46.000000000
101,102,DUSOLLIER FABRICE,NON LICENCIE,49-MVe,M,0 days 03:25:20.000000000,0 days 00:43:31.000000000,0 days 01:42:34.000000000,0 days 00:59:13.000000000
102,103,TURC CLAIRE,TRIALP MOIRANS,3-FVe,F,0 days 03:25:21.000000000,0 days 00:40:22.000000000,0 days 01:46:51.000000000,0 days 00:58:07.000000000
103,104,ANSELMO DENIS,FREE IRON TEAM,50-MVe,M,0 days 03:27:44.000000000,0 days 00:37:06.000000000,0 days 01:47:06.000000000,0 days 01:03:31.000000000
104,105,CARLIN LAURINE,VAULX EN VELIN TRIATHLON,2-FJu,F,0 days 03:36:23.000000000,0 days 00:35:22.000000000,0 days 01:51:47.000000000,0 days 01:09:13.000000000
105,106,GALLEGO FRÉDERIC,VAULX EN VELIN TRIATHLON,51-MVe,M,0 days 03:36:23.000000000,0 days 00:41:24.000000000,0 days 01:46:06.000000000,0 days 01:08:52.000000000
106,107,LAZZAROTTO ERWAN,NON LICENCIE,43-MSe,M,0 days 03:45:18.000000000,0 days 00:50:11.000000000,0 days 01:48:53.000000000,0 days 01:06:12.000000000
107,108,CAMINOTTO GHISLAINE,GUC TRIATHLON,4-FVe,F,0 days 03:54:56.000000000,0 days 00:42:56.000000000,0 days 02:07:52.000000000,0 days 01:04:08.000000000
108,999,BESACIER MAXIME,TRIALP MOIRANS,,M,,0 days 00:29:25.000000000,,
109,999,LAPOMPE-PAIRONNE LIONEL,ASM.SAINT-ETIENNE TRIATHLON 42,,M,,0 days 00:31:53.000000000,,
110,999,MOREAU PHILIPPE,ASM.SAINT-ETIENNE TRIATHLON 42,,M,,0 days 00:33:27.000000000,,
111,999,NUGUES HERVÉ,TAB AMBERIEU,,M,,0 days 00:35:08.000000000,,
112,999,SALLERON LAURENT,ASM.SAINT-ETIENNE TRIATHLON 42,,M,,,,
113,999,SOGNO EMMANUEL,TRISALEVE ANNEMASSE,,M,,,,
114,999,RUSCONI MICKAËL,LES ALLIGATORS SEYNOD TRIATHLON,,M,,0 days 00:29:52.000000000,0 days 01:15:41.000000000,
