,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,OUILLERES GWENAEL,NON LICENCIÉ,1 S2M,M,0 days 01:08:32.000000000,0 days 00:10:25.000000000,0 days 00:41:30.000000000,0 days 00:16:38.000000000
1,2,BROSSE JIMMY,LES SABLES VENDÉE TRI,2 S2M,M,0 days 01:09:32.000000000,0 days 00:10:23.000000000,0 days 00:41:35.000000000,0 days 00:17:36.000000000
2,3,LANDREAU ANTHONY,VITROLLES TRIATLHON,1 S4M,M,0 days 01:13:26.000000000,0 days 00:10:43.000000000,0 days 00:44:50.000000000,0 days 00:17:55.000000000
3,4,BRYCZMAN PHILIPPE,VALENCE TRIATHLON,1 V1M,M,0 days 01:14:09.000000000,0 days 00:11:03.000000000,0 days 00:44:35.000000000,0 days 00:18:33.000000000
4,5,CHRISTIN NICOLAS,A.L.ECHIROLLES TRIATHLON,1 S3M,M,0 days 01:14:19.000000000,0 days 00:10:45.000000000,0 days 00:45:02.000000000,0 days 00:18:33.000000000
5,6,CATON JEAN PIERRE,ASVEL TRIATHLON,2 S4M,M,0 days 01:15:14.000000000,0 days 00:10:40.000000000,0 days 00:46:15.000000000,0 days 00:18:19.000000000
6,7,FAYARD BENJAMIN,BILLOM TRI,3 S4M,M,0 days 01:15:44.000000000,0 days 00:10:49.000000000,0 days 00:46:28.000000000,0 days 00:18:28.000000000
7,8,LINGEN SYLVAIN,AIX SAVOIE TRIATHLON,2 S3M,M,0 days 01:15:48.000000000,0 days 00:10:36.000000000,0 days 00:45:59.000000000,0 days 00:19:14.000000000
8,9,GHELMA PASCAL,MACH 3 TRIATHLON,3 S3M,M,0 days 01:15:50.000000000,0 days 00:11:22.000000000,0 days 00:46:36.000000000,0 days 00:17:54.000000000
9,10,PROVOST GUILLAUME,NON LICENCIÉ,3 S2M,M,0 days 01:16:15.000000000,0 days 00:13:25.000000000,0 days 00:44:41.000000000,0 days 00:18:10.000000000
10,11,CHEVASSU EMMANUEL,SAINT PRIEST TRIATHLON,2 V1M,M,0 days 01:16:30.000000000,0 days 00:11:53.000000000,0 days 00:45:34.000000000,0 days 00:19:03.000000000
11,12,JALON MAXIME,ASMSE TRIATHLON 42,4 S2M,M,0 days 01:16:35.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000
12,13,MARTEL JEROME,VALENCE TRIATHLON,4 S4M,M,0 days 01:17:06.000000000,0 days 00:11:15.000000000,0 days 00:46:45.000000000,0 days 00:19:07.000000000
13,14,JEAN SÉBASTIEN,ASMSE TRIATHLON 42,4 S3M,M,0 days 01:17:25.000000000,0 days 00:11:48.000000000,0 days 00:46:45.000000000,0 days 00:18:53.000000000
14,15,TRAUB ALEXIS,NON LICENCIÉ,5 S2M,M,0 days 01:17:46.000000000,0 days 00:17:01.000000000,0 days 00:43:46.000000000,0 days 00:17:01.000000000
15,16,CHAUDIER QUENTIN,ROANNE TRIATHLON,1 CAM,M,0 days 01:17:51.000000000,0 days 00:12:09.000000000,0 days 00:46:55.000000000,0 days 00:18:47.000000000
16,17,DAVOINE NICOLAS,SAVOIE TEAM TRIATHLON,5 S3M,M,0 days 01:17:53.000000000,0 days 00:11:46.000000000,0 days 00:46:51.000000000,0 days 00:19:17.000000000
17,18,POIZAT ERIC,TMC MACON,1 V2M,M,0 days 01:17:56.000000000,0 days 00:12:10.000000000,0 days 00:46:50.000000000,0 days 00:18:58.000000000
18,19,BELVILLE EMERIC,AIX SAVOIE TRIATHLON,1 S1M,M,0 days 01:18:05.000000000,0 days 00:12:23.000000000,0 days 00:46:29.000000000,0 days 00:19:14.000000000
19,20,GAND RAPHAEL,BOURG EN BRESSE TRIATHLON,6 S3M,M,0 days 01:18:08.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000
20,21,MACABIES VINCENT,CRV LYON TRIATHLON,6 S2M,M,0 days 01:18:13.000000000,0 days 00:12:34.000000000,0 days 00:46:48.000000000,0 days 00:18:52.000000000
21,22,AGIER PHILIPE,VALENCE TRIATHLON,1 V3M,M,0 days 01:18:18.000000000,0 days 00:12:19.000000000,0 days 00:45:41.000000000,0 days 00:20:19.000000000
22,23,THEDY GREGOIRE,TRIATHLON DU TRISALEVE,2 CAM,M,0 days 01:18:21.000000000,0 days 00:11:09.000000000,0 days 00:46:40.000000000,0 days 00:20:34.000000000
23,24,BOURBON AYMERIC,TEAM MERMILLOD TRIATHLON,7 S3M,M,0 days 01:18:24.000000000,0 days 00:13:18.000000000,0 days 00:46:49.000000000,0 days 00:18:18.000000000
24,25,VALENTINO LUDOVIC,VALLONS DE LA TOUR TRIATHLON,7 S2M,M,0 days 01:18:42.000000000,0 days 00:10:37.000000000,0 days 00:47:42.000000000,0 days 00:20:25.000000000
25,26,RAVACHOL ERIC,ASMSE TRIATHLON 42,3 V1M,M,0 days 01:18:47.000000000,0 days 00:12:08.000000000,0 days 00:46:23.000000000,0 days 00:20:17.000000000
26,27,LAROCHE CAMILLE,LES ALLIGATORS SEYNOD TRIATHLON,8 S2M,M,0 days 01:19:06.000000000,0 days 00:13:50.000000000,0 days 00:47:37.000000000,0 days 00:17:39.000000000
27,28,GAGLIARDI ROCCO,A.L.ECHIROLLES TRIATHLON,4 V1M,M,0 days 01:19:07.000000000,0 days 00:14:09.000000000,0 days 00:45:38.000000000,0 days 00:19:20.000000000
28,29,GUIGNARD KÉVIN,LES ALLIGATORS SEYNOD TRIATHLON,1 JUM,M,0 days 01:19:08.000000000,0 days 00:15:02.000000000,0 days 00:45:03.000000000,0 days 00:19:05.000000000
29,30,COPETTI BASTIEN,OULLINS TRIATHLON,3 CAM,M,0 days 01:19:11.000000000,0 days 00:11:08.000000000,0 days 00:48:42.000000000,0 days 00:19:23.000000000
30,31,DOMENGE ALEXANDRE,NON LICENCIÉ,9 S2M,M,0 days 01:19:13.000000000,0 days 00:12:41.000000000,0 days 00:46:47.000000000,0 days 00:19:46.000000000
31,32,MICHELET CHRISTOPHE,TRIATHLON DU TRISALEVE,5 S4M,M,0 days 01:19:21.000000000,0 days 00:11:53.000000000,0 days 00:47:54.000000000,0 days 00:19:35.000000000
32,33,DRAGO-RAJON FABIEN,GUC TRIATHLON,8 S3M,M,0 days 01:19:21.000000000,0 days 00:12:21.000000000,0 days 00:46:55.000000000,0 days 00:20:06.000000000
