,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,MAX NEUMANN,NON LICENCIE,JUM (1),M,0 days 01:08:03.000000000,0 days 00:09:51.000000000,0 days 00:39:47.000000000,0 days 00:17:35.000000000
1,2,MALLEBAY NICOLAS,TC LIEVIN,S2M (1),M,0 days 01:09:21.000000000,0 days 00:11:01.000000000,0 days 00:39:29.000000000,0 days 00:18:01.000000000
2,3,BERTHON GREGOIRE,ASMSE42 TEAM LIBERTY BIKE,S1M (1),M,0 days 01:10:09.000000000,0 days 00:09:56.000000000,0 days 00:40:27.000000000,0 days 00:18:58.000000000
3,4,ROTA SYLVAIN,AS MONACO TRIATHLON,S3M (1),M,0 days 01:10:50.000000000,0 days 00:11:10.000000000,0 days 00:40:00.000000000,0 days 00:18:42.000000000
4,5,DEMARET JEAN EUDES,LES ALLIGATORS SEYNOD TRIATHLON,S3M (2),M,0 days 01:10:51.000000000,0 days 00:13:10.000000000,0 days 00:37:17.000000000,0 days 00:19:19.000000000
5,6,THRUPP CHRISTOPHER,NON LICENCIE,JUM (2),M,0 days 01:11:28.000000000,0 days 00:10:09.000000000,0 days 00:42:06.000000000,0 days 00:18:05.000000000
6,7,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,V1M (1),M,0 days 01:11:30.000000000,0 days 00:11:22.000000000,0 days 00:40:17.000000000,0 days 00:18:53.000000000
7,8,LAMBOLEZ AUDRIC,EC SARTROUVILLE,S1M (2),M,0 days 01:11:32.000000000,0 days 00:11:01.000000000,0 days 00:40:23.000000000,0 days 00:19:21.000000000
8,9,LACHAT THÉO,CRV LYON TRIATHLON,S1M (3),M,0 days 01:12:39.000000000,0 days 00:10:55.000000000,0 days 00:41:54.000000000,0 days 00:18:59.000000000
9,10,CRIADO ROMAIN,CRV LYON,S2M (2),M,0 days 01:13:02.000000000,0 days 00:11:35.000000000,0 days 00:42:31.000000000,0 days 00:18:07.000000000
10,11,RUSCONI MICKAEL,LES ALLIGATORS SEYNOD TRIATHLON,S1M (4),M,0 days 01:13:29.000000000,0 days 00:11:35.000000000,0 days 00:40:26.000000000,0 days 00:20:27.000000000
11,12,FANTOLI OLIVIER,TEAM MERMILLOD TRIATHLON,V1M (2),M,0 days 01:13:35.000000000,0 days 00:11:00.000000000,0 days 00:41:11.000000000,0 days 00:20:20.000000000
12,13,ESPITALIER SÉBASTIEN,TEAM MERMILLOD TRIATHLON,S4M (1),M,0 days 01:13:42.000000000,0 days 00:12:21.000000000,0 days 00:41:46.000000000,0 days 00:18:31.000000000
13,14,LINGEN SYLVAIN,TEAM MERMILLOD TRIATHLON,S4M (2),M,0 days 01:14:10.000000000,0 days 00:11:37.000000000,0 days 00:41:12.000000000,0 days 00:20:21.000000000
14,15,GARCIA FRÉDÉRIC,ASVEL TRIATHLON,S2M (3),M,0 days 01:14:28.000000000,0 days 00:12:10.000000000,0 days 00:41:45.000000000,0 days 00:19:21.000000000
15,16,ROMAN YOHANN,TEAM CHRIS NET,S4M (3),M,0 days 01:15:02.000000000,0 days 00:12:33.000000000,0 days 00:40:46.000000000,0 days 00:20:44.000000000
16,17,BESANCON FLORIAN,CRV LYON TRIATHLON,S3M (3),M,0 days 01:15:30.000000000,0 days 00:13:20.000000000,0 days 00:41:42.000000000,0 days 00:19:37.000000000
17,18,CRESPO JEAN YVES,TMT MERMILLOD,V1M (3),M,0 days 01:15:32.000000000,0 days 00:13:05.000000000,0 days 00:41:21.000000000,0 days 00:20:09.000000000
18,19,RODRIGUEZ JOHAN,VAULX EN VELIN TRIATHLON,S1M (5),M,0 days 01:16:00.000000000,0 days 00:11:13.000000000,0 days 00:42:48.000000000,0 days 00:20:57.000000000
19,20,COPETTI BASTIEN,CRV LYON TRIATHLON,S1M (6),M,0 days 01:16:43.000000000,0 days 00:10:32.000000000,0 days 00:42:43.000000000,0 days 00:22:39.000000000
20,21,VERNAGALLO ANTHONY,GUC TRIATHLON,S1M (7),M,0 days 01:16:47.000000000,0 days 00:15:00.000000000,0 days 00:40:30.000000000,0 days 00:19:58.000000000
21,22,BERNARD STÉPHANE,1000 PATTES TRIATHLON GRENOBLE,S4M (4),M,0 days 01:16:50.000000000,0 days 00:12:57.000000000,0 days 00:43:12.000000000,0 days 00:19:36.000000000
22,23,FAURAX WILLIAN,CHAMBERY TRIATHLON,V2M (1),M,0 days 01:17:01.000000000,0 days 00:12:45.000000000,0 days 00:41:35.000000000,0 days 00:21:36.000000000
23,24,AVRILLON PIERRICK,LES ALLIGATORS SEYNOD TRIATHLON,S1M (8),M,0 days 01:17:10.000000000,0 days 00:13:39.000000000,0 days 00:40:36.000000000,0 days 00:21:04.000000000
24,25,KAUP MATEO,ECHIROLLES TRIATHLON,S2M (4),M,0 days 01:17:31.000000000,0 days 00:12:44.000000000,0 days 00:41:54.000000000,0 days 00:21:24.000000000
25,26,FUSS JEAN-PATRICK,LES ALLIGATORS SEYNOD TRIATHLON,S2M (5),M,0 days 01:17:36.000000000,0 days 00:13:08.000000000,0 days 00:42:56.000000000,0 days 00:20:09.000000000
