,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,LOY JULIEN,A.L. ECHIROLLES,1 S4M,M,0 days 04:51:03.000000000,0 days 00:38:40.000000000,0 days 02:56:41.000000000,0 days 01:15:43.000000000
1,2,DEPRET RUDY,NOYON PUISSANCE 3 TRIATHLON,2 S4M,M,0 days 05:01:17.000000000,0 days 00:43:12.000000000,0 days 02:57:53.000000000,0 days 01:20:12.000000000
2,3,GAZZERA THOMAS,BREST TRIATHLON,1 S3M,M,0 days 05:05:29.000000000,0 days 00:45:22.000000000,0 days 02:57:34.000000000,0 days 01:22:34.000000000
3,4,DEBOES CHRISTOPHE,A.S.M.E TRIATHLON 42,3 S4M,M,0 days 05:09:57.000000000,0 days 00:43:31.000000000,0 days 03:01:09.000000000,0 days 01:25:19.000000000
4,5,MIZZON THIERRY,A.S.M.E TRIATHLON 42,2 S3M,M,0 days 05:11:49.000000000,0 days 00:41:28.000000000,0 days 03:07:04.000000000,0 days 01:23:18.000000000
5,6,HUET STEPHANE,U.S. CRETEIL TRIATHLON,4 S4M,M,0 days 05:16:13.000000000,0 days 00:46:01.000000000,0 days 03:00:34.000000000,0 days 01:29:39.000000000
6,7,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,3 S3M,M,0 days 05:17:08.000000000,0 days 00:43:08.000000000,0 days 03:09:32.000000000,0 days 01:24:29.000000000
7,8,WIRTZ GERARD,VITROLLES TRIATHLON,1 V1M,M,0 days 05:21:16.000000000,0 days 00:43:02.000000000,0 days 03:09:34.000000000,0 days 01:28:41.000000000
8,9,HENRY YANNICK,BEAUNE MONNOT TRIATHLON,5 S4M,M,0 days 05:23:10.000000000,0 days 00:46:58.000000000,0 days 03:09:36.000000000,0 days 01:26:37.000000000
9,10,GULDEMANN WILFRIED,TRYSSINGEAUX,1 S2M,M,0 days 05:27:57.000000000,0 days 00:47:05.000000000,0 days 03:14:48.000000000,0 days 01:26:06.000000000
10,11,MORATIN STEPHANE,TRITYC,4 S3M,M,0 days 05:29:14.000000000,0 days 00:51:48.000000000,0 days 03:08:03.000000000,0 days 01:29:23.000000000
11,12,JACQUES PIERRE ANDRE,LES MILLES PATTES TRIATHLON,2 S2M,M,0 days 05:29:26.000000000,0 days 00:46:16.000000000,0 days 03:16:58.000000000,0 days 01:26:14.000000000
12,13,BESACIER MAXIME,TRIALP MOIRANS,6 S4M,M,0 days 05:31:00.000000000,0 days 00:46:17.000000000,0 days 03:15:10.000000000,0 days 01:29:34.000000000
13,14,DESIERES YOHAN,A.L. ECHIROLLES,7 S4M,M,0 days 05:31:42.000000000,0 days 00:46:34.000000000,0 days 03:08:00.000000000,0 days 01:37:09.000000000
14,15,COUZON DAVID,LES MILLE PATTES TRIATHLON,2 V1M,M,0 days 05:32:01.000000000,0 days 00:47:36.000000000,0 days 03:13:39.000000000,0 days 01:30:47.000000000
15,16,CHARITAT ERIC,TRYSSINGEAUX,8 S4M,M,0 days 05:32:17.000000000,0 days 00:47:16.000000000,0 days 03:14:28.000000000,0 days 01:30:35.000000000
16,17,BERBARD STEPHANE,LES MILLES PATTES TRIATHLON,9 S4M,M,0 days 05:32:44.000000000,0 days 00:49:03.000000000,0 days 03:16:28.000000000,0 days 01:27:13.000000000
17,18,ALLAIN JEROME,COMITE SPORTIF DU LAC DES SAPINS,10 S4M,M,0 days 05:33:31.000000000,0 days 00:46:18.000000000,0 days 03:16:16.000000000,0 days 01:30:59.000000000
18,19,PARISY AURELIEN,ANSA,1 S1M,M,0 days 05:33:38.000000000,0 days 00:48:50.000000000,0 days 03:22:25.000000000,0 days 01:22:25.000000000
19,20,SZYMEZAK PIERRE,ANNONAY TRIATHLON,5 S3M,M,0 days 05:35:04.000000000,0 days 00:47:16.000000000,0 days 03:15:53.000000000,0 days 01:31:57.000000000
20,21,BELZ ARNAUD,HYERES TRIATHLON,6 S3M,M,0 days 05:36:59.000000000,0 days 00:52:50.000000000,0 days 03:17:18.000000000,0 days 01:26:52.000000000
21,22,VIVIEN JEROME,TROLL TEAM TRIATHLON,11 S4M,M,0 days 05:37:53.000000000,0 days 00:50:30.000000000,0 days 03:22:57.000000000,0 days 01:24:27.000000000
22,23,RENARD GUY,CHIMAY SHARKS TRIATHLON,3 V1M,M,0 days 05:38:28.000000000,0 days 00:52:54.000000000,0 days 03:17:28.000000000,0 days 01:28:08.000000000
23,24,DILLENSEGER VINCENT,VERSAILLES,7 S3M,M,0 days 05:39:34.000000000,0 days 00:49:02.000000000,0 days 03:10:14.000000000,0 days 01:40:20.000000000
24,25,LEBLANC RENAUD,CHIMAY SHARKS TRIATHLON,3 S2M,M,0 days 05:40:32.000000000,0 days 00:49:09.000000000,0 days 03:20:30.000000000,0 days 01:30:54.000000000
25,26,GODFROY MATTHIEU,VITTEL TRIATHLON,4 S2M,M,0 days 05:41:15.000000000,0 days 00:45:58.000000000,0 days 03:32:35.000000000,0 days 01:22:43.000000000
26,27,LAGARDE CEDRIC,TEAM MERMILLOD TRIATHLON,8 S3M,M,0 days 05:41:40.000000000,0 days 00:52:08.000000000,0 days 03:17:24.000000000,0 days 01:32:08.000000000
27,28,PEREIRA THIERRY,TRI RUN FRONTIGNAN,4 V1M,M,0 days 05:41:44.000000000,0 days 00:46:57.000000000,0 days 03:23:24.000000000,0 days 01:31:24.000000000
28,29,GUIGAND OLIVIER,A.S.M.E TRIATHLON 42,12 S4M,M,0 days 05:44:34.000000000,0 days 00:50:06.000000000,0 days 03:19:23.000000000,0 days 01:35:07.000000000
29,30,DEMAZURE ARNAUD,NOYON PUISSANCE 3 TRIATHLON,5 V1M,M,0 days 05:45:20.000000000,0 days 00:56:18.000000000,0 days 03:16:35.000000000,0 days 01:32:28.000000000
30,31,BARTHELEMY JEAN CLAUDE,GRESIVAUDAN TRIATHLON,6 V1M,M,0 days 05:45:39.000000000,0 days 01:00:16.000000000,0 days 03:17:53.000000000,0 days 01:27:31.000000000
31,32,TESSIER RÉGIS,ASVEL,7 V1M,M,0 days 05:47:09.000000000,0 days 00:48:21.000000000,0 days 03:27:13.000000000,0 days 01:31:36.000000000
32,33,LELIEVRE MICHAEL,TEAM DRT,8 V1M,M,0 days 05:47:27.000000000,0 days 00:47:11.000000000,0 days 03:23:46.000000000,0 days 01:36:31.000000000
33,34,ALIBERT JEAN PIERRE,CHENOVE TRIATHLON CLUB,1 V2M,M,0 days 05:48:09.000000000,0 days 00:48:09.000000000,0 days 03:25:35.000000000,0 days 01:34:26.000000000
34,35,VILLETTE MANUEL,OULLINS TRIATHLON,9 V1M,M,0 days 05:48:54.000000000,0 days 00:50:43.000000000,0 days 03:22:41.000000000,0 days 01:35:31.000000000
35,36,BAILLY OLIVIER,VAULX EN VELIN TRIATHLON,2 V2M,M,0 days 05:49:00.000000000,0 days 00:48:47.000000000,0 days 03:26:21.000000000,0 days 01:33:53.000000000
36,37,REGHEM THIERRY,CHIMAY SHARKS TRIATHLON,1 V3M,M,0 days 05:49:03.000000000,0 days 00:52:02.000000000,0 days 03:25:26.000000000,0 days 01:31:37.000000000
37,38,FAVRE VILLY,TRIBIKE GENEVE,3 V2M,M,0 days 05:49:08.000000000,0 days 00:53:55.000000000,0 days 03:26:43.000000000,0 days 01:28:31.000000000
38,39,WAGNER JOEL,ROMANS TRIATHLON,13 S4M,M,0 days 05:49:43.000000000,0 days 00:50:55.000000000,0 days 03:23:10.000000000,0 days 01:35:39.000000000
39,40,VERNET CHRISTOPHE,U.S. CRETEIL TRIATHLON,2 S1M,M,0 days 05:50:03.000000000,0 days 00:54:40.000000000,0 days 03:23:54.000000000,0 days 01:31:30.000000000
40,41,EMARD YANN,ANSA,10 V1M,M,0 days 05:51:45.000000000,0 days 00:51:15.000000000,0 days 03:27:02.000000000,0 days 01:33:30.000000000
41,42,JANIAUD SEBASTIEN,AURILLAC TRIATHLON,14 S4M,M,0 days 05:52:00.000000000,0 days 00:57:38.000000000,0 days 03:26:18.000000000,0 days 01:28:05.000000000
42,43,TARDIEU VINCENT,VERSAILLES,9 S3M,M,0 days 05:52:07.000000000,0 days 00:51:52.000000000,0 days 03:24:06.000000000,0 days 01:36:10.000000000
43,44,OSTIAN JEAN,GUC,15 S4M,M,0 days 05:52:53.000000000,0 days 00:52:27.000000000,0 days 03:21:44.000000000,0 days 01:38:43.000000000
44,45,JEAN SEBASTIEN,A.S.M.E TRIATHLON 42,10 S3M,M,0 days 05:52:54.000000000,0 days 00:47:51.000000000,0 days 03:27:32.000000000,0 days 01:37:32.000000000
45,46,NAUMANN FRANCK,T.O.S TRIATHLON,11 V1M,M,0 days 05:53:03.000000000,0 days 00:58:18.000000000,0 days 03:19:21.000000000,0 days 01:35:25.000000000
46,47,BRODZKI IVAN,TRIATHLON DU SALEVE,11 S3M,M,0 days 05:53:17.000000000,0 days 00:46:11.000000000,0 days 03:30:27.000000000,0 days 01:36:41.000000000
