,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,ORNELLAS MARCUS,NITERDI AJ BRASIL,V1,M,0 days 01:09:37.000000000,,,
1,2,QUINDOS JÉRÉMY,POISSY TRIATHLON,S1,M,0 days 01:10:03.000000000,,,
2,3,MOREL GUILLAUME,SAINT PAUL 3 CHATEAUX,JU,M,0 days 01:11:02.000000000,,,
3,4,CHAMBON BORIS,VERSAILLES TRIATHLON,S2,M,0 days 01:11:56.000000000,,,
4,5,DEBARD THÉO,TRYSSINGEAUX,CA,M,0 days 01:12:35.000000000,,,
5,6,YONA AMITAY,NON LICENCIE,CA,M,0 days 01:12:40.000000000,,,
6,7,MALLEBAY NICOLAS,AL ECHIROLLES TRI,S1,M,0 days 01:12:50.000000000,,,
7,8,IMBERT THIBAUT,LE PUY EN VELAY TRIATHLON,JU,M,0 days 01:13:12.000000000,,,
8,9,DELETRAZ JULIEN,ASMSE TRI 42,S4,M,0 days 01:13:39.000000000,,,
9,10,MARTEL JÉRÔME,VALENCE TRIATHLON,S4,M,0 days 01:13:45.000000000,,,
10,11,CHRISTIN NICOLAS,AL ECHIROLLES TRI,S3,M,0 days 01:13:51.000000000,,,
11,12,JOUFFRET SEBASTIEN,TRIATHLON AMBERIEU EN BUGEY,S2,M,0 days 01:14:36.000000000,,,
12,13,ORSEL THOMAS,TRICASTIN TRIATHLON CLUB,CA,M,0 days 01:14:46.000000000,,,
13,14,SAGIV SHACHAN,NON LICENCIE,CA,M,0 days 01:14:47.000000000,,,
14,15,CHARROL BERNARD,VALENCE TRIATHLON,V1,M,0 days 01:15:06.000000000,,,
15,16,BOIRAYON LOÏC,ANNONAY TRIATHLON,S2,M,0 days 01:15:35.000000000,,,
16,17,LEWINSOHN RON,NON LICENCIE,CA,M,0 days 01:15:40.000000000,,,
17,18,MEZGUELDI MOHAMED,ANNONAY TRIATHLON,V2,M,0 days 01:15:43.000000000,,,
18,19,DESROY CHRISTOPHE,ST PRIEST TRIATHLON,S4,M,0 days 01:16:00.000000000,,,
19,20,BAUD ALEXANDRE,RENNES TRIATHLON,CA,M,0 days 01:16:06.000000000,,,
20,21,BOURRON PIERRE,VALENCE TRIATHLON,CA,M,0 days 01:16:38.000000000,,,
21,22,FRIED ASAF,NON LICENCIE,JU,M,0 days 01:16:46.000000000,,,
22,23,PLANEL EDOUARD,TRI 07 PRIVAS TRIATHLON,JU,M,0 days 01:16:52.000000000,,,
23,24,BERGERON CHRISTOPHE,AL ECHIROLLES TRI,V1,M,0 days 01:16:58.000000000,,,
