,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,SPEECHLY SAMUEL,TRIATHLON AUSTRALIA,1-SENIOR HOMME,M,0 days 01:06:04.000000000,,,
1,2,DELDOSSI YOANN,TEAM MERMILLOD TRIATHLON,2-SENIOR HOMME,M,0 days 01:06:55.000000000,,,
2,3,PERCELAY GRÉGOIRE,TRIALP MOIRANS,3-SENIOR HOMME,M,0 days 01:07:36.000000000,,,
3,4,CHANAL NICHOLAS,ST JEAN DE MONTS TRIATHLON,4-SENIOR HOMME,M,0 days 01:07:57.000000000,,,
4,5,LUCINI AUDRIC,VERSAILLE TRIATHLON,5-SENIOR HOMME,M,0 days 01:08:23.000000000,,,
5,6,HUSTACHE THOMAS,MACH3TRI,6-SENIOR HOMME,M,0 days 01:08:33.000000000,,,
6,7,PETEL AYMERIC,NON LICENCIE,7-SENIOR HOMME,M,0 days 01:08:33.000000000,,,
7,8,HAMM BRUNO,NON LICENCIE,8-SENIOR HOMME,M,0 days 01:08:34.000000000,,,
8,9,CRIADO ROMAIN,CRV LYON TRIATHLON,9-SENIOR HOMME,M,0 days 01:08:52.000000000,,,
9,10,VALENTINO LUDOVIC,NON LICENCIE,10-SENIOR HOMME,M,0 days 01:10:45.000000000,,,
10,11,BAJO DAVIDE,NON LICENCIE,1-CADET HOMME,M,0 days 01:11:54.000000000,,,
11,12,BACKHOUSE GILLIAN,TRIATHLON AUSTRALIA,1-SENIOR FEMME,F,0 days 01:12:05.000000000,,,
12,13,ORVELIN REMI,CHAMBERY TRIATHLON,2-CADET HOMME,M,0 days 01:12:22.000000000,,,
13,14,CARNAUD CEDRIC,ALLIGATORS SEYNOD TRIATHLON,11-SENIOR HOMME,M,0 days 01:12:31.000000000,,,
14,15,BRODZKI IVAN,TRISALEVE ANNEMASSE,12-SENIOR HOMME,M,0 days 01:12:38.000000000,,,
15,16,GIORDANO MANUEL,TRISALEVE ANNEMASSE,1-VETERAN HOMME,M,0 days 01:12:49.000000000,,,
16,17,LAROCHE CAMILLE,ALLIGATORS SEYNOD TRIATHLON,13-SENIOR HOMME,M,0 days 01:12:50.000000000,,,
17,18,POUPELLOZ RÉMI,CHAMBERY TRIATHLON,1-JUNIOR HOMME,M,0 days 01:13:03.000000000,,,
18,19,MOITA GAËL,NON LICENCIE,14-SENIOR HOMME,M,0 days 01:13:19.000000000,,,
19,20,ARNAUD DAVID,ALLIGATORS SEYNOD TRIATHLON,2-VETERAN HOMME,M,0 days 01:14:02.000000000,,,
20,21,LANGLOIS ADRIENNE,NON LICENCIE,2-SENIOR FEMME,F,0 days 01:14:13.000000000,,,
21,22,FUSS JEAN-PATRICK,ALLIGATORS SEYNOD TRIATHLON,15-SENIOR HOMME,M,0 days 01:14:15.000000000,,,
22,23,BOZZATO MATTEO,NON LICENCIE,3-CADET HOMME,M,0 days 01:14:16.000000000,,,
23,24,COLARAS YAN,TRISALEVE ANNEMASSE,16-SENIOR HOMME,M,0 days 01:14:20.000000000,,,
24,25,BUAT RICHARD,TEAM MERMILLOD TRIATHLON,17-SENIOR HOMME,M,0 days 01:14:45.000000000,,,
25,26,VANHAESEBROUCK ROMAIN,ECHIROLLES TRIATHLON,18-SENIOR HOMME,M,0 days 01:14:55.000000000,,,
26,27,GUIGARD JEFF,TEAM MERMILLOD TRIATHLON,3-VETERAN HOMME,M,0 days 01:15:22.000000000,,,
27,28,HAMM REMI,NON LICENCIE,19-SENIOR HOMME,M,0 days 01:15:26.000000000,,,
28,29,NOYER THIBAULT,VALLONS DE LA TOUR,4-VETERAN HOMME,M,0 days 01:15:55.000000000,,,
29,30,DUREUX TOM,TRI VAL DE GRAY,20-SENIOR HOMME,M,0 days 01:16:23.000000000,,,
30,31,LACHAUX AYMERIC,TRISALEVE ANNEMASSE,2-JUNIOR HOMME,M,0 days 01:16:33.000000000,,,
31,32,KOT STEPHANE,NON LICENCIE,5-VETERAN HOMME,M,0 days 01:16:36.000000000,,,
32,33,COSSARD LORENZO,NON LICENCIE,4-CADET HOMME,M,0 days 01:17:30.000000000,,,
33,34,JOLY NICOLAS,TEAM MERMILLOD TRIATHLON,21-SENIOR HOMME,M,0 days 01:17:49.000000000,,,
34,35,CARUSO LIONNEL,TEAM MERMILLOD TRIATHLON,6-VETERAN HOMME,M,0 days 01:17:56.000000000,,,
35,36,ARNAUD EMERIC,ALLIGATORS SEYNOD TRIATHLON,3-JUNIOR HOMME,M,0 days 01:18:08.000000000,,,
36,37,DARTHEVEL AURÉLIEN,TOBESPORT,22-SENIOR HOMME,M,0 days 01:18:21.000000000,,,
37,38,SATRE BUISSON MAGALIE,NON LICENCIE,3-SENIOR FEMME,F,0 days 01:18:24.000000000,,,
38,39,CADILHAC LAURENT,ALLIGATORS SEYNOD TRIATHLON,7-VETERAN HOMME,M,0 days 01:18:40.000000000,,,
39,40,HALLOUIN CHRISTOPHE,ASPTT ANNECY ET UC PASSY CYCLISTE,8-VETERAN HOMME,M,0 days 01:18:44.000000000,,,
40,41,POISAT JEAN-MARIE,TRISPIRIDON OYONNAX,9-VETERAN HOMME,M,0 days 01:18:45.000000000,,,
41,42,ARDIET RÉGIS,ATSCAF DES SAVOIES,10-VETERAN HOMME,M,0 days 01:18:55.000000000,,,
42,43,FUSS GÉRALD,ALLIGATORS SEYNOD TRIATHLON,23-SENIOR HOMME,M,0 days 01:18:58.000000000,,,
43,44,GINTER ANTHONY,AS LION,24-SENIOR HOMME,M,0 days 01:19:00.000000000,,,
44,45,BELAID BRUNO,VALLONS DE LA TOUR,25-SENIOR HOMME,M,0 days 01:19:03.000000000,,,
45,46,PERDERIET JULIEN,NON LICENCIE,26-SENIOR HOMME,M,0 days 01:19:15.000000000,,,
46,47,BOOKER NATHANAEL,DORKING & MOLE VALLEY AC,27-SENIOR HOMME,M,0 days 01:19:17.000000000,,,
47,48,ROBILLOT FRANÇOIS,ALLIGATORS SEYNOD TRIATHLON,11-VETERAN HOMME,M,0 days 01:19:25.000000000,,,
48,49,BLAGG FIONA,CRAWLEY TRI CLUB,4-SENIOR FEMME,F,0 days 01:19:28.000000000,,,
49,50,VITU NATHAN,NON LICENCIE,4-JUNIOR HOMME,M,0 days 01:19:40.000000000,,,
50,51,BILLON FREDERIC,ASPTT MULHOUSE TRIATHLON,12-VETERAN HOMME,M,0 days 01:19:46.000000000,,,
51,52,MOUTHON ELODIE,NON LICENCIE,5-SENIOR FEMME,F,0 days 01:19:50.000000000,,,
52,53,BIANCO FRAN?ÇOIS,EVIAN V?LO,28-SENIOR HOMME,M,0 days 01:19:59.000000000,,,
53,54,PHILIBERT GILLES,BOURG EN BRESSE TRIATHLON,13-VETERAN HOMME,M,0 days 01:20:09.000000000,,,
54,55,JEGOU DIDIER,NON LICENCIE,14-VETERAN HOMME,M,0 days 01:20:13.000000000,,,
55,56,PEULET KEVIN,BOURG EN BRESSE TRIATHLON,29-SENIOR HOMME,M,0 days 01:20:39.000000000,,,
56,57,GUERRET LEA,TRISALEVE ANNEMASSE,1-CADET FILLE,F,0 days 01:20:46.000000000,,,
57,58,DUPONT FABIAN,NON LICENCIE,30-SENIOR HOMME,M,0 days 01:20:59.000000000,,,
58,59,ROBERTS LISA,NON LICENCIE,1-VETERAN FEMME,F,0 days 01:21:04.000000000,,,
59,60,PECHERAND THIERRY,NON LICENCIE,15-VETERAN HOMME,M,0 days 01:21:09.000000000,,,
60,61,KERR RACHEL,NON LICENCIE,6-SENIOR FEMME,F,0 days 01:21:25.000000000,,,
61,62,GROSSET YANN,NON LICENCIE,5-JUNIOR HOMME,M,0 days 01:21:25.000000000,,,
