,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,COURT SEBASTIEN,EC SARTROUVILLE,S1M (1),M,0 days 02:06:49.000000000,0 days 00:18:47.000000000,0 days 01:06:24.000000000,0 days 00:41:40.000000000
1,2,GUIGAND OLIVIER,ASMSE TRI 42,S4M (1),M,0 days 02:09:31.000000000,0 days 00:23:41.000000000,0 days 01:03:53.000000000,0 days 00:41:59.000000000
2,3,JAFFRÉ THOMAS,MONTLUCON TRIATHLON,S1M (2),M,0 days 02:10:29.000000000,0 days 00:21:24.000000000,0 days 01:04:48.000000000,0 days 00:44:18.000000000
3,4,LAMBOLEZ AUDRIC,EC SARTROUVILLE,S1M (3),M,0 days 02:16:10.000000000,0 days 00:20:10.000000000,0 days 01:11:00.000000000,0 days 00:45:01.000000000
4,5,HENRY YANNICK,TEAM ARGON 18,V1M (1),M,0 days 02:18:48.000000000,0 days 00:23:54.000000000,0 days 01:11:50.000000000,0 days 00:43:05.000000000
5,6,RODRIGUEZ JOHAN,VAULX EN VELIN TRIATHLON,S1M (4),M,0 days 02:18:57.000000000,0 days 00:20:57.000000000,0 days 01:07:11.000000000,0 days 00:50:50.000000000
6,7,BEAUSOLEIL LAURENT,MONTCEAU TRIATHLON,V1M (2),M,0 days 02:20:00.000000000,0 days 00:24:37.000000000,0 days 01:07:21.000000000,0 days 00:48:03.000000000
7,8,HAMM BRUNO,ASMSE TRI 42,S2M (1),M,0 days 02:20:33.000000000,0 days 00:19:43.000000000,0 days 01:12:28.000000000,0 days 00:48:23.000000000
8,9,RIBOUTON BENOIT,VAUZELLES TRIATHLON,S2M (2),M,0 days 02:22:53.000000000,0 days 00:27:04.000000000,0 days 01:11:27.000000000,0 days 00:44:23.000000000
9,10,BLATTNER JEAN-MARIE,RILLIEUX TRIATHLON,S4M (2),M,0 days 02:23:05.000000000,0 days 00:23:11.000000000,0 days 01:12:15.000000000,0 days 00:47:39.000000000
10,11,ABRIAL GUILHEM,TCVD,S3M (1),M,0 days 02:25:58.000000000,0 days 00:23:25.000000000,0 days 01:11:44.000000000,0 days 00:50:50.000000000
11,12,DAUDEL LAURENT,NA SA TRI CHATEL GUYON,V1M (3),M,0 days 02:27:28.000000000,0 days 00:25:18.000000000,0 days 01:15:37.000000000,0 days 00:46:34.000000000
12,13,GREGOT PHILIPPE,BOURG EN BRESSE TRIATHLON,V2M (1),M,0 days 02:29:35.000000000,0 days 00:25:05.000000000,0 days 01:11:46.000000000,0 days 00:52:45.000000000
13,14,BOUJDAY RAMZI,NON LICENCIE,S3M (2),M,0 days 02:30:30.000000000,0 days 00:29:46.000000000,0 days 01:18:14.000000000,0 days 00:42:31.000000000
14,15,MONNEAU BERTRAND,CRV LYON TRIATHLON,S3M (3),M,0 days 02:30:35.000000000,0 days 00:26:44.000000000,0 days 01:15:13.000000000,0 days 00:48:38.000000000
15,16,MANIN LIONEL,ASVEL TRI,V1M (4),M,0 days 02:31:17.000000000,0 days 00:25:22.000000000,0 days 01:16:24.000000000,0 days 00:49:33.000000000
16,17,AUTIER FABRICE,MONTBRISON TRIATHLON,V1M (5),M,0 days 02:31:26.000000000,0 days 00:27:50.000000000,0 days 01:10:02.000000000,0 days 00:53:35.000000000
17,18,SALAMONE HERVÉ,MACH3 TRIATHLON,V1M (6),M,0 days 02:31:34.000000000,0 days 00:23:50.000000000,0 days 01:20:51.000000000,0 days 00:46:54.000000000
18,19,CAZIER JEAN-BAPTISTE,ASVEL TRIATHLON,S4M (3),M,0 days 02:32:25.000000000,0 days 00:33:45.000000000,0 days 01:10:54.000000000,0 days 00:47:47.000000000
