,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,BASTIE CHRISTOPHE,CNSC TRIATHLON,1 V1M,M,0 days 02:01:03.000000000,0 days 00:20:09.000000000,0 days 01:03:46.000000000,0 days 00:37:10.000000000
1,2,FACOMPREZ PIERRE-YVES,NEVERS TRIATHLON,1 S2M,M,0 days 02:03:16.000000000,0 days 00:22:42.000000000,0 days 01:03:46.000000000,0 days 00:36:48.000000000
2,3,SEPULCHRE OLIVIER,AUTUN TRIATHLON,1 S1M,M,0 days 02:04:22.000000000,0 days 00:18:49.000000000,0 days 01:05:32.000000000,0 days 00:40:01.000000000
3,4,JOUFFRET SEBASTIEN,TRICASTIN TRIATHLON,1 S3M,M,0 days 02:07:07.000000000,0 days 00:22:33.000000000,0 days 01:04:47.000000000,0 days 00:39:49.000000000
4,5,LIEUX ROMAIN,ASMSE TRI 42,2 S2M,M,0 days 02:08:49.000000000,0 days 00:20:47.000000000,0 days 01:07:40.000000000,0 days 00:40:23.000000000
5,6,FREUDENREICH BRUNO,VITROLLES TRIATHLON,2 S3M,M,0 days 02:08:49.000000000,0 days 00:19:55.000000000,0 days 01:08:59.000000000,0 days 00:39:56.000000000
6,7,MOURIER JOCELYN,TRICASTIN TRIATHLON CLUB,1 JUM,M,0 days 02:09:04.000000000,0 days 00:19:46.000000000,0 days 01:08:24.000000000,0 days 00:40:55.000000000
7,8,BERNAUD JEAN-LOUIS,ASMSE TRI 42,3 S2M,M,0 days 02:10:54.000000000,0 days 00:20:11.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000
8,9,MAISONNEUVE THIERRY,LEMPDES TRIATHLON,2 V1M,M,0 days 02:11:32.000000000,0 days 00:22:45.000000000,0 days 01:07:58.000000000,0 days 00:40:50.000000000
9,10,BOURET GUILLAUME,VALLONS DE LA TOUR TRIATHLON,2 S1M,M,0 days 02:13:04.000000000,0 days 00:26:50.000000000,0 days 01:09:21.000000000,0 days 00:36:54.000000000
10,11,DELANCE OLIVIER,NEVERS TRIATHLON,3 V1M,M,0 days 02:13:30.000000000,0 days 00:20:19.000000000,0 days 01:12:54.000000000,0 days 00:40:18.000000000
11,12,BERERD DAVID,TVSV,1 S4M,M,0 days 02:13:41.000000000,0 days 00:24:21.000000000,0 days 01:05:01.000000000,0 days 00:44:19.000000000
12,13,MOUSSOURS NICOLAS,VICHY TRIATHLON,3 S3M,M,0 days 02:13:50.000000000,0 days 00:23:57.000000000,0 days 01:11:06.000000000,0 days 00:38:49.000000000
13,14,PETERMANN LAURENT,ASMSE TRI 42,4 V1M,M,0 days 02:15:15.000000000,0 days 00:24:52.000000000,0 days 01:09:57.000000000,0 days 00:40:27.000000000
14,15,RIVOIRARD SEBASTIEN,ASMSE TRI 42,2 S4M,M,0 days 02:17:36.000000000,0 days 00:23:21.000000000,0 days 01:11:46.000000000,0 days 00:42:30.000000000
15,16,FROGER SAMUEL,ASVEL TRIATHLON,4 S3M,M,0 days 02:18:50.000000000,0 days 00:22:49.000000000,0 days 01:12:19.000000000,0 days 00:43:43.000000000
16,17,ROUDIER DENIS,VICHY TRIATHLON,5 V1M,M,0 days 02:19:51.000000000,0 days 00:27:35.000000000,0 days 01:09:52.000000000,0 days 00:42:24.000000000
17,18,DELEAGE LAURENT,ROANNE TRIATHLON,6 V1M,M,0 days 02:20:23.000000000,0 days 00:27:57.000000000,0 days 01:09:56.000000000,0 days 00:42:30.000000000
18,19,SAVINEL JEAN-MICHEL,CLUB NON COMMUNQUÉ,5 S3M,M,0 days 02:20:54.000000000,0 days 00:24:11.000000000,0 days 01:10:39.000000000,0 days 00:46:04.000000000
19,20,BOULARD CLEMENT,ASMSE TRI 42,4 S2M,M,0 days 02:21:02.000000000,0 days 00:26:02.000000000,0 days 01:14:53.000000000,0 days 00:40:09.000000000
20,21,CHEVALIER FABIEN,TRIATHLON ROMANAIS PEAGEOIS,6 S3M,M,0 days 02:22:11.000000000,0 days 00:25:55.000000000,0 days 01:16:01.000000000,0 days 00:40:17.000000000
21,22,FAURE LAURENT,VICHY TRIATHLON,3 S4M,M,0 days 02:22:59.000000000,0 days 00:24:45.000000000,0 days 01:15:14.000000000,0 days 00:43:01.000000000
