,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,FAURE HERVÉ,VITROLLES TRIATHLON,1 SE4M,,0 days 01:01:26.000000000,0 days 00:09:33.000000000,0 days 00:32:13.000000000,0 days 00:19:41.000000000
1,2,ROTA SYLVAIN,TRIATHL AIX,1 SE2M,,0 days 01:01:40.000000000,0 days 00:09:29.000000000,0 days 00:32:34.000000000,0 days 00:19:38.000000000
2,3,LOY JULIEN,AL ECHIROLLES TRIATHLON,2 SE4M,,0 days 01:02:20.000000000,0 days 00:09:14.000000000,0 days 00:33:45.000000000,0 days 00:19:22.000000000
3,4,CRIADO ROMAIN,ASMSE TRI 42,2 SE2M,,0 days 01:03:26.000000000,0 days 00:09:34.000000000,0 days 00:34:58.000000000,0 days 00:18:55.000000000
4,5,STRAGAPEDE VINCENT,GT VESOUL HAUTE SAONE,3 SE2M,,0 days 01:03:36.000000000,0 days 00:09:41.000000000,0 days 00:33:57.000000000,0 days 00:19:59.000000000
5,6,REBEYROTTE THEO,METZ TRIATHLON,1 SE1M,,0 days 01:03:47.000000000,0 days 00:09:08.000000000,0 days 00:34:24.000000000,0 days 00:20:16.000000000
6,7,FREUDENREICH BRUNO,VITROLLES TRIATHLON,1 SE3M,,0 days 01:04:31.000000000,0 days 00:09:13.000000000,0 days 00:35:19.000000000,0 days 00:20:01.000000000
7,8,LANDREAU ANTHONY,VITROLLES TRIATHLON,3 SE4M,,0 days 01:05:02.000000000,0 days 00:10:07.000000000,0 days 00:34:20.000000000,0 days 00:20:36.000000000
8,9,OBOZIL DAVID,AUTUN TRIATHLON,2 SE1M,,0 days 01:05:37.000000000,0 days 00:09:07.000000000,0 days 00:35:31.000000000,0 days 00:21:00.000000000
9,10,AUREILLE FLORIAN,TEAM MERMILLOD TRIATHLON,2 SE3M,,0 days 01:05:44.000000000,0 days 00:11:12.000000000,0 days 00:34:26.000000000,0 days 00:20:07.000000000
10,11,GAUDIN MATTHIEU,ASMSE TRI 42,3 SE3M,,0 days 01:06:05.000000000,0 days 00:09:27.000000000,0 days 00:36:12.000000000,0 days 00:20:27.000000000
11,12,SUGIER THIBAULT,TRICASTIN TRIATHLON CLUB,4 SE2M,,0 days 01:06:20.000000000,0 days 00:09:49.000000000,0 days 00:36:28.000000000,0 days 00:20:04.000000000
12,13,DECAS DAMIEN,VALENCE TRIATHLON,3 SE1M,,0 days 01:06:22.000000000,0 days 00:09:59.000000000,0 days 00:35:02.000000000,0 days 00:21:22.000000000
13,14,BOLVY FLORIAN,ASSP TRI 69,5 SE2M,,0 days 01:06:29.000000000,0 days 00:10:54.000000000,0 days 00:34:44.000000000,0 days 00:20:52.000000000
14,15,AUPAIX LAURENT,TCSQY,4 SE1M,,0 days 01:06:57.000000000,0 days 00:09:48.000000000,0 days 00:35:18.000000000,0 days 00:21:52.000000000
15,16,MAJEWSKI ALEXANDRE,MACH 3 TRIATHLON,4 SE3M,,0 days 01:07:23.000000000,0 days 00:11:26.000000000,0 days 00:34:36.000000000,0 days 00:21:22.000000000
16,17,DELETRAZ JULIEN,ASMSE TRI 42,4 SE4M,,0 days 01:07:46.000000000,0 days 00:09:56.000000000,0 days 00:35:43.000000000,0 days 00:22:07.000000000
17,18,JOUFFRET SÉBASTIEN,TRIATHLON AMBÉRIEU EN BUGEY,6 SE2M,,0 days 01:08:01.000000000,0 days 00:11:52.000000000,0 days 00:33:35.000000000,0 days 00:22:36.000000000
18,19,CHRISTIN NICOLAS,AL ECHIROLLES TRIATHLON,5 SE3M,,0 days 01:08:07.000000000,0 days 00:10:54.000000000,0 days 00:34:28.000000000,0 days 00:22:46.000000000
19,20,BRYCZMAN PHILIPPE,VALENCE TRIATHLON,1 V1M,,0 days 01:08:24.000000000,0 days 00:10:45.000000000,0 days 00:35:47.000000000,0 days 00:21:53.000000000
20,21,PAILLERET GUILHEM,GUC TRIATHLON,1 JUM,,0 days 01:08:29.000000000,0 days 00:11:53.000000000,0 days 00:35:39.000000000,0 days 00:20:58.000000000
21,22,MOUCHART MATHIAS,TEAM MERMILLOD TRIATHLON,2 JUM,,0 days 01:08:34.000000000,0 days 00:12:02.000000000,0 days 00:34:48.000000000,0 days 00:21:45.000000000
22,23,SAUVANT NICOLAS,VALENCE TRIATHLON,5 SE4M,,0 days 01:09:14.000000000,0 days 00:09:39.000000000,0 days 00:37:52.000000000,0 days 00:21:43.000000000
23,24,DIDIER DAMIEN,TC2R,6 SE4M,,0 days 01:09:40.000000000,0 days 00:12:13.000000000,0 days 00:36:15.000000000,0 days 00:21:12.000000000
24,25,LALEVEE BENOIT,MILLE PATTES TRIATHLON,1 V2M,,0 days 01:09:52.000000000,0 days 00:12:00.000000000,0 days 00:35:41.000000000,0 days 00:22:11.000000000
25,26,ORVELIN JULIEN,CHAMBÉRY TRIATHLON,5 SE1M,,0 days 01:10:09.000000000,0 days 00:10:05.000000000,0 days 00:37:42.000000000,0 days 00:22:22.000000000
26,27,CHARROL BERNARD,VALENCE TRIATHLON,2 V1M,,0 days 01:10:12.000000000,0 days 00:11:54.000000000,0 days 00:37:11.000000000,0 days 00:21:08.000000000
27,28,PHILIPPE XAVIER,AL ECHIROLLES TRIATHLON,6 SE3M,,0 days 01:10:33.000000000,0 days 00:12:30.000000000,0 days 00:35:12.000000000,0 days 00:22:51.000000000
28,29,VIVION NICOLAS,NON LICENCIÉ,7 SE2M,,0 days 01:10:41.000000000,0 days 00:11:15.000000000,0 days 00:35:58.000000000,0 days 00:23:29.000000000
29,30,FOUGERES MATHIEU,FONTANIL TRIATHLON,3 V1M,,0 days 01:11:19.000000000,0 days 00:10:12.000000000,0 days 00:38:36.000000000,0 days 00:22:32.000000000
30,31,MEZGUELDI MOHAMED,ANNONAY TRIATHLON,2 V2M,,0 days 01:11:20.000000000,0 days 00:11:56.000000000,0 days 00:37:15.000000000,0 days 00:22:10.000000000
31,32,DEBRUN THIERRY,TRI VILLEFRANCHE,3 V2M,,0 days 01:11:31.000000000,0 days 00:11:41.000000000,0 days 00:36:55.000000000,0 days 00:22:57.000000000
32,33,VIVIEN JÉROME,TROLL TEAM TRIATHLON,7 SE4M,,0 days 01:11:39.000000000,0 days 00:13:25.000000000,0 days 00:37:02.000000000,0 days 00:21:13.000000000
33,34,BERNARD MAGALI,TEAM MERMILLOD TRIATHLON,1 SE2F,,0 days 01:12:03.000000000,0 days 00:11:32.000000000,0 days 00:38:46.000000000,0 days 00:21:46.000000000
34,35,SPIRITATO JÉRÉMY,MACH 3 TRIATHLON,8 SE2M,,0 days 01:12:21.000000000,0 days 00:14:22.000000000,0 days 00:35:39.000000000,0 days 00:22:22.000000000
35,36,MENNESSON MATTHIEU,VALENCE TRIATHLON,8 SE4M,,0 days 01:12:26.000000000,0 days 00:12:48.000000000,0 days 00:36:47.000000000,0 days 00:22:52.000000000
36,37,ROSSI ROMAIN,TRICASTIN TRIATHLON CLUB,6 SE1M,,0 days 01:12:38.000000000,0 days 00:10:48.000000000,0 days 00:37:55.000000000,0 days 00:23:57.000000000
37,38,GUILLON LIONEL,FONTANIL TRIATHLON,9 SE4M,,0 days 01:12:50.000000000,0 days 00:10:36.000000000,0 days 00:39:04.000000000,0 days 00:23:11.000000000
38,39,BRUYERE RÉMY,FONTANIL TRIATHLON,4 V1M,,0 days 01:13:09.000000000,0 days 00:12:04.000000000,0 days 00:37:04.000000000,0 days 00:24:02.000000000
