,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,MOULAI TONY,POISSY TRIATHLON,S3,M,0 days 01:00:23.000000000,0 days 00:09:22.000000000,0 days 00:29:26.000000000,0 days 00:21:36.000000000
1,2,ROTA SYLVAIN,CRV LYON TRIATHLON,S2,M,0 days 01:02:37.000000000,0 days 00:10:23.000000000,0 days 00:29:39.000000000,0 days 00:22:37.000000000
2,3,BASTIE CHRISTOPHE,ASMSE,V1,M,0 days 01:02:43.000000000,0 days 00:10:32.000000000,0 days 00:29:32.000000000,0 days 00:22:41.000000000
3,4,STRAGAPEDE VINCENT,TRIATHL AIX,S2,M,0 days 01:03:33.000000000,0 days 00:10:46.000000000,0 days 00:29:15.000000000,0 days 00:23:34.000000000
4,5,CRIADO ROMAIN,TEAM MERMILLOD TRIATHLON,S2,M,0 days 01:04:06.000000000,0 days 00:10:47.000000000,0 days 00:31:13.000000000,0 days 00:22:07.000000000
5,6,LIEUX ROMAIN,ASMSE,S1,M,0 days 01:04:21.000000000,0 days 00:10:33.000000000,0 days 00:30:15.000000000,0 days 00:23:35.000000000
6,7,SABY YOHAN,TRICASTIN TRIATHLON CLUB,CA,M,0 days 01:04:26.000000000,0 days 00:10:06.000000000,0 days 00:31:45.000000000,0 days 00:22:37.000000000
7,8,WITH DAMIEN,TEAM MERMILLOD TRIATHLON,S2,M,0 days 01:04:40.000000000,0 days 00:10:39.000000000,0 days 00:30:05.000000000,0 days 00:23:57.000000000
8,9,CROZET GUILLAUME,ASMSE,S1,M,0 days 01:04:42.000000000,0 days 00:10:37.000000000,0 days 00:30:10.000000000,0 days 00:23:57.000000000
9,10,FANTOLI OLIVIER,TEAM MERMILLOD TRIATHLON,V1,M,0 days 01:05:21.000000000,0 days 00:09:55.000000000,0 days 00:31:17.000000000,0 days 00:24:10.000000000
10,11,REBAUD THOMAS,ASMSE,JU,M,0 days 01:05:24.000000000,0 days 00:09:24.000000000,0 days 00:32:16.000000000,0 days 00:23:45.000000000
11,12,ROBERT PIERRE,CRV LYON TRIATHLON,S2,M,0 days 01:05:52.000000000,0 days 00:10:49.000000000,0 days 00:31:59.000000000,0 days 00:23:06.000000000
12,13,MARTEL JEROME,VALENCE TRIATHLON,S4,M,0 days 01:05:53.000000000,0 days 00:11:32.000000000,0 days 00:30:05.000000000,0 days 00:24:18.000000000
13,14,BALLY LAURENT,AL ECHIROLLES TRIATHLON,S2,M,0 days 01:05:55.000000000,0 days 00:11:17.000000000,0 days 00:30:44.000000000,0 days 00:23:55.000000000
14,15,MICHEL LOIC,TEAM MERMILLOD TRIATHLON,S2,M,0 days 01:05:56.000000000,0 days 00:12:16.000000000,0 days 00:31:07.000000000,0 days 00:22:35.000000000
15,16,BOUDIN CHRISTOPHE,TEAM MERMILLOD TRIATHLON,S4,M,0 days 01:06:15.000000000,0 days 00:11:09.000000000,0 days 00:31:11.000000000,0 days 00:23:56.000000000
16,17,LIEUX THIBAULT,ASMSE,JU,M,0 days 01:06:18.000000000,0 days 00:10:34.000000000,0 days 00:31:49.000000000,0 days 00:23:57.000000000
17,18,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,S3,M,0 days 01:06:23.000000000,0 days 00:11:19.000000000,0 days 00:31:06.000000000,0 days 00:24:00.000000000
18,19,BOIS JCHRISTOPHE,CRV LYON TRIATHLON,S4,M,0 days 01:06:29.000000000,0 days 00:10:53.000000000,0 days 00:31:03.000000000,0 days 00:24:35.000000000
19,20,MAJEWSKI ALEXANDRE,MACH3 TRIATHLON,S3,M,0 days 01:06:37.000000000,0 days 00:11:59.000000000,0 days 00:30:19.000000000,0 days 00:24:20.000000000
20,21,MALEBAY NICOLAS,AL ECHIROLLES TRIATHLON,S1,M,0 days 01:06:43.000000000,0 days 00:11:04.000000000,0 days 00:32:15.000000000,0 days 00:23:26.000000000
21,22,SIMON JULIEN,TRICASTIN TRIATHLON CLUB,S2,M,0 days 01:07:10.000000000,0 days 00:10:43.000000000,0 days 00:31:20.000000000,0 days 00:25:08.000000000
22,23,OCTAVE FREDERIC,TRI VAL DE DROME,S3,M,0 days 01:07:12.000000000,0 days 00:12:04.000000000,0 days 00:30:07.000000000,0 days 00:25:02.000000000
23,24,HUSSON JEROME,ASMSE,S2,M,0 days 01:07:18.000000000,0 days 00:10:52.000000000,0 days 00:32:27.000000000,0 days 00:24:01.000000000
24,25,VALENTINO LUDOVIC,TRIATHLON SAINT ANDRE LE GAZ,S2,M,0 days 01:07:28.000000000,0 days 00:11:21.000000000,0 days 00:30:38.000000000,0 days 00:25:31.000000000
25,26,GAUDIN MATTHIEU,NON LICENCIE,S3,M,0 days 01:07:41.000000000,0 days 00:09:53.000000000,0 days 00:32:35.000000000,0 days 00:25:15.000000000
26,27,SUGIER THIBAUT,VALENCE TRIATHLON,S1,M,0 days 01:07:52.000000000,0 days 00:10:41.000000000,0 days 00:33:04.000000000,0 days 00:24:08.000000000
27,28,DELETRAZ JULIEN,BRIVE LIMOUSIN TRIATHLON,S4,M,0 days 01:07:53.000000000,0 days 00:11:25.000000000,0 days 00:31:42.000000000,0 days 00:24:47.000000000
28,29,BRYCZMAN PHILLIPPE,VALENCE TRIATHLON,V1,M,0 days 01:08:12.000000000,0 days 00:11:50.000000000,0 days 00:31:35.000000000,0 days 00:24:48.000000000
29,30,BLANC JULIEN,TEAM MERMILLOD TRIATHLON,S2,M,0 days 01:08:22.000000000,0 days 00:11:39.000000000,0 days 00:30:46.000000000,0 days 00:25:59.000000000
30,31,BESSIERES LAURENT,GUC TRIATHLON,S4,M,0 days 01:08:29.000000000,0 days 00:12:46.000000000,0 days 00:30:28.000000000,0 days 00:25:16.000000000
31,32,BERNARD STEPHANE,LES MILLE PATTES TRIATHLON,S3,M,0 days 01:08:48.000000000,0 days 00:12:28.000000000,0 days 00:32:04.000000000,0 days 00:24:17.000000000
32,33,PERCELAY GREGOIRE,TRIALP MOIRANS,S3,M,0 days 01:08:53.000000000,0 days 00:12:48.000000000,0 days 00:31:21.000000000,0 days 00:24:45.000000000
33,34,BERERD DAVID,TRI VILLEFRANCHE,S4,M,0 days 01:08:57.000000000,0 days 00:12:49.000000000,0 days 00:29:46.000000000,0 days 00:26:23.000000000
34,35,DIDIER DAMIEN,TC2R,S4,M,0 days 01:09:33.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000
35,36,PONTON BENJAMIN,VALENCE TRIATHLON,S2,M,0 days 01:09:41.000000000,0 days 00:11:34.000000000,0 days 00:31:20.000000000,0 days 00:26:48.000000000
36,37,SAUVANT NICOLAS,VALENCE TRIATHLON,S4,M,0 days 01:09:53.000000000,0 days 00:10:30.000000000,0 days 00:34:30.000000000,0 days 00:24:55.000000000
37,38,BEOLET CEDRIC,TEAM MERMILLOD TRIATHLON,S4,M,0 days 01:09:55.000000000,0 days 00:14:08.000000000,0 days 00:30:21.000000000,0 days 00:25:28.000000000
38,39,VERMEILLET ETIENNE,TRICASTIN TRIATHLON CLUB,CA,M,0 days 01:10:09.000000000,0 days 00:10:17.000000000,0 days 00:34:22.000000000,0 days 00:25:32.000000000
39,40,VIVION NICOLAS,NON LICENCIE,S2,M,0 days 01:10:24.000000000,0 days 00:12:24.000000000,0 days 00:31:05.000000000,0 days 00:26:57.000000000
40,41,COLLONGE JEANNE,CHARLEVILLE TRIATHLON ARDENNES,S1,F,0 days 01:10:45.000000000,0 days 00:10:45.000000000,0 days 00:34:26.000000000,0 days 00:25:35.000000000
41,42,BIDOLI REMI,GRESIVAUDAN TRIATHLON,S2,M,0 days 01:10:54.000000000,0 days 00:13:11.000000000,0 days 00:32:10.000000000,0 days 00:25:34.000000000
42,43,GAND RAPHAEL,BOURG EN BRESSE TRIATHLON,S3,M,0 days 01:11:03.000000000,0 days 00:13:13.000000000,0 days 00:32:05.000000000,0 days 00:25:47.000000000
43,44,FROGER SAMUEL,ASVEL TRIATHLON,S2,M,0 days 01:11:06.000000000,0 days 00:11:54.000000000,0 days 00:32:32.000000000,0 days 00:26:41.000000000
44,45,VAILLANT GEOFFREY,LES ALLIGATORS SEYNOD TRIATHLON,S1,M,0 days 01:11:08.000000000,0 days 00:13:32.000000000,0 days 00:33:40.000000000,0 days 00:23:58.000000000
45,46,FABBRI MICHAEL,ASSP TRIATHLON 69,S2,M,0 days 01:11:14.000000000,0 days 00:12:34.000000000,0 days 00:33:33.000000000,0 days 00:25:09.000000000
46,47,KAUFFMANN CLEMENTINE,LAGARDERE PARIS RACING,JU,F,0 days 01:11:26.000000000,0 days 00:10:31.000000000,0 days 00:35:08.000000000,0 days 00:25:48.000000000
47,48,FABRE JEROME,LES ALLIGATORS SEYNOD TRIATHLON,V1,M,0 days 01:11:28.000000000,0 days 00:13:16.000000000,0 days 00:32:31.000000000,0 days 00:25:42.000000000
48,49,DUPONT THOMAS,TCVD LORIOL,S3,M,0 days 01:11:41.000000000,0 days 00:12:50.000000000,0 days 00:31:20.000000000,0 days 00:27:32.000000000
49,50,PERRIN CAROLINE,ASMSE,S1,F,0 days 01:11:43.000000000,0 days 00:10:48.000000000,0 days 00:33:05.000000000,0 days 00:27:52.000000000
50,51,DELICOURT STEPHANE,TRIALP MOIRANS,S4,M,0 days 01:11:51.000000000,0 days 00:13:23.000000000,0 days 00:32:24.000000000,0 days 00:26:05.000000000
51,52,SIFFOINTE MORGAN,CHAMBERY TRIATHLON,S1,M,0 days 01:11:52.000000000,0 days 00:14:27.000000000,0 days 00:31:35.000000000,0 days 00:25:52.000000000
52,53,GUILLON LIONEL,FONTANIL TRIATHLON,S4,M,0 days 01:11:55.000000000,0 days 00:11:35.000000000,0 days 00:33:11.000000000,0 days 00:27:10.000000000
53,54,GAUTIER ERIC,FONTANIL TRIATHLON,V1,M,0 days 01:11:56.000000000,0 days 00:14:17.000000000,0 days 00:32:09.000000000,0 days 00:25:32.000000000
