,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,ROTA SYLVAIN,TRIATHL AIX,1 S2M,M,0 days 01:53:55.000000000,0 days 00:17:28.000000000,0 days 01:03:21.000000000,0 days 00:33:07.000000000
1,2,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,1 V1M,M,0 days 01:59:18.000000000,0 days 00:17:32.000000000,0 days 01:08:00.000000000,0 days 00:33:47.000000000
2,3,BASTIE CHRISTOPHE,CN SAINT CHAMOND TRIATHLON,2 V1M,M,0 days 02:00:28.000000000,0 days 00:19:01.000000000,0 days 01:06:57.000000000,0 days 00:34:30.000000000
3,4,AUREILLE FLORIAN,TEAM MERMILLOD TRIATHLON,1 S3M,M,0 days 02:00:48.000000000,0 days 00:19:43.000000000,0 days 01:06:35.000000000,0 days 00:34:31.000000000
4,5,ESPITALIER SÉBASTIEN,TEAM MERMILLOD TRIATHLON,2 S3M,M,0 days 02:01:11.000000000,0 days 00:18:54.000000000,0 days 01:08:41.000000000,0 days 00:33:36.000000000
5,6,CROZET GUILLAUME,ASMSE TRI 42,2 S2M,M,0 days 02:01:51.000000000,0 days 00:17:46.000000000,0 days 01:08:02.000000000,0 days 00:36:04.000000000
6,7,CHRISTIN NICOLAS,A. L. ECHIROLLES TRIATHLON,3 S3M,M,0 days 02:02:51.000000000,0 days 00:19:14.000000000,0 days 01:06:49.000000000,0 days 00:36:49.000000000
7,8,BOIS JEAN CHRISTOPHE,ASVEL TRIATHLON,1 S4M,M,0 days 02:03:21.000000000,0 days 00:17:56.000000000,0 days 01:09:20.000000000,0 days 00:36:06.000000000
8,9,BINET STEPHEN,AIX SAVOIE TRIATHLON,4 S3M,M,0 days 02:03:24.000000000,0 days 00:20:06.000000000,0 days 01:07:25.000000000,0 days 00:35:53.000000000
9,10,DELDOSSI YOANN,TOC CESSON,5 S3M,M,0 days 02:04:31.000000000,0 days 00:20:50.000000000,0 days 01:10:16.000000000,0 days 00:33:26.000000000
10,11,VIGNOUD JULIEN,CHAMBÉRY TRIATHLON,1 S1M,M,0 days 02:04:33.000000000,0 days 00:18:42.000000000,0 days 01:08:55.000000000,0 days 00:36:57.000000000
11,12,ARCHAMBAULT PIERRE YVES,AIX SAVOIE TRIATHLON,2 S4M,M,0 days 02:04:34.000000000,0 days 00:20:53.000000000,0 days 01:06:38.000000000,0 days 00:37:04.000000000
12,13,CHARROL BERNARD,VALENCE TRIATHLON,3 V1M,M,0 days 02:05:42.000000000,0 days 00:23:00.000000000,0 days 01:08:04.000000000,0 days 00:34:38.000000000
13,14,PAILLERET GUILHEM,GUC TRIATHLON,1 JUM,M,0 days 02:06:30.000000000,0 days 00:20:58.000000000,0 days 01:09:48.000000000,0 days 00:35:45.000000000
14,15,FOUGERES MATHIEU,FONTANIL TRIATHLON,4 V1M,M,0 days 02:06:37.000000000,0 days 00:17:54.000000000,0 days 01:12:25.000000000,0 days 00:36:20.000000000
15,16,FAYARD BENJAMIN,BILLOM TRIATHLON,3 S4M,M,0 days 02:07:02.000000000,0 days 00:19:02.000000000,0 days 01:12:01.000000000,0 days 00:36:00.000000000
16,17,CHEVASSU EMMANUEL,SAINT PRIEST TRIATHLON,5 V1M,M,0 days 02:07:04.000000000,0 days 00:19:50.000000000,0 days 01:10:53.000000000,0 days 00:36:22.000000000
17,18,BELLET LAURENT,AIX SAVOIE TRIATHLON,6 V1M,M,0 days 02:07:13.000000000,0 days 00:22:56.000000000,0 days 01:08:59.000000000,0 days 00:35:20.000000000
18,19,BOUDIN CHRISTOPHE,TEAM MERMILLOD TRIATHLON,7 V1M,M,0 days 02:07:21.000000000,0 days 00:18:49.000000000,0 days 01:12:16.000000000,0 days 00:36:16.000000000
19,20,MALLEBAY NICOLAS,A. L. ECHIROLLES TRIATHLON,2 S1M,M,0 days 02:07:32.000000000,0 days 00:18:50.000000000,0 days 01:12:08.000000000,0 days 00:36:36.000000000
20,21,JALON MAXIME,ASMSE TRI 42,3 S2M,M,0 days 02:08:03.000000000,0 days 00:18:51.000000000,0 days 01:12:12.000000000,0 days 00:37:02.000000000
21,22,DELICOURT STÉPHANE,TRIALP MOIRANS,4 S4M,M,0 days 02:09:14.000000000,0 days 00:19:54.000000000,0 days 01:12:17.000000000,0 days 00:37:04.000000000
