,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,MALLEBAY,TC LIEVIN,S2M (1.),M,0 days 01:13:32.000000000,0 days 00:12:41.000000000,0 days 00:43:49.000000000,0 days 00:17:03.000000000
1,2,DÉMARET,LES ALLIGATORS SEYNOD TRIATHLON,S3M (1.),M,0 days 01:14:45.000000000,0 days 00:13:37.000000000,0 days 00:41:40.000000000,0 days 00:19:28.000000000
2,3,DUPONT,TEAM MERMILLOD TRIATHLON,V1M (1.),M,0 days 01:15:59.000000000,0 days 00:12:16.000000000,0 days 00:45:26.000000000,0 days 00:18:18.000000000
3,4,BERTHOUD,CRV LYON TRIATHLON,CAM (1.),M,0 days 01:17:01.000000000,0 days 00:12:14.000000000,0 days 00:45:06.000000000,0 days 00:19:42.000000000
4,5,FANTOLI,TEAM MERMILLOD TRIATHLON,V1M (2.),M,0 days 01:17:54.000000000,0 days 00:12:17.000000000,0 days 00:46:29.000000000,0 days 00:19:09.000000000
5,6,LINGEN,TEAM MERMILLOD TRIATHLON,S4M (1.),M,0 days 01:18:00.000000000,0 days 00:12:24.000000000,0 days 00:46:35.000000000,0 days 00:19:02.000000000
6,7,VERNAGALLO,GUC TRIATHLON,S1M (1.),M,0 days 01:20:13.000000000,0 days 00:17:37.000000000,0 days 00:44:31.000000000,0 days 00:18:05.000000000
7,8,BRODZKI,TRISALEVE ANNEMASSE,S4M (2.),M,0 days 01:20:24.000000000,,,0 days 00:19:28.000000000
8,9,CROSET,VALLONS DE LA TOUR TRIATHLON,JUM (1.),M,0 days 01:20:41.000000000,0 days 00:13:29.000000000,0 days 00:47:28.000000000,0 days 00:19:45.000000000
9,10,NOYER,VALLONS DE LA TOUR,V1M (3.),M,0 days 01:21:07.000000000,0 days 00:15:42.000000000,0 days 00:46:15.000000000,0 days 00:19:11.000000000
10,11,ARNAUD,LES ALLIGATORS SEYNOD TRIATHLON,CAM (2.),M,0 days 01:21:23.000000000,0 days 00:14:09.000000000,0 days 00:48:02.000000000,0 days 00:19:13.000000000
