,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,1 S4M,,0 days 02:13:27.000000000,0 days 00:22:47.000000000,0 days 01:12:00.000000000,0 days 00:38:40.000000000
1,2,JEANNIN GUILLAUME,FAST GUEBWILLER,1 S2M,,0 days 02:15:12.000000000,0 days 00:23:25.000000000,0 days 01:12:45.000000000,0 days 00:39:03.000000000
2,3,ESPITALIER SÉBASTIEN,TEAM MERMILLOD TRIATHLON,1 S3M,,0 days 02:15:57.000000000,0 days 00:24:20.000000000,0 days 01:11:51.000000000,0 days 00:39:48.000000000
3,4,MALLEBAY NICOLAS,A.L.ECHIROLLES TRIATHLON,1 S1M,,0 days 02:17:40.000000000,0 days 00:23:26.000000000,0 days 01:13:23.000000000,0 days 00:40:53.000000000
4,5,MICHEL LOIC,TEAM MERMILLOD TRIATHLON,2 S2M,,0 days 02:19:01.000000000,0 days 00:26:59.000000000,0 days 01:11:49.000000000,0 days 00:40:14.000000000
5,6,GIORDANO MANUEL,TRIATHLON DU SALÈVE,2 S4M,,0 days 02:20:26.000000000,0 days 00:25:56.000000000,0 days 01:14:21.000000000,0 days 00:40:11.000000000
6,7,ROMAN YOHANN,TRIATHLON DU SALÈVE,2 S3M,,0 days 02:20:34.000000000,0 days 00:24:54.000000000,0 days 01:14:17.000000000,0 days 00:41:24.000000000
7,8,OBEIN YANNICK,TRIATHLON LITTORAL 59,3 S4M,,0 days 02:20:53.000000000,0 days 00:23:22.000000000,0 days 01:14:57.000000000,0 days 00:42:35.000000000
8,9,GUERRET THIERRY,TRIATHLON DU SALÈVE,1 V2M,,0 days 02:22:16.000000000,0 days 00:22:21.000000000,0 days 01:14:02.000000000,0 days 00:45:54.000000000
9,10,ROBERT PIERRE,CRV LYON TRIATHLON,3 S2M,,0 days 02:23:43.000000000,0 days 00:23:29.000000000,0 days 01:18:17.000000000,0 days 00:41:58.000000000
10,11,VIGNOUD JULIEN,CHAMBÉRY TRIATHLON,2 S1M,,0 days 02:23:44.000000000,0 days 00:23:23.000000000,0 days 01:14:47.000000000,0 days 00:45:35.000000000
11,12,GNAEDIG EMMANUEL,ASVEL TRIATHLON,3 S3M,,0 days 02:24:01.000000000,0 days 00:25:27.000000000,0 days 01:15:28.000000000,0 days 00:43:06.000000000
12,13,MASSON MICHAEL,LYS AA TRI,1 V1M,,0 days 02:24:05.000000000,0 days 00:25:21.000000000,0 days 01:14:02.000000000,0 days 00:44:44.000000000
13,14,BLANC JULIEN,TEAM MERMILLOD TRIATHLON,4 S2M,,0 days 02:25:02.000000000,0 days 00:23:41.000000000,0 days 01:16:33.000000000,0 days 00:44:49.000000000
14,15,RUSCONI MICKAËL,LES ALLIGATORS SEYNOD TRIATHLON,1 JUM,,0 days 02:25:42.000000000,0 days 00:25:13.000000000,0 days 01:15:39.000000000,0 days 00:44:51.000000000
15,16,CORROTTE XAVIER,BESANCON TRIATHLON,4 S3M,,0 days 02:26:22.000000000,0 days 00:23:00.000000000,0 days 01:15:54.000000000,0 days 00:47:30.000000000
16,17,BESACIER MAXIME,TRIALP MOIRANS,4 S4M,,0 days 02:26:28.000000000,0 days 00:26:36.000000000,0 days 01:16:34.000000000,0 days 00:43:18.000000000
17,18,ARNAUD CÉDRIC,LES ALLIGATORS SEYNOD TRIATHLON,5 S3M,,0 days 02:26:35.000000000,0 days 00:26:44.000000000,0 days 01:16:23.000000000,0 days 00:43:29.000000000
18,19,DIDIER DAMIEN,TRIATHLON CLUB DES 2 RIVES,5 S4M,,0 days 02:26:41.000000000,0 days 00:28:55.000000000,0 days 01:15:41.000000000,0 days 00:42:06.000000000
19,20,DELICOURT STEPHANE,TRIALP MOIRANS,6 S4M,,0 days 02:27:24.000000000,0 days 00:26:54.000000000,0 days 01:15:53.000000000,0 days 00:44:37.000000000
20,21,FOURNIER DOMINIQUE,BOURG EN BRESSE TRIATHLON,2 V2M,,0 days 02:28:31.000000000,0 days 00:26:29.000000000,0 days 01:17:46.000000000,0 days 00:44:16.000000000
21,22,PAYSAN THIBAUD,AIX SAVOIE TRIATHLON,3 S1M,,0 days 02:28:51.000000000,0 days 00:26:53.000000000,0 days 01:17:25.000000000,0 days 00:44:33.000000000
22,23,SAYER THOMAS,NON LICENCIÉ,2 JUM,,0 days 02:28:54.000000000,0 days 00:20:13.000000000,0 days 01:19:45.000000000,0 days 00:48:57.000000000
23,24,PICCIOLI PIERRE,TRIATHLON AMBERIEU EN BUGEY,7 S4M,,0 days 02:29:10.000000000,0 days 00:27:35.000000000,0 days 01:17:12.000000000,0 days 00:44:24.000000000
24,25,BOWYER PAUL,CRYSTAL PALACE,6 S3M,,0 days 02:29:15.000000000,0 days 00:26:40.000000000,0 days 01:16:44.000000000,0 days 00:45:52.000000000
25,26,TIDY HENRY,GUC TRIATHLON,7 S3M,,0 days 02:29:50.000000000,0 days 00:27:10.000000000,0 days 01:17:28.000000000,0 days 00:45:12.000000000
26,27,BROZKI IVAN,TRIATHLON DU SALÈVE,8 S3M,,0 days 02:30:02.000000000,0 days 00:26:16.000000000,0 days 01:17:51.000000000,0 days 00:45:56.000000000
27,28,BOMBLED SAMUEL,LES ALLIGATORS SEYNOD TRIATHLON,8 S4M,,0 days 02:30:35.000000000,0 days 00:26:00.000000000,0 days 01:18:58.000000000,0 days 00:45:38.000000000
28,29,PION JULIEN,AIX SAVOIE TRIATHLON,4 S1M,,0 days 02:32:30.000000000,0 days 00:34:11.000000000,0 days 01:13:46.000000000,0 days 00:44:35.000000000
29,30,KRIZAN ALEXANDRE,EVIAN OFF COURSE,5 S1M,,0 days 02:32:50.000000000,0 days 00:27:17.000000000,0 days 01:23:36.000000000,0 days 00:41:57.000000000
30,31,TAVIRA ANTONIO,TRIATHLON DU SALÈVE,3 V2M,,0 days 02:33:37.000000000,0 days 00:27:08.000000000,0 days 01:20:37.000000000,0 days 00:45:53.000000000
31,32,MAZET FRANCK,TRIATHLON VILLEFRANCHE SAONE VALLÉE,2 V1M,,0 days 02:33:49.000000000,0 days 00:28:51.000000000,0 days 01:18:56.000000000,0 days 00:46:03.000000000
32,33,LEMAY VIRGINIE,LES HYDROCYCLOPEDS,1 S2F,,0 days 02:34:00.000000000,0 days 00:23:27.000000000,0 days 01:22:52.000000000,0 days 00:47:42.000000000
33,34,ROUX NICOLAS,TRIATHLON DU SALÈVE,9 S3M,,0 days 02:34:30.000000000,0 days 00:32:06.000000000,0 days 01:08:29.000000000,0 days 00:53:55.000000000
34,35,GARCIA MAXIME,AQUACYCLOPEDUS PROVINS TRIATHLON,10 S3M,,0 days 02:35:18.000000000,0 days 00:29:24.000000000,0 days 01:19:15.000000000,0 days 00:46:40.000000000
35,36,GONIN LIONEL,TRISPIRIDON OYONNAX,9 S4M,,0 days 02:35:24.000000000,0 days 00:31:01.000000000,0 days 01:16:13.000000000,0 days 00:48:10.000000000
36,37,RIBOT CLÉMENT,ASVEL TRIATHLON,5 S2M,,0 days 02:35:29.000000000,0 days 00:31:22.000000000,0 days 01:18:40.000000000,0 days 00:45:28.000000000
37,38,PEILLEX NATALIE,AIX SAVOIE TRIATHLON,1 S4F,,0 days 02:36:15.000000000,0 days 00:27:02.000000000,0 days 01:23:44.000000000,0 days 00:45:30.000000000
38,39,COLLEMARE STÉPHANE,TRIALP MOIRANS,3 V1M,,0 days 02:36:22.000000000,0 days 00:28:29.000000000,0 days 01:18:50.000000000,0 days 00:49:04.000000000
39,40,JANOT PIERRE,LES MILLE PATTES TRIATHLON,4 V1M,,0 days 02:36:31.000000000,0 days 00:30:06.000000000,0 days 01:20:18.000000000,0 days 00:46:08.000000000
40,41,MONY STÉPHANE,TRISPIRIDON OYONNAX,5 V1M,,0 days 02:36:34.000000000,0 days 00:26:11.000000000,0 days 01:25:16.000000000,0 days 00:45:09.000000000
41,42,FAGUAIS PHILIPPE,LES HYDROCYCLOPEDS,4 V2M,,0 days 02:37:05.000000000,0 days 00:26:53.000000000,0 days 01:23:32.000000000,0 days 00:46:41.000000000
42,43,MADELAINE PASCAL,TRIALP MOIRANS,1 V3M,,0 days 02:37:47.000000000,0 days 00:28:00.000000000,0 days 01:22:33.000000000,0 days 00:47:15.000000000
43,44,KOUKLEVSKY ANNE,CHAMBÉRY TRIATHLON,2 S4F,,0 days 02:37:48.000000000,0 days 00:28:56.000000000,0 days 01:22:35.000000000,0 days 00:46:18.000000000
44,45,ANTELME OLIVIER,LES HYDROCYCLOPEDS,11 S3M,,0 days 02:38:28.000000000,0 days 00:31:39.000000000,0 days 01:23:03.000000000,0 days 00:43:47.000000000
45,46,DROUMARD AURÉLIEN,CHAMBÉRY TRIATHLON,6 S2M,,0 days 02:39:27.000000000,0 days 00:34:33.000000000,0 days 01:19:20.000000000,0 days 00:45:35.000000000
46,47,BEAUCHEF LAURENT,ALBERTVILLE TARENTAISE TRIATHLON,10 S4M,,0 days 02:39:42.000000000,0 days 00:29:16.000000000,0 days 01:19:30.000000000,0 days 00:50:57.000000000
