,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,HOLLIGER BENJAMIN,FONTANIL TRIATHLON,S2M (1),M,0 days 01:31:08.000000000,0 days 00:10:18.000000000,0 days 00:58:27.000000000,0 days 00:22:23.000000000
1,2,PHILIPPE GUILLAUME,ECHIROLLES TRIATHLON,S3M (1),M,0 days 01:31:31.000000000,0 days 00:10:14.000000000,0 days 00:56:10.000000000,0 days 00:25:08.000000000
2,3,FREVENT SYLVAIN,VALENCE TRIATHLON,S1M (1),M,0 days 01:35:34.000000000,0 days 00:10:28.000000000,0 days 01:00:29.000000000,0 days 00:24:38.000000000
3,4,DEMAISON ROMAIN,NC ALP 38,S1M (2),M,0 days 01:36:43.000000000,0 days 00:09:26.000000000,0 days 01:02:11.000000000,0 days 00:25:07.000000000
4,5,WUHRMANN FRÉDÉRIC,SAVOIE TRIATHLON,V1M (1),M,0 days 01:37:09.000000000,0 days 00:10:03.000000000,0 days 01:00:39.000000000,0 days 00:26:28.000000000
5,6,GALINDO THIERRY,TEAM TECNICA,V1M (2),M,0 days 01:38:11.000000000,0 days 00:10:45.000000000,0 days 01:03:14.000000000,0 days 00:24:12.000000000
6,7,KERRIEN BENOÎT,CHAMBÉRY TRIATHLON,S2M (2),M,0 days 01:39:16.000000000,0 days 00:10:41.000000000,0 days 01:03:23.000000000,0 days 00:25:13.000000000
7,8,MOULIN YANNICK,1000 PATTES TRIATHLON GRENOBLE,S3M (2),M,0 days 01:39:41.000000000,0 days 00:10:22.000000000,0 days 01:02:20.000000000,0 days 00:27:00.000000000
8,9,HUSTACHE THOMAS,POMPIERS DU RHONE,S2M (3),M,0 days 01:40:17.000000000,0 days 00:09:26.000000000,0 days 01:04:25.000000000,0 days 00:26:28.000000000
9,10,SARNETTE FRANCK,CAVAILLON TRIATHLON CLUB,S4M (1),M,0 days 01:40:31.000000000,0 days 00:11:14.000000000,0 days 01:01:34.000000000,0 days 00:27:43.000000000
10,11,DAGNIAUX GILLES,LES ALLIGATORS SEYNOD TRIATHLON,V2M (1),M,0 days 01:42:06.000000000,0 days 00:12:25.000000000,,
11,12,BOISSY GUENAEL,NON LICENCIE,V1M (3),M,0 days 01:42:08.000000000,0 days 00:11:56.000000000,0 days 01:02:05.000000000,0 days 00:28:08.000000000
12,13,PEREZ REYES EDUARDO,TRIATLON CLAVERIA (ESPAGNE),S4M (2),M,0 days 01:42:31.000000000,0 days 00:11:59.000000000,0 days 01:01:57.000000000,0 days 00:28:35.000000000
13,14,TERRANOVA STÉPHANE,TROLL TEAM TRIATHLON,V1M (4),M,0 days 01:42:58.000000000,0 days 00:13:08.000000000,0 days 01:02:57.000000000,0 days 00:26:54.000000000
14,15,MICHON CHRISTOPHE,MACH 3 TRIATHLON,S1M (3),M,0 days 01:43:25.000000000,0 days 00:12:17.000000000,0 days 01:06:19.000000000,0 days 00:24:50.000000000
15,16,LALA REGIS,SAINT PRIEST TRIATHLON,S4M (3),M,0 days 01:45:05.000000000,0 days 00:12:13.000000000,0 days 01:05:23.000000000,0 days 00:27:29.000000000
16,17,GUIL SEBASTIEN,CLUB DE LA DÉFENSE DE VARCES,S2M (4),M,0 days 01:45:26.000000000,0 days 00:13:45.000000000,0 days 01:08:03.000000000,0 days 00:23:40.000000000
17,18,DI SPORANDO ROMAIN,LES MILLES PATTES TRIATHLON,S2M (5),M,0 days 01:46:12.000000000,0 days 00:10:35.000000000,0 days 01:06:08.000000000,0 days 00:29:31.000000000
18,19,DEYRES THIERRY,ALE TRIATHLON,S4M (4),M,0 days 01:46:27.000000000,0 days 00:12:04.000000000,0 days 01:06:04.000000000,0 days 00:28:19.000000000
19,20,MERCIER AURELIEN,NON LICENCIE,S2M (6),M,0 days 01:46:47.000000000,0 days 00:14:03.000000000,0 days 01:06:37.000000000,0 days 00:26:07.000000000
20,21,DUTOY GAETAN,NON LICENCIE,S3M (3),M,0 days 01:46:50.000000000,0 days 00:14:48.000000000,0 days 01:04:01.000000000,0 days 00:28:02.000000000
21,22,REY YVAN,TRI07,V1M (5),M,0 days 01:48:12.000000000,0 days 00:13:40.000000000,0 days 01:05:30.000000000,0 days 00:29:03.000000000
22,23,CAZIER JEAN BAPTISTE,ASVEL TRIATHLON,S4M (5),M,0 days 01:48:32.000000000,0 days 00:14:07.000000000,0 days 01:06:20.000000000,0 days 00:28:06.000000000
23,24,MANIN LIONEL,ASVEL TRIATHLON,V1M (6),M,0 days 01:49:22.000000000,0 days 00:12:05.000000000,0 days 01:10:46.000000000,0 days 00:26:32.000000000
24,25,ROUX BRUNO,NON LICENCIE,S2M (7),M,0 days 01:49:34.000000000,0 days 00:13:39.000000000,0 days 01:05:44.000000000,0 days 00:30:12.000000000
