,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,LAMBOLEZ AUDRIC,CRV LYON TRIATHLON,ES,M,0 days 00:41:33.000000000,,,
1,2,COURT SEBASTIEN,CRV LYON TRIATHLON,ES,M,0 days 00:42:34.000000000,,,
2,3,REBOUILLOT JOSEPH,CRV LYON TRIATHLON,S3,M,0 days 00:43:32.000000000,,,
3,4,CRIADO ROMAIN,CRV LYON TRIATHLON,S2,M,0 days 00:43:40.000000000,,,
4,5,LOHIER THOMAS,VALENCE TRIATHLON,MI,M,0 days 00:43:45.000000000,,,
5,6,COPETTI BASTIEN,CRV LYON TRIATHLON,JU,M,0 days 00:43:49.000000000,,,
6,7,CHARAYRON EMMIE,LAGARDERE PARIS RACING,S1,F,0 days 00:44:20.000000000,,,
7,8,MAINARD MATHIS,CRV LYON TRIATHLON,JU,M,0 days 00:44:28.000000000,,,
8,9,BESANÇON FLORIAN,CRV LYON TRIATHLON,S2,M,0 days 00:45:02.000000000,,,
9,10,MENNESSON MAXIME,VALENCE TRIATHLON,MI,M,0 days 00:45:33.000000000,,,
10,11,HERSENT UGO,VALENCE TRIATHLON,MI,M,0 days 00:45:43.000000000,,,
11,12,BOUTTE MATHURIN,TCML,MI,M,0 days 00:46:08.000000000,,,
12,13,BONNARD SIMON,TCML,JU,M,0 days 00:46:36.000000000,,,
13,14,BERNARD CHRISTOPHE,TCML,V1,M,0 days 00:46:46.000000000,,,
14,15,REBOURSEAU VICTOR,CRV LYON TRIATHLON,JU,M,0 days 00:46:47.000000000,,,
15,16,CHARTRON PIERRE,METZ TRIATHLON,S2,M,0 days 00:46:53.000000000,,,
16,17,KAPELL PIERRE,VALENCE TRIATHLON,MI,M,0 days 00:47:07.000000000,,,
17,18,DELAUNAY FREDERIC,ANNONAY TRIATHLON,V1,M,0 days 00:48:43.000000000,,,
18,19,CHEVASSU PASCAL,TRI VILLEFRANCHE,S4,M,0 days 00:49:00.000000000,,,
19,20,POITOU ENZO,CRV LYON TRIATHLON,MI,M,0 days 00:49:54.000000000,,,
20,21,BEAU MATHIEU,TCML,S2,M,0 days 00:50:36.000000000,,,
21,22,BRESSIEUX ARNAUD,RILLIEUX TRIATHLON,S2,M,0 days 00:50:57.000000000,,,
22,23,GANDREY CARL,TRIATHLON MACON CLUB,MI,M,0 days 00:51:09.000000000,,,
23,24,VARENNE QUENTIN,OULLINS TRIATHLON,CA,M,0 days 00:51:22.000000000,,,
24,25,GAREL QUENTIN,OULLINS TRIATHLON,CA,M,0 days 00:51:33.000000000,,,
25,26,BRANCHFLOWER ALIX,CRV LYON TRIATHLON,CA,F,0 days 00:51:36.000000000,,,
26,27,CHARNAL CECILE,CRV LYON TRIATHLON,S4,F,0 days 00:52:09.000000000,,,
27,28,ALLAGNAT HUGOLINE,VALLONS DE LA TOUR,MI,F,0 days 00:52:10.000000000,,,
28,29,PARROT AMAURY,NON LICENCIE,JU,M,0 days 00:53:10.000000000,,,
29,30,CHARNAL ANOUCK,CRV LYON TRIATHLON,MI,F,0 days 00:53:14.000000000,,,
30,31,SABY TOM,TARARE TRIATHLON,MI,M,0 days 00:53:19.000000000,,,
31,32,GEOFFRAY NAÏS,CRV LYON TRIATHLON,S2,F,0 days 00:54:52.000000000,,,
32,33,BOTTIN LEO,OULLINS TRIATHLON,JU,M,0 days 00:54:56.000000000,,,
33,34,BOUDET NICOLAS,NON LICENCIE,S4,M,0 days 00:55:04.000000000,,,
34,35,GALISSI JEAN LOU,MACH3 TRIATHLON,V4,M,0 days 00:55:06.000000000,,,
35,36,BERLIER QUENTIN,MACH3 TRIATHLON,JU,M,0 days 00:55:15.000000000,,,
36,37,LEDREUX XAVIER,NON LICENCIE,V1,M,0 days 00:55:17.000000000,,,
37,38,POYARD MARIUS,TCML,MI,M,0 days 00:55:57.000000000,,,
38,39,CHARTRON PAUL,TRIATHLON MACON CLUB,CA,M,0 days 00:56:15.000000000,,,
39,40,CHAIX HUGO,CRV LYON TRIATHLON,MI,M,0 days 00:56:39.000000000,,,
40,41,SOLIGNAC GREGORY,NON LICENCIE,S3,M,0 days 00:57:00.000000000,,,
41,42,BOUCHUT OLIVIER,NON LICENCIE,V1,M,0 days 00:57:21.000000000,,,
42,43,POILLOT LAURENT,NON LICENCIE,V1,M,0 days 00:58:17.000000000,,,
43,44,PARROT YANN,NON LICENCIE,S1,M,0 days 00:58:55.000000000,,,
44,45,LAFONT QUENTIN,VAULX EN VELIN,MI,M,0 days 00:58:59.000000000,,,
45,46,HOUZE DIDIER,NON LICENCIE,V1,M,0 days 00:59:11.000000000,,,
46,47,FLESH FRANAS,NON LICENCIE,S4,M,0 days 00:59:15.000000000,,,
47,48,BERNARD CORINNE,TCML,S4,F,0 days 00:59:33.000000000,,,
48,49,BEAUPELLET XAVIER,NON LICENCIE,V1,M,0 days 00:59:46.000000000,,,
49,50,SEGUIN BRUNO,NON LICENCIE,V3,M,0 days 01:00:01.000000000,,,
50,51,MOSCHETTO ANTOINE,CRV LYON TRIATHLON,MI,M,0 days 01:00:10.000000000,,,
51,52,SILARD GILLES,ISSY TRIATHLON,V2,M,0 days 01:00:27.000000000,,,
52,53,DE CARVALHO ODETTE,ALE ECHIROLLES,S4,F,0 days 01:00:34.000000000,,,
53,54,LEPRETRE CLEMENT,CRV LYON TRIATHLON,CA,M,0 days 01:01:03.000000000,,,
54,55,POYARD GILLES,NON LICENCIE,V2,M,0 days 01:01:28.000000000,,,
55,56,VUILLERMET ILIA,CRV LYON TRIATHLON,MI,M,0 days 01:01:28.000000000,,,
56,57,BERTAUX MADELINE,CRV LYON TRIATHLON,MI,F,0 days 01:01:59.000000000,,,
57,58,BERTEAU ERIC,NON LICENCIE,S4,M,0 days 01:02:29.000000000,,,
58,59,MOHAMMEDI MALIK,ASVEL TRIATHLON,MI,M,0 days 01:03:35.000000000,,,
59,60,BOUSQUET CAPUCINE,RILLIEUX TRIATHLON,S2,F,0 days 01:04:09.000000000,,,
60,61,CHILLET MARIE,TCML,MI,F,0 days 01:04:17.000000000,,,
61,62,LUCCHESE LAURENT,NON LICENCIE,S4,M,0 days 01:04:44.000000000,,,
62,63,MAUCANDI GUY,NON LICENCIE,V5,M,0 days 01:07:09.000000000,,,
63,64,BOUCHUT ANNE,NON LICENCIE,S4,F,0 days 01:07:36.000000000,,,
64,65,CHIARELLO CHRISTELLE,NON LICENCIE,S1,F,0 days 01:07:57.000000000,,,
65,66,AZOUZ CHAFIA,MACH3 TRIATHLON,V2,F,0 days 01:14:29.000000000,,,
66,67,FAYOLLE ANNE CLAIRE,TCML,CA,F,0 days 01:20:20.000000000,,,
67,68,THIOLLIER AURELIA,TCML,CA,F,0 days 01:21:09.000000000,,,
