,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,JARRIGE YVAN,TRI OLYMPIQUE CLUB CESSONNAIS,Sénior,M,0 days 00:37:25.000000000,,,
1,2,BERTHON GREGOIRE,STE GENEVIEVE TRIATHLON,Sénior,M,0 days 00:37:42.000000000,,,
2,3,DROUIN ARNAUD,CRV LYON TRIATHLON,Sénior,M,0 days 00:37:49.000000000,,,
3,4,BOUDIN CHRISTOPHE,TEAM MERMILLOD TRIATHLON,Vétéran,M,0 days 00:39:02.000000000,,,
4,5,LAMBOLEZ AUDRIC,CRV LYON TRIATHLON,Junior,M,0 days 00:39:09.000000000,,,
5,6,MAJEWSKI ALEXANDRE,MACH 3 TRIATHLON,Sénior,M,0 days 00:39:45.000000000,,,
6,7,FAYARD BENJAMIN,BILLOM TRIATHLON,Sénior,M,0 days 00:40:16.000000000,,,
7,8,JOUFFRET SEBASTIEN,TRIATHLON AMBERIEU EN BUGET,Sénior,M,0 days 00:40:22.000000000,,,
8,9,COURT SEBASTIEN,CRV LYON TRIATHLON,Junior,M,0 days 00:40:37.000000000,,,
9,10,POIZAT ERIC,TRIATHLON MACON CLUB,Vétéran,M,0 days 00:40:40.000000000,,,
10,11,CHATELAIN MAURICE,TEAM MERMILLOD TRIATHLON,Sénior,M,0 days 00:40:54.000000000,,,
11,12,CHAUDIER QUENTIN,ROANNE TRIATHLON,Cadet,M,0 days 00:41:36.000000000,,,
12,13,CARONE ENEA,CRV LYON TRIATHLON,Sénior,M,0 days 00:41:48.000000000,,,
13,14,CLUTIER HECTOR,TRI07 PRIVAS,Cadet,M,0 days 00:41:54.000000000,,,
14,15,BESANCON FLORIAN,CRV LYON TRIATHLON,Sénior,M,0 days 00:41:59.000000000,,,
15,16,HOUDU ERIC,TCML,Vétéran,M,0 days 00:42:00.000000000,,,
16,17,SZYMEZAK PIERRE,ANNONAY TRIATHLON,Sénior,M,0 days 00:42:55.000000000,,,
17,18,DARMEDRU SAMUEL,VAULX EN VELIN TRIATHLON,Sénior,M,0 days 00:43:06.000000000,,,
18,19,SAINT-POL MARC ANTOINE,BOURG EN BRESSE TRIATHLON,Cadet,M,0 days 00:43:27.000000000,,,
19,20,PROTHERY JEAN PHILIPPE,VAULX EN VELIN TRIATHLON,Sénior,M,0 days 00:43:27.000000000,,,
20,21,BALONDRADE SEBASTIEN,LEMAN TRIATHLON CLUB,Sénior,M,0 days 00:43:30.000000000,,,
21,22,REVEL RENAUD,MACH 3 TRIATHLON,Vétéran,M,0 days 00:43:31.000000000,,,
22,23,GUILLON STEPHANE,NON LICENCIE,Sénior,M,0 days 00:43:35.000000000,,,
23,24,BONNARD SIMON,TCML,Junior,M,0 days 00:44:14.000000000,,,
24,25,DELAUNAY FREDERIC,ANNONAY TRIATHLON,Vétéran,M,0 days 00:45:07.000000000,,,
25,26,MAZET FRANCK,TVSV,Vétéran,M,0 days 00:45:10.000000000,,,
26,27,DULAC FABRICE,CS LAC DES SAPINS,Sénior,M,0 days 00:45:38.000000000,,,
27,28,REBOURSEAU VICTOR,CRV LYON TRIATHLON,Cadet,M,0 days 00:45:44.000000000,,,
28,29,POMMIES STEPHANE,CE ENTREPRISE JTEKT,Sénior,M,0 days 00:45:54.000000000,,,
29,30,MILAN JULIE,AUTUN TRIATHLON,Sénior,F,0 days 00:46:12.000000000,,,
30,31,FLEURENT GABRIEL,TC2R,Minime,M,0 days 00:46:24.000000000,,,
31,32,FERRARI ELLIOT,TRIATHLON MACON CLUB,Cadet,M,0 days 00:46:25.000000000,,,
32,33,BIN CLEMENT,NON LICENCIE,Cadet,M,0 days 00:46:58.000000000,,,
