,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,STRAGAPEDE VINCENT,TEAM MERMILLOD TRIATHLON,1-SE,,0 days 01:00:14.000000000,0 days 00:11:51.000000000,0 days 00:29:00.000000000,0 days 00:19:23.000000000
1,2,LAMBOLEZ AUDRIC,EC SARTROUVILLE,2-SE,,0 days 01:00:37.000000000,0 days 00:11:17.000000000,0 days 00:29:44.000000000,0 days 00:19:36.000000000
2,3,WITH DAMIEN,TEAM MERMILLOD TRIATHLON,3-SE,,0 days 01:00:58.000000000,0 days 00:11:23.000000000,0 days 00:29:22.000000000,0 days 00:20:14.000000000
3,4,CRIADO ROMAIN,CRV LYON TRIATHLON,4-SE,,0 days 01:01:31.000000000,0 days 00:11:27.000000000,0 days 00:31:13.000000000,0 days 00:18:51.000000000
4,5,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,5-SE,,0 days 01:02:34.000000000,0 days 00:12:09.000000000,0 days 00:30:40.000000000,0 days 00:19:44.000000000
5,6,REBAUD THOMAS,VALENCE TRIATHLON,6-SE,,0 days 01:02:53.000000000,0 days 00:11:10.000000000,0 days 00:31:32.000000000,0 days 00:20:10.000000000
6,7,VIAL ANTOINE,LYON,1-JU,,0 days 01:03:01.000000000,0 days 00:11:24.000000000,0 days 00:31:29.000000000,0 days 00:20:07.000000000
7,8,DESROY CHRISTOPHE,SAINT PRIEST TRIATHLON,1-VE,,0 days 01:03:23.000000000,0 days 00:13:13.000000000,0 days 00:29:54.000000000,0 days 00:20:15.000000000
8,9,REBEYROTTE THEO,ASVEL TRIATHLON,7-SE,,0 days 01:04:54.000000000,0 days 00:15:43.000000000,0 days 00:26:49.000000000,0 days 00:22:22.000000000
9,10,TSIRTSIKOLOU VALENTIN,NIMES CROCO D AIRAIN TRI,8-SE,,0 days 01:05:56.000000000,0 days 00:13:12.000000000,0 days 00:32:19.000000000,0 days 00:20:26.000000000
10,11,ORSEL THOMAS,TRICASTIN TRIATHLON CLUB,2-JU,,0 days 01:06:13.000000000,0 days 00:12:12.000000000,0 days 00:33:36.000000000,0 days 00:20:26.000000000
11,12,COURLET DAVID,VILLEURBANNE,9-SE,,0 days 01:06:19.000000000,0 days 00:12:25.000000000,0 days 00:31:18.000000000,0 days 00:22:37.000000000
12,13,POIZAT ERIC,TRIATHLON MACON CLUB,2-VE,,0 days 01:06:31.000000000,0 days 00:14:16.000000000,0 days 00:31:20.000000000,0 days 00:20:54.000000000
13,14,NOYER THIBAULT,VALLONS DE LA TOUR TRIATHLON,3-VE,,0 days 01:06:38.000000000,0 days 00:15:19.000000000,0 days 00:31:01.000000000,0 days 00:20:17.000000000
14,15,LOUDENOT QUENTIN,AUTUN TRIATHLON,10-SE,,0 days 01:06:46.000000000,0 days 00:11:35.000000000,0 days 00:33:55.000000000,0 days 00:21:15.000000000
15,16,BELVILLE EMERIC,AIX SAVOIE TRIATHLON,11-SE,,0 days 01:06:55.000000000,0 days 00:14:07.000000000,0 days 00:31:30.000000000,0 days 00:21:18.000000000
16,17,RENOU NICOLAS,TRIATHLON AMBERIEU EN BUGEY,12-SE,,0 days 01:07:10.000000000,0 days 00:13:27.000000000,0 days 00:32:09.000000000,0 days 00:21:34.000000000
17,18,RAIA UGO,ASMSETRI42,1-CA,,0 days 01:07:15.000000000,0 days 00:12:47.000000000,0 days 00:33:45.000000000,0 days 00:20:43.000000000
18,19,GAREL QUENTIN,OULLINS TRIATHLON,2-CA,,0 days 01:07:24.000000000,0 days 00:12:31.000000000,0 days 00:33:38.000000000,0 days 00:21:15.000000000
19,20,DOLLE BRICE,TRIATHLON ROMANAIS PEAGEOIS,13-SE,,0 days 01:07:33.000000000,0 days 00:14:04.000000000,0 days 00:31:39.000000000,0 days 00:21:50.000000000
20,21,SALERY EMERIC,ASVEL TRIATHLON,14-SE,,0 days 01:07:35.000000000,0 days 00:13:06.000000000,0 days 00:33:32.000000000,0 days 00:20:57.000000000
21,22,DELAUNAY FREDERIC,ANNONAY TRIATHLON,4-VE,,0 days 01:08:20.000000000,0 days 00:13:49.000000000,0 days 00:32:47.000000000,0 days 00:21:44.000000000
22,23,LANGLOIS ADRIENNE,DIJON TRIATHLON,1-SE,,0 days 01:08:24.000000000,0 days 00:14:00.000000000,0 days 00:32:54.000000000,0 days 00:21:30.000000000
23,24,MAILLAND CHRISTOPHE,ST QUENTIN FALLAVIER,5-VE,,0 days 01:08:55.000000000,0 days 00:14:33.000000000,0 days 00:32:22.000000000,0 days 00:22:01.000000000
24,25,GUILLON STÉPHANE,ECSPR TRIATHLON,6-VE,,0 days 01:09:06.000000000,0 days 00:15:25.000000000,0 days 00:31:27.000000000,0 days 00:22:14.000000000
25,26,GUIGNARD BRICE,LES ALLIGATORS SEYNOD TRIATHLON,15-SE,,0 days 01:09:17.000000000,0 days 00:15:01.000000000,0 days 00:31:10.000000000,0 days 00:23:06.000000000
26,27,BLATTNER JEAN-MARIE,RILLIEUX TRIATHLON,16-SE,,0 days 01:09:19.000000000,0 days 00:13:50.000000000,0 days 00:32:47.000000000,0 days 00:22:42.000000000
27,28,COMBAT RAPHAEL,FRANCE,17-SE,,0 days 01:09:23.000000000,0 days 00:18:09.000000000,0 days 00:31:32.000000000,0 days 00:19:41.000000000
28,29,CHALVIN YOHAN,TRIATH LONS,18-SE,,0 days 01:09:39.000000000,0 days 00:13:32.000000000,0 days 00:33:02.000000000,0 days 00:23:05.000000000
29,30,LALA REGIS,SAINT PRIEST TRIATHLON,19-SE,,0 days 01:09:50.000000000,0 days 00:16:26.000000000,0 days 00:31:24.000000000,0 days 00:22:01.000000000
30,31,MOSSLER JOHANN,TRIATHLON ROMANAIS PEAGEOIS,20-SE,,0 days 01:09:59.000000000,0 days 00:14:21.000000000,0 days 00:31:07.000000000,0 days 00:24:31.000000000
31,32,RODRIGUEZ SAMUEL,BERNAY EN BRIE,21-SE,,0 days 01:10:04.000000000,0 days 00:15:29.000000000,0 days 00:34:22.000000000,0 days 00:20:14.000000000
32,33,RIVOIRE TANGUY,ASMSETRI42,3-CA,,0 days 01:10:07.000000000,0 days 00:14:12.000000000,0 days 00:33:31.000000000,0 days 00:22:23.000000000
33,34,GREGOT PHILIPPE,BOURG EN BRESSE TRIATHLON,7-VE,,0 days 01:10:10.000000000,0 days 00:15:01.000000000,0 days 00:31:53.000000000,0 days 00:23:16.000000000
34,35,CLARETON XAVIER,ASSP TRIATHLON 69,8-VE,,0 days 01:10:12.000000000,0 days 00:14:46.000000000,0 days 00:34:08.000000000,0 days 00:21:18.000000000
35,36,POUPELLOZ RÉMI,CHAMBERY TRIATHLON,3-JU,,0 days 01:10:13.000000000,0 days 00:13:09.000000000,0 days 00:33:23.000000000,0 days 00:23:41.000000000
36,37,GIACOMIN LAURENT,ASVEL TRIATHLON,9-VE,,0 days 01:10:28.000000000,0 days 00:14:11.000000000,0 days 00:32:44.000000000,0 days 00:23:33.000000000
37,38,MERLOT EMMANUEL,MIRIBEL,22-SE,,0 days 01:11:04.000000000,0 days 00:16:16.000000000,0 days 00:32:48.000000000,0 days 00:21:59.000000000
38,39,POITOU ENZO,CRV LYON TRIATHLON,4-CA,,0 days 01:11:07.000000000,0 days 00:13:25.000000000,0 days 00:34:25.000000000,0 days 00:23:16.000000000
39,40,GAILHOT JONATHAN,VALLONS DE LA TOUR TRIATHLON,23-SE,,0 days 01:11:11.000000000,0 days 00:16:41.000000000,0 days 00:33:08.000000000,0 days 00:21:22.000000000
40,41,CHARRAF EL MAHJOUB,VENISSIEUX,10-VE,,0 days 01:11:13.000000000,0 days 00:14:11.000000000,0 days 00:32:45.000000000,0 days 00:24:17.000000000
41,42,BELAID BRUNO,VALLONS DE LA TOUR TRIATHLON,24-SE,,0 days 01:11:33.000000000,0 days 00:16:27.000000000,0 days 00:33:28.000000000,0 days 00:21:37.000000000
42,43,VIGNAUD STEPHANE,ECHIROLLES TRIATHLON,25-SE,,0 days 01:11:43.000000000,0 days 00:17:21.000000000,0 days 00:32:28.000000000,0 days 00:21:54.000000000
43,44,LAMARCA FREDERIC,AIX SAVOIE TRIATHLON,11-VE,,0 days 01:11:47.000000000,0 days 00:13:16.000000000,0 days 00:32:28.000000000,0 days 00:26:03.000000000
44,45,DU CREST ETIENNE,TRIATHLON VILLEFRANCHE SAÔNE VALLEE,26-SE,,0 days 01:11:49.000000000,0 days 00:14:55.000000000,0 days 00:33:19.000000000,0 days 00:23:35.000000000
